Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% CI Lower,95% CI Upper,P(Improvement),In ROPE,Conclusion
EBG,logreg,Llama-3.1,accuracy@1,False,Effectiveness,0.022222222222222223,0.09777777777777778,-0.07874154804787378,0.007035162613461953,-0.08772070164926273,-0.06611122023889565,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Ministral,accuracy@1,False,Effectiveness,0.017777777777777778,0.15555555555555556,-0.1463991073479374,0.016008916909700577,-0.17154251226028405,-0.11681879437464639,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Claude-3.5,accuracy@1,False,Effectiveness,0.11111111111111109,0.04,0.08705452423814469,0.011728447027107253,0.064888297389032,0.105799257885544,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,GPT-4o,accuracy@1,False,Effectiveness,0.38666666666666666,0.2533333333333333,0.14453081356482755,0.016280540052266295,0.11427076096288342,0.17052863844979513,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,accuracy@1,False,Effectiveness,0.03111111111111111,0.035555555555555556,-0.008517698268615533,0.00907169024514377,-0.025017256646876988,0.008405497222400922,0.1835,0.552375,Inconclusive
EBG,logreg,Llama-3.1,accuracy@5,False,Effectiveness,0.11555555555555555,0.40444444444444444,-0.29639270567999904,0.022370734788925584,-0.326135040986953,-0.2541979148252571,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Ministral,accuracy@5,False,Effectiveness,0.12,0.5066666666666666,-0.3983501081985407,0.02908275771010589,-0.43598127155901406,-0.3437905547407707,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Claude-3.5,accuracy@5,False,Effectiveness,0.3688888888888889,0.19111111111111112,0.21018820906910404,0.03266531466239382,0.14994048500310161,0.26563278677489943,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,GPT-4o,accuracy@5,False,Effectiveness,0.5822222222222221,0.6044444444444445,-0.0036856788708417437,0.03259953080769687,-0.06577401135665946,0.053717024000371594,0.445375,0.229375,Inconclusive
EBG,logreg,Gemma-2,accuracy@5,False,Effectiveness,0.13333333333333333,0.2533333333333333,-0.14154517078072082,0.02323907391827047,-0.1819820166303061,-0.09876225190559527,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,true_class_confidence,False,Effectiveness,0.026172069455378442,0.08951975442392728,-0.06622831278486785,0.006379816583683308,-0.0754478590066237,-0.05476206863087327,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Ministral,true_class_confidence,False,Effectiveness,0.013739137880736699,0.13290611614968686,-0.1269083314006077,0.012969607602192604,-0.14708110394114973,-0.10337757590582933,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Claude-3.5,true_class_confidence,False,Effectiveness,0.0975309649089153,0.03686237206827373,0.06801021567245454,0.008611138121047857,0.05188109429659559,0.08188286694419276,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,GPT-4o,true_class_confidence,False,Effectiveness,0.25875232133786163,0.2085767808100667,0.05740604499979926,0.007817436069061837,0.04313081685613511,0.0703875117646218,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,true_class_confidence,False,Effectiveness,0.02846262350614211,0.037016438221739896,-0.014335965673924748,0.006574873118219418,-0.026000097321103553,-0.0015775128204028252,0.005625,0.271375,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,entropy,True,Effectiveness,3.027205027500157,1.6801332608803408,-1.2488503723152626,0.12383897272207511,-1.4772135779677928,-1.009329412195637,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Ministral,entropy,True,Effectiveness,2.2590633876923207,1.5957030344702656,-0.6098689172424049,0.1267933310645955,-0.8521207374715943,-0.3806139179923972,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Claude-3.5,entropy,True,Effectiveness,2.0679763254272023,1.2325790420489768,-0.8026304525412942,0.11476023020075185,-1.0193952020508739,-0.5892612654371298,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,GPT-4o,entropy,True,Effectiveness,2.6481316618583373,2.507566449276719,-0.11984811798134132,0.09877283482610694,-0.310726045134148,0.06527254157482239,0.109375,0.169,Inconclusive
EBG,logreg,Gemma-2,entropy,True,Effectiveness,2.7913709422852744,0.5592483781661695,-2.101494498813061,0.10469603708141575,-2.293764075581477,-1.9024125154518554,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Llama-3.1,pinc,True,Quality,0.9424447891343466,0.7552916643383938,-0.19156063386172606,0.006561705346759907,-0.20368727278727577,-0.1789213897794376,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Ministral,pinc,True,Quality,0.9390689847836355,0.693060720412323,-0.24739787609058236,0.009680548966097423,-0.2653970249714876,-0.22903555279623666,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Claude-3.5,pinc,True,Quality,0.86255784084813,0.8748924342293395,0.034281098199673954,0.0062860009595931115,0.02255329854724468,0.045712905000210025,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,GPT-4o,pinc,True,Quality,0.6788876577248851,0.6949699282670398,0.021682359011049257,0.005616670495023359,0.011209441480138194,0.03211858270586915,1.0,0.018625,Significant Increase (Enhanced > Baseline)
EBG,logreg,Gemma-2,pinc,True,Quality,0.943943135756397,0.8477493714696377,-0.08834583147642203,0.006353019466354397,-0.10041407246955006,-0.07650694794793933,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Llama-3.1,bertscore,True,Quality,0.498759860197703,0.695297315120697,0.19013238776377614,0.006118730143051151,0.17832973653323958,0.20117744426974482,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Ministral,bertscore,True,Quality,0.49002011855443317,0.7080218376053704,0.213747285060788,0.0077889942252794735,0.19865108913520207,0.22775485459514017,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Claude-3.5,bertscore,True,Quality,0.6507168981764052,0.5856881107224359,-0.06762155563455136,0.003928518451242967,-0.07527883941295826,-0.06041926065607123,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,GPT-4o,bertscore,True,Quality,0.803244715001848,0.7773988111813863,-0.029110663376397592,0.003221697360518255,-0.03505596132951519,-0.023084116087626394,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,bertscore,True,Quality,0.5017992471324073,0.6156210499339634,0.10539312849103383,0.007143579650516565,0.09229462160333785,0.11893051603993099,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,meteor,True,Quality,0.17602654653338512,0.3529343875504825,0.18351082534576107,0.0083624295815235,0.16717435555688354,0.19872735809067488,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Ministral,meteor,True,Quality,0.15223938465529313,0.3241142570347386,0.18531724201381558,0.010624212535017183,0.16560720499795212,0.20512530624792025,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,logreg,Claude-3.5,meteor,True,Quality,0.20016083031958368,0.21272185416829487,-0.001056475597609018,0.005687304633637821,-0.01195804571160286,0.009449547864275543,0.433625,0.913375,Inconclusive
EBG,logreg,GPT-4o,meteor,True,Quality,0.46786209502015297,0.42615107589287365,-0.049559893053988856,0.006428326858486989,-0.062172907109881353,-0.03818508510932639,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,meteor,True,Quality,0.179282514215978,0.20495949402249594,0.024225701175621773,0.008260268611657153,0.00860152142515963,0.03964806264509019,0.998125,0.042,Significant Increase (Enhanced > Baseline)
