Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% HDI Lower,95% HDI Upper,Conclusion
EBG,logreg,Claude-3.5,accuracy@1,False,Effectiveness,0.11111111111111109,0.03111111111111111,-0.09373476127724578,0.016112483868532923,-0.12175565359584145,-0.06349688877152834,Significant Increase (Enhanced > Baseline)
EBG,logreg,GPT-4o,accuracy@1,False,Effectiveness,0.38666666666666666,0.30222222222222217,-0.10573784856617294,0.018626400923722572,-0.13790438777068803,-0.07052365451049476,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,accuracy@1,False,Effectiveness,0.02222222222222222,0.1288888888888889,0.11301715832166141,0.010994406237779203,0.09248212114910792,0.12872990742616558,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Ministral,accuracy@1,False,Effectiveness,0.017777777777777778,0.19555555555555554,0.18848168837836882,0.017964320488282358,0.1552635705419074,0.21606815391824216,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Gemma-2,accuracy@5,False,Effectiveness,0.1333333333333333,0.2533333333333333,0.13538760250562246,0.018999156833112266,0.10018840475594212,0.16708658356098738,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Claude-3.5,accuracy@5,False,Effectiveness,0.3688888888888889,0.18666666666666665,-0.19900505457149847,0.021900832869936982,-0.23278212067717957,-0.1562649601263966,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,accuracy@5,False,Effectiveness,0.11555555555555555,0.4666666666666666,0.38136595447048544,0.0429070421971381,0.2977500530258049,0.4460112457143392,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Ministral,accuracy@5,False,Effectiveness,0.12000000000000002,0.48,0.3834602429091051,0.042024587255884954,0.3041193856289989,0.4493059547375836,Significant Decrease (Enhanced < Baseline)
EBG,logreg,Claude-3.5,true_class_confidence,False,Effectiveness,0.0975309649089153,0.03519868847103145,-0.07316275814122011,0.012102333082617923,-0.09492522183512828,-0.05154107892742606,Significant Increase (Enhanced > Baseline)
EBG,logreg,GPT-4o,true_class_confidence,False,Effectiveness,0.25875232133786163,0.22568659660786458,-0.03917623647185659,0.007360854603933691,-0.05199173660564878,-0.025510918215901998,Significant Increase (Enhanced > Baseline)
EBG,logreg,Llama-3.1,true_class_confidence,False,Effectiveness,0.026172069455378442,0.1169464318547084,0.09651646596861974,0.009905689795327936,0.07759407152132433,0.1110362099765847,Significant Decrease (Enhanced < Baseline)
