# Significant Deteriorations with Longer Exemplars

- Gemma-2 | LOGREG | pinc: Effect size = -0.0036, p = 0.9809
- Ministral | LOGREG | pinc: Effect size = -0.0036, p = 0.9971
- Claude-3.5 | LOGREG | pinc: Effect size = -0.0063, p = 0.9998
- Gpt-4O | LOGREG | accuracy@1: Effect size = 1.1456, p = 0.9994
- Gpt-4O | LOGREG | accuracy@5: Effect size = 0.8078, p = 0.9985
- Gpt-4O | LOGREG | true_class_confidence: Effect size = 0.7799, p = 0.9940
- Gpt-4O | LOGREG | pinc: Effect size = -0.0755, p = 1.0000
- Gemma-2 | SVM | pinc: Effect size = -0.0036, p = 0.9809
- Ministral | SVM | entropy: Effect size = -0.2870, p = 0.9996
- Ministral | SVM | pinc: Effect size = -0.0036, p = 0.9971
- Claude-3.5 | SVM | pinc: Effect size = -0.0063, p = 0.9998
- Gpt-4O | SVM | accuracy@1: Effect size = 1.2574, p = 0.9995
- Gpt-4O | SVM | accuracy@5: Effect size = 1.0741, p = 0.9998
- Gpt-4O | SVM | pinc: Effect size = -0.0755, p = 1.0000
- Gemma-2 | ROBERTA | entropy: Effect size = -0.9118, p = 0.9994
- Gemma-2 | ROBERTA | pinc: Effect size = -0.0036, p = 0.9809
- Ministral | ROBERTA | pinc: Effect size = -0.0036, p = 0.9971
- Claude-3.5 | ROBERTA | pinc: Effect size = -0.0063, p = 0.9998
- Gpt-4O | ROBERTA | entropy: Effect size = -0.3171, p = 1.0000
- Gpt-4O | ROBERTA | pinc: Effect size = -0.0755, p = 1.0000
- Gpt-4O | SVM | entropy: Effect size = -0.4397, p = 0.9990
