Corpus,Threat Model,LLM,Metric,Higher is Better,Data Points,Mean Value,Slope,Slope HDI Lower,Slope HDI Upper,P(Improvement),Effect per 1000 words,Effect (500→2500),In ROPE,Conclusion
EBG,LOGREG,Llama-3.1,entropy,True,15,2.1677809426245793,0.07820879876365762,0.05222725234264947,0.10508743072746446,1.0,0.5196080117607725,1.039216023521545,0.000375,Significant Improvement
EBG,LOGREG,Claude-3.5,entropy,True,15,0.6698393667340166,0.011888962974426178,0.000252465334162079,0.02513076897715482,0.9705,0.07898856024764388,0.15797712049528775,0.375,Significant Improvement
EBG,LOGREG,Claude-3.5,bertscore,True,15,0.6063540498415629,0.007396661604142883,0.0038897711577231243,0.010918352629869905,0.999875,0.007396661604142883,0.014793323208285766,0.934375,Significant Improvement
EBG,LOGREG,Gpt-4O,entropy,True,15,2.0642710443817838,0.05076732910618999,0.036889681847315496,0.06382205444657141,1.0,0.33729083372049085,0.6745816674409817,0.0,Significant Improvement
EBG,LOGREG,Gpt-4O,bertscore,True,15,0.7935412009557088,0.02232447282526413,0.018254708472802715,0.026359452004238622,1.0,0.02232447282526413,0.04464894565052826,0.0,Significant Improvement
EBG,SVM,Gemma-2,entropy,True,15,1.7619638727576006,0.017798466366145696,0.002951029934521173,0.03353989515830495,0.987125,0.11825045093521433,0.23650090187042866,0.146375,Significant Improvement
EBG,SVM,Llama-3.1,entropy,True,15,3.8956387505291925,0.07559390281550257,0.029885287565215843,0.12130111638928438,0.996875,0.5022350191300057,1.0044700382600114,0.00425,Significant Improvement
EBG,SVM,Claude-3.5,bertscore,True,15,0.6063540498415629,0.007396815857686198,0.0038457276835205277,0.010556971892853342,0.999875,0.007396815857686198,0.014793631715372397,0.94025,Significant Improvement
EBG,SVM,Gpt-4O,entropy,True,15,3.790352020216583,0.0651607987030727,0.05339123624092006,0.07608076735396752,1.0,0.4329189757940744,0.8658379515881488,0.0,Significant Improvement
EBG,SVM,Gpt-4O,bertscore,True,15,0.7935412009557088,0.022352897168572985,0.018540322909804445,0.026331226532266872,1.0,0.022352897168572985,0.04470579433714597,0.0,Significant Improvement
EBG,ROBERTA,Gemma-2,accuracy@5,False,15,0.08296296296296296,-0.18969625974577442,-0.3255776223383431,-0.048710889784486566,0.99675,-0.18969625974577442,-0.37939251949154884,0.00275,Significant Improvement
EBG,ROBERTA,Claude-3.5,entropy,True,15,2.091451954841614,0.011033923751761616,0.0020507903321021165,0.02067299100373249,0.986375,0.07330780261564376,0.14661560523128753,0.40125,Significant Improvement
EBG,ROBERTA,Claude-3.5,bertscore,True,15,0.6063540498415629,0.007312697874474313,0.004109969410129187,0.010745867728136096,1.0,0.007312697874474313,0.014625395748948626,0.948875,Significant Improvement
EBG,ROBERTA,Gpt-4O,bertscore,True,15,0.7935412009557088,0.022364758988275505,0.01838759124166436,0.02620178174265369,1.0,0.022364758988275505,0.04472951797655101,0.0,Significant Improvement
RJ,LOGREG,Llama-3.1,accuracy@5,False,15,0.26031746031746034,-0.12571379267577368,-0.23585200168450127,-0.01601185847283733,0.98725,-0.12571379267577368,-0.25142758535154736,0.010625,Significant Improvement
RJ,LOGREG,Claude-3.5,bertscore,True,15,0.647423263390859,0.014631102903450724,0.0039759034713315105,0.025390970595418314,0.9935,0.014631102903450724,0.029262205806901448,0.185375,Significant Improvement
RJ,SVM,Llama-3.1,entropy,True,15,3.6508831005218867,0.0226630860550402,0.0006749194472718267,0.04512658251977096,0.976625,0.15057028456617608,0.30114056913235215,0.1185,Significant Improvement
RJ,SVM,Claude-3.5,accuracy@1,False,15,0.0761904761904762,-0.1594649908561441,-0.30222854044998976,-0.013314691771866762,0.9845,-0.1594649908561441,-0.3189299817122882,0.0105,Significant Improvement
RJ,SVM,Claude-3.5,entropy,True,15,2.7172191782829627,0.03523448903022599,0.026293085770183064,0.04417683622783601,1.0,0.23409287803701656,0.4681857560740331,0.0,Significant Improvement
RJ,SVM,Claude-3.5,bertscore,True,15,0.647423263390859,0.014861441708046999,0.0035731180615097263,0.025381502773066455,0.99325,0.014861441708046999,0.029722883416093998,0.167125,Significant Improvement
RJ,SVM,Gpt-4O,accuracy@5,False,15,0.38412698412698415,-0.1737467723819269,-0.276615017783618,-0.06948649412559307,0.999375,-0.1737467723819269,-0.3474935447638538,0.001,Significant Improvement
RJ,ROBERTA,Llama-3.1,entropy,True,15,1.5224901596705118,0.010857914362872513,0.001167925521607104,0.021266305897502377,0.9805,0.07213842154781443,0.14427684309562885,0.4225,Significant Improvement
RJ,ROBERTA,Claude-3.5,entropy,True,15,1.231649633248647,0.042310690535731096,0.024139329506942024,0.05899620787263074,1.0,0.28110614320945987,0.5622122864189197,0.0005,Significant Improvement
RJ,ROBERTA,Claude-3.5,bertscore,True,15,0.647423263390859,0.014716922198118204,0.0038649867650035205,0.025509094856159407,0.99375,0.014716922198118204,0.02943384439623641,0.184,Significant Improvement
