Corpus,LLM,Threat Model,bertscore,binary_acc1,binary_acc5,entropy,pinc,true_class_confidence
EBG,claude-3.5,logreg,Positive,Positive,Negative,Negative,Negative,Negative
EBG,claude-3.5,roberta,Positive,Positive,Negative,Negative,Negative,Negative
EBG,claude-3.5,svm,Positive,Positive,Negative,Negative,Negative,Negative
EBG,gemma-2,logreg,Positive,Negative,Negative,Positive,Negative,Negative
EBG,gemma-2,roberta,Positive,Negative,Negative,Positive,Negative,Negative
EBG,gemma-2,svm,Positive,Negative,Negative,Positive,Negative,Negative
EBG,gpt-4o,logreg,Positive,Negative,Positive,Negative,Negative,Negative
EBG,gpt-4o,roberta,Positive,Negative,Positive,Negative,Negative,Negative
EBG,gpt-4o,svm,Positive,Negative,Positive,Negative,Negative,Negative
EBG,llama-3.1,logreg,Negative,Negative,Positive,Positive,Positive,Negative
EBG,llama-3.1,roberta,Negative,Negative,Positive,Positive,Positive,Negative
EBG,llama-3.1,svm,Negative,Negative,Positive,Positive,Positive,Negative
EBG,ministral,logreg,Negative,Negative,Negative,Positive,Positive,Negative
EBG,ministral,roberta,Negative,Negative,Negative,Positive,Positive,Negative
EBG,ministral,svm,Negative,Negative,Negative,Positive,Positive,Negative
RJ,claude-3.5,logreg,Positive,Negative,Negative,Positive,Negative,Negative
RJ,claude-3.5,roberta,Positive,Negative,Negative,Positive,Negative,Negative
RJ,claude-3.5,svm,Positive,Negative,Negative,Positive,Negative,Negative
RJ,gemma-2,logreg,Positive,Negative,Negative,Negative,Negative,Negative
RJ,gemma-2,roberta,Positive,Negative,Negative,Negative,Negative,Negative
RJ,gemma-2,svm,Positive,Negative,Negative,Negative,Negative,Negative
RJ,gpt-4o,logreg,Positive,Negative,Negative,Positive,Negative,Negative
RJ,gpt-4o,roberta,Positive,Negative,Negative,Positive,Negative,Negative
RJ,gpt-4o,svm,Positive,Negative,Negative,Positive,Negative,Negative
RJ,llama-3.1,logreg,Positive,Negative,Negative,Positive,Negative,Negative
RJ,llama-3.1,roberta,Positive,Negative,Negative,Positive,Negative,Negative
RJ,llama-3.1,svm,Positive,Negative,Negative,Positive,Negative,Negative
RJ,ministral,logreg,Positive,Negative,Positive,Positive,Positive,Negative
RJ,ministral,roberta,Positive,Negative,Positive,Positive,Positive,Negative
RJ,ministral,svm,Positive,Negative,Positive,Positive,Positive,Negative
