Corpus,Threat Model,LLM,Metric,Higher is Better,Slope,Slope Std,Slope HDI Lower,Slope HDI Upper,P(Improvement),In ROPE,Conclusion
EBG,logreg,gemma-2,binary_acc1,False,0.3830175568358767,0.2628463873608356,-0.11048659029467614,0.9208616927647064,0.93125,0.026375,Inconclusive
EBG,logreg,gemma-2,binary_acc5,False,0.2164405166309435,0.18488617526547688,-0.13403317827465205,0.5846581032307474,0.877875,0.038625,Inconclusive
EBG,logreg,gemma-2,true_class_confidence,False,0.13513500018815183,0.11321792644379304,-0.0784937618013731,0.3607576069986267,0.119,0.03925,Inconclusive
EBG,logreg,gemma-2,entropy,True,0.11179943066245933,0.1094276939105787,-0.09639797324796037,0.3321941240880753,0.846625,0.04925,Inconclusive
EBG,logreg,gemma-2,bertscore,True,0.06875109586894775,0.03645484419736775,-0.0017919649857486653,0.14091800744090605,0.971,0.0145,Significant Improvement
EBG,logreg,gemma-2,pinc,True,-0.07639780046596159,0.051587375312572716,-0.1762830275563338,0.024977545447916437,0.068375,0.02725,Inconclusive
EBG,svm,gemma-2,binary_acc1,False,0.3807355546914868,0.2578938664347768,-0.1174599640929811,0.9003589247801341,0.934125,0.025875,Inconclusive
EBG,svm,gemma-2,binary_acc5,False,0.21677045532725292,0.18515871574778098,-0.14561923517329087,0.5776935619513074,0.88,0.042875,Inconclusive
EBG,svm,gemma-2,true_class_confidence,False,0.13454899362576425,0.11402590251632397,-0.08747460979146275,0.3542989478528953,0.116125,0.0355,Inconclusive
EBG,svm,gemma-2,entropy,True,0.11030317050194904,0.10931079839607855,-0.1078041723040773,0.32643353334910685,0.846375,0.045875,Inconclusive
EBG,svm,gemma-2,bertscore,True,0.06809240032276077,0.03606906031602326,0.0001319388839456214,0.14164325706500636,0.973125,0.01275,Significant Improvement
EBG,svm,gemma-2,pinc,True,-0.07502549162624578,0.05147537616421216,-0.17776799644802324,0.023156495981994905,0.07175,0.031,Inconclusive
EBG,roberta,gemma-2,binary_acc1,False,0.38388228590377343,0.2588800621108539,-0.1208848493027008,0.89307685173159,0.93475,0.026875,Inconclusive
EBG,roberta,gemma-2,binary_acc5,False,0.22171067177604858,0.19006507128933228,-0.14979152416115343,0.5943859606709362,0.877375,0.04,Inconclusive
EBG,roberta,gemma-2,true_class_confidence,False,0.13442199115609696,0.11235315238649042,-0.0863494093299417,0.34997350471506156,0.114375,0.0405,Inconclusive
EBG,roberta,gemma-2,entropy,True,0.11100156768274982,0.10855993182448913,-0.10396747677496075,0.3204770818031867,0.848125,0.0455,Inconclusive
EBG,roberta,gemma-2,bertscore,True,0.06832481081833422,0.03624378039358465,-0.004359871662211508,0.13763508442193725,0.968625,0.0145,Significant Improvement
EBG,roberta,gemma-2,pinc,True,-0.07473221963625633,0.05143853637527738,-0.17485476041580536,0.02795107159590273,0.072375,0.027875,Inconclusive
EBG,logreg,llama-3.1,binary_acc1,False,0.2563133390689518,0.21892626440057691,-0.15933531509911003,0.696210553736861,0.87775,0.039875,Inconclusive
EBG,logreg,llama-3.1,binary_acc5,False,-0.01600479221611153,0.1795644782505661,-0.3668271617380591,0.33804803117049637,0.46225,0.083125,Inconclusive
EBG,logreg,llama-3.1,true_class_confidence,False,0.15034115417344832,0.11347869739564834,-0.0610544248727557,0.37995504047981465,0.092,0.032875,Inconclusive
EBG,logreg,llama-3.1,entropy,True,0.03460109351184745,0.10495391104472272,-0.17619086999265188,0.24038991047486674,0.633,0.075,Inconclusive
EBG,logreg,llama-3.1,bertscore,True,-0.034566763590436464,0.036996794392272304,-0.1062091499973628,0.03793647588112171,0.175875,0.054,Inconclusive
