,,exemplar_length,exemplar_length,exemplar_length,exemplar_length,exemplar_length,binary_acc1,bertscore,bertscore
,,count,min,max,mean,nunique,mean,mean,std
llm,threat_model,,,,,,,,
claude-3.5,logreg,225,229,2660,1303.671111111111,175,0.03111111111111111,0.608707801633411,0.03952349975392543
claude-3.5,roberta,225,229,2660,1303.671111111111,175,0.03111111111111111,0.608707801633411,0.03952349975392543
claude-3.5,svm,225,229,2660,1303.671111111111,175,0.03111111111111111,0.608707801633411,0.03952349975392543
gemma-2,logreg,225,229,2660,1303.671111111111,175,0.13333333333333333,0.6768810579511855,0.07717210443724118
gemma-2,roberta,225,229,2660,1303.671111111111,175,0.13333333333333333,0.6768810579511855,0.07717210443724118
gemma-2,svm,225,229,2660,1303.671111111111,175,0.13333333333333333,0.6768810579511855,0.07717210443724118
gpt-4o,logreg,225,229,2660,1303.671111111111,175,0.2222222222222222,0.8006754197014703,0.06108161369619689
gpt-4o,roberta,225,229,2660,1303.671111111111,175,0.2222222222222222,0.8006754197014703,0.06108161369619689
gpt-4o,svm,225,229,2660,1303.671111111111,175,0.2222222222222222,0.8006754197014703,0.06108161369619689
llama-3.1,logreg,225,229,2660,1303.671111111111,175,0.2222222222222222,0.7405028471681807,0.06834819595494708
llama-3.1,roberta,225,229,2660,1303.671111111111,175,0.2222222222222222,0.7405028471681807,0.06834819595494708
llama-3.1,svm,225,229,2660,1303.671111111111,175,0.2222222222222222,0.7405028471681807,0.06834819595494708
ministral,logreg,225,229,2660,1303.671111111111,175,0.2222222222222222,0.7403466918733385,0.0763619464627302
ministral,roberta,225,229,2660,1303.671111111111,175,0.2222222222222222,0.7403466918733385,0.0763619464627302
ministral,svm,225,229,2660,1303.671111111111,175,0.2222222222222222,0.7403466918733385,0.0763619464627302
