corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,0,1444,0,0,4.225890574997108e-05,2.677333261748825,0.6105479598045349,0.8609387512413064,27,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,1,1525,0,0,2.2399706339702853e-05,1.3256071088823724,0.6105479598045349,0.8609387512413064,312,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,2,395,0,1,0.011173636071444863,0.35931580988348827,0.6105479598045349,0.8609387512413064,271,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,3,1278,0,0,2.0820750919403924e-06,1.2019566443991372,0.6105479598045349,0.8609387512413064,191,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,4,1866,0,1,5.740828127665813e-07,0.7429024875858933,0.6105479598045349,0.8609387512413064,75,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,5,1787,0,1,0.00018535254411766565,0.7770540781941981,0.6105479598045349,0.8609387512413064,176,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,6,436,0,0,0.0004249914678532803,0.5858234050836558,0.6105479598045349,0.8609387512413064,50,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,7,229,1,1,0.9910343343190674,0.07545507573249649,0.6105479598045349,0.8609387512413064,413,1,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,8,473,0,0,5.7127829364703715e-05,0.7571608433406821,0.6105479598045349,0.8609387512413064,206,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,9,1604,0,0,0.0014797457233119646,1.29796317079029,0.6105479598045349,0.8609387512413064,426,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,10,2372,0,0,1.6019560969483825e-10,0.002864052040271757,0.6105479598045349,0.8609387512413064,469,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,11,2124,0,0,2.5497040980648714e-07,1.72477974298361,0.6105479598045349,0.8609387512413064,26,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,12,548,0,0,9.872143946813181e-07,0.16956137474502034,0.6105479598045349,0.8609387512413064,45,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,13,2660,0,0,8.381603242185655e-08,0.9234727858929875,0.6105479598045349,0.8609387512413064,159,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,14,906,0,0,0.0016134549756888362,1.4141594324983442,0.6105479598045349,0.8609387512413064,385,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,15,554,0,1,0.0005981584623642926,1.0144526375710687,0.6105479598045349,0.8609387512413064,88,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,16,390,0,0,3.612012978494313e-10,0.00943631105958072,0.6105479598045349,0.8609387512413064,13,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,17,2168,0,0,0.004980431414484852,2.837213885707085,0.6105479598045349,0.8609387512413064,56,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,18,2228,0,1,0.0032140441343359327,0.2958522819061234,0.6105479598045349,0.8609387512413064,154,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,19,426,0,0,7.057749928081264e-05,1.685001895694399,0.6105479598045349,0.8609387512413064,356,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,20,430,0,0,7.277526639136856e-06,0.45330836185157275,0.6105479598045349,0.8609387512413064,288,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,21,2276,0,0,6.296746108784505e-05,0.5996687422970982,0.6105479598045349,0.8609387512413064,252,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,22,554,0,0,1.8420675960237808e-08,0.10547904135173808,0.6105479598045349,0.8609387512413064,88,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,23,1764,0,0,2.338160125123857e-06,0.04130290513773815,0.6105479598045349,0.8609387512413064,298,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,24,2472,0,0,7.256969588506326e-11,0.0025469091734019065,0.6105479598045349,0.8609387512413064,264,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,25,1820,0,0,6.258938076736597e-07,0.02741462357029853,0.6105479598045349,0.8609387512413064,470,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,26,243,0,0,2.9772386056981624e-08,0.0028503231899895784,0.6105479598045349,0.8609387512413064,314,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,27,1745,0,1,2.4271776565749872e-06,0.01963032885535259,0.6105479598045349,0.8609387512413064,119,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,28,2259,0,0,0.0036586869178776723,0.809244257911179,0.6105479598045349,0.8609387512413064,73,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,29,1046,0,0,1.1032487389138322e-08,1.3857848323776183,0.6105479598045349,0.8609387512413064,123,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,30,724,0,1,0.31902119381815913,2.2150006713110035,0.6105479598045349,0.8609387512413064,147,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,31,1492,0,0,3.07620456727959e-05,1.1982257463341683,0.6105479598045349,0.8609387512413064,419,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,32,519,0,0,0.00010860663836818741,0.19345016136762203,0.6105479598045349,0.8609387512413064,302,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,33,665,0,0,1.0199771351435309e-05,0.7697305046208942,0.6105479598045349,0.8609387512413064,134,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,34,2121,0,0,7.895013865099583e-05,0.08603468842732888,0.6105479598045349,0.8609387512413064,232,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,35,1501,0,0,1.6966321394777903e-09,0.15046340147113763,0.6105479598045349,0.8609387512413064,106,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,36,306,0,0,8.095963466903466e-07,0.13235138915892677,0.6105479598045349,0.8609387512413064,273,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,37,2514,0,1,0.11089494624650852,2.961064038119472,0.6105479598045349,0.8609387512413064,136,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,38,1203,0,0,1.7781736203886064e-10,0.021558970333873814,0.6105479598045349,0.8609387512413064,495,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,39,837,0,1,0.02906449107244639,0.554069676952528,0.6105479598045349,0.8609387512413064,337,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,40,1506,0,1,0.0012507113658387736,0.25696742192728855,0.6105479598045349,0.8609387512413064,182,0,1
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,41,1972,0,0,8.883294909356569e-11,0.0008784818257222863,0.6105479598045349,0.8609387512413064,383,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,42,718,0,0,3.8046494641848904e-08,0.7483856474297296,0.6105479598045349,0.8609387512413064,189,0,0
ebg,claude-3.5,claude-3-5-sonnet-20241022,roberta,98473,43,1416,0,1,0.00015925948956785823,0.060956196830661655,0.6105479598045349,0.8609387512413064,175,0,1
