corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,0,2198,0,1,0.0011122135311589579,0.4707351710973068,0.7944231033325195,0.6532455458875928,475,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,1,1524,0,0,4.705240757275104e-05,0.0680893787907873,0.7944231033325195,0.6532455458875928,205,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,2,2132,0,0,0.014262971758511427,2.8031730270310606,0.7944231033325195,0.6532455458875928,171,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,3,346,0,1,0.15460836725317575,3.422697926174885,0.7944231033325195,0.6532455458875928,180,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,4,805,0,1,0.05416416887682157,3.126593907599141,0.7944231033325195,0.6532455458875928,443,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,5,481,0,1,0.14556058330895985,2.2567713320772587,0.7944231033325195,0.6532455458875928,238,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,6,832,0,0,0.0009983860255678796,3.376546444586699,0.7944231033325195,0.6532455458875928,90,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,7,1296,1,1,0.9997947846103571,0.003814859745620179,0.7944231033325195,0.6532455458875928,393,1,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,8,898,0,1,0.1880321945730868,2.390022840350122,0.7944231033325195,0.6532455458875928,340,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,9,1017,0,1,0.3024591287784166,2.5528962172780396,0.7944231033325195,0.6532455458875928,274,0,1
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,10,1828,0,0,0.0053484053168838435,2.7804074161646835,0.7944231033325195,0.6532455458875928,253,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,11,300,0,0,0.0020883419365660687,3.5556304624032067,0.7944231033325195,0.6532455458875928,22,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,12,2072,0,0,0.010809468731788466,4.667330825222249,0.7944231033325195,0.6532455458875928,129,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,13,1664,0,0,0.019354195469351024,2.148018648848045,0.7944231033325195,0.6532455458875928,19,0,0
ebg,gpt-4o,gpt-4o-2024-08-06,roberta,103387,14,1733,0,0,0.03631285848717612,3.09046915669899,0.7944231033325195,0.6532455458875928,247,0,0
