corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,0,2198,0,1,0.21979122169604046,3.680641786700721,0.7414330244064331,0.6852607451052883,475,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,1,1524,0,0,1.6288412401256266e-05,0.013334738490297595,0.7414330244064331,0.6852607451052883,205,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,2,2132,0,1,0.06833334036105226,3.185654974176007,0.7414330244064331,0.6852607451052883,171,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,3,346,0,1,0.011251031492986546,1.622594361615731,0.7414330244064331,0.6852607451052883,180,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,4,805,0,0,0.036578071662110065,4.366423823930482,0.7414330244064331,0.6852607451052883,443,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,5,481,0,1,0.12305573792526671,1.459960047377541,0.7414330244064331,0.6852607451052883,238,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,6,832,0,0,7.116994146036539e-05,1.58169530660681,0.7414330244064331,0.6852607451052883,90,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,7,1296,0,1,0.37736983942961716,0.9812072819547928,0.7414330244064331,0.6852607451052883,393,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,8,898,0,0,0.01760051342810222,2.062271241550872,0.7414330244064331,0.6852607451052883,340,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,9,1017,0,0,0.0060076957026768,2.43128772750923,0.7414330244064331,0.6852607451052883,274,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,10,1828,0,1,0.06013108751623331,4.389952697037738,0.7414330244064331,0.6852607451052883,253,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,11,300,0,0,0.0004236150281521697,2.324004054223134,0.7414330244064331,0.6852607451052883,22,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,12,2072,1,1,0.28143448021136314,3.9951335900052998,0.7414330244064331,0.6852607451052883,129,1,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,13,1664,0,1,0.02669743795284997,1.728347741839321,0.7414330244064331,0.6852607451052883,19,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,14,1733,0,1,0.22804371781486038,3.1354658228320424,0.7414330244064331,0.6852607451052883,247,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,15,436,0,1,0.08032197042268774,1.547362307366428,0.7414330244064331,0.6852607451052883,50,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,16,2132,0,1,0.0075938050010344255,0.3253706330278989,0.7414330244064331,0.6852607451052883,171,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,17,691,1,1,0.22973916567742683,4.216070145083928,0.7414330244064331,0.6852607451052883,215,1,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,18,1484,0,1,0.3615605350100668,2.0038322273715385,0.7414330244064331,0.6852607451052883,80,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,19,422,0,0,4.983919220514212e-07,0.5050266202824322,0.7414330244064331,0.6852607451052883,304,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,20,981,0,0,0.004667050654539968,1.6797713449048872,0.7414330244064331,0.6852607451052883,61,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,21,484,0,1,0.0002948848613288259,0.02002437853035475,0.7414330244064331,0.6852607451052883,371,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,22,2060,1,1,0.2579491923345705,4.192980983613364,0.7414330244064331,0.6852607451052883,333,1,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,23,1937,1,1,0.6866292133100098,1.2934573525610227,0.7414330244064331,0.6852607451052883,242,1,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,24,1017,0,0,2.558286091495531e-17,0.1804692615849388,0.7414330244064331,0.6852607451052883,274,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,25,1719,0,0,0.0017531761939361522,3.5273868839976577,0.7414330244064331,0.6852607451052883,37,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,26,884,0,0,0.02644126791239935,2.3441551106165095,0.7414330244064331,0.6852607451052883,265,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,27,2311,1,1,0.4473103960810228,2.3152040476854725,0.7414330244064331,0.6852607451052883,269,1,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,28,1726,0,0,0.0003146624350426356,2.5342169608370932,0.7414330244064331,0.6852607451052883,342,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,29,981,1,1,0.732791758535273,1.9733160800466647,0.7414330244064331,0.6852607451052883,61,1,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,30,2036,0,1,0.3346292344044498,1.7913466118976014,0.7414330244064331,0.6852607451052883,435,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,31,1167,0,0,0.0005447996851972295,1.2508208545794384,0.7414330244064331,0.6852607451052883,148,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,32,1961,0,0,0.01009467122211776,3.7723308324909857,0.7414330244064331,0.6852607451052883,473,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,33,511,0,0,0.007154521102387927,1.147418701992616,0.7414330244064331,0.6852607451052883,101,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,34,741,0,0,0.008188968336013234,1.8072909317293995,0.7414330244064331,0.6852607451052883,367,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,35,1751,0,1,0.0016826744203841482,1.1048589079097664,0.7414330244064331,0.6852607451052883,153,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,36,446,0,0,0.02903489844936456,4.421381575424455,0.7414330244064331,0.6852607451052883,418,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,37,1589,0,1,0.01269957458445839,1.5730639112797051,0.7414330244064331,0.6852607451052883,355,0,1
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,38,229,0,0,4.396920635507663e-05,0.04054097748806665,0.7414330244064331,0.6852607451052883,413,0,0
ebg,llama-3.1,llama-3.1-8b-instruct,roberta,103387,39,1937,1,1,0.377905497339818,3.785878396244531,0.7414330244064331,0.6852607451052883,242,1,1
