corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,0,1444,0,0,4.225890574997108e-05,2.677318492058333,0.616007924079895,0.8900056818181818,27
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,1,1525,0,0,2.2399706339702853e-05,1.3255562227175863,0.6158432364463806,0.8734120811831464,312
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,2,395,0,1,0.011173636071444863,0.35931580988348827,0.5591229200363159,0.8471305339515325,271
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,3,1278,0,0,2.0820750919403924e-06,1.2017783112404135,0.6766132712364197,0.8069202685801516,191
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,4,1866,0,1,5.740828127665813e-07,0.7420830531506837,0.5968981981277466,0.8888132634278036,75
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,5,1787,0,1,0.00018535254411766565,0.7765789069756478,0.6190962791442871,0.8662158864382544,176
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,6,436,0,0,0.0004249914678532803,0.5857528215230859,0.5987622141838074,0.8869620245560472,50
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,7,229,1,1,0.9910343343190674,0.074831218624436,0.6488044857978821,0.8389215864424417,413
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,8,473,0,0,5.7127829364703715e-05,0.7571378877096989,0.6630847454071045,0.8166143936328072,206
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,9,1604,0,0,0.0014797457233119646,1.29796317079029,0.6188001036643982,0.8657861404128915,426
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,10,2372,0,0,1.6019560969483825e-10,0.002011981962439133,0.6766929626464844,0.8417510333344795,469
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,11,2124,0,0,2.5497040980648714e-07,1.7247028390366368,0.6209982633590698,0.8426095232029536,26
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,12,548,0,0,9.872143946813181e-07,0.16938291910203707,0.6280173659324646,0.8536961739573241,45
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,13,2660,0,0,8.381603242185655e-08,0.9229582961577172,0.6403747797012329,0.8458420842979375,159
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,14,906,0,0,0.0016134549756888362,1.4141498234856944,0.5503832697868347,0.8797272881098851,385
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,15,554,0,1,0.0005981584623642926,1.0143167388253214,0.6240500807762146,0.8013209208871609,88
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,16,390,0,0,3.612012978494313e-10,0.008603785604256585,0.5952680706977844,0.8710972860242235,13
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,17,2168,0,0,0.004980431414484852,2.837213885707085,0.5725205540657043,0.8656691920440625,56
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,18,2228,0,1,0.0032140441343359327,0.29557827663686104,0.6195028424263,0.7923329230166491,154
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,19,426,0,0,7.057749928081264e-05,1.685001895694399,0.6393819451332092,0.8591559763607048,356
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,20,430,0,0,7.277526639136856e-06,0.45293247152875216,0.5996718406677246,0.9013750502160665,288
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,21,2276,0,0,6.296746108784505e-05,0.599577714961035,0.6765512824058533,0.8230644911969398,252
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,22,554,0,0,1.8420675960237808e-08,0.10476930464063568,0.5525920391082764,0.9091008771929825,88
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,23,1764,0,0,2.338160125123857e-06,0.04071562726918517,0.636995255947113,0.8619243587029392,298
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,24,2472,0,0,7.256969588506326e-11,0.001710897721726078,0.5296494364738464,0.9250638935644633,264
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,25,1820,0,0,6.258938076736597e-07,0.02692301240463954,0.6495996713638306,0.8596059383222772,470
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,26,243,0,0,2.9772386056981624e-08,0.002074960823731843,0.578179657459259,0.8746384352362613,314
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,27,1745,0,1,2.4271776565749872e-06,0.01885369766958781,0.5782758593559265,0.8608978889038452,119
ebg,claude-3.5,claude-3-5-sonnet-20241022,svm,98473,28,2259,0,0,0.0036586869178776723,0.8091828942200973,0.6239364743232727,0.8171867066044711,73
