corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
ebg,gemma-2,gemma-2-9b-it,svm,105673,0,642,0,0,2.328013267097022e-07,0.08663333776834166,0.6953763961791992,0.8169633855859366,14
ebg,gemma-2,gemma-2-9b-it,svm,105673,1,270,0,0,4.312223791093991e-06,0.29000036079137453,0.6100277900695801,0.8537454665169139,360
ebg,gemma-2,gemma-2-9b-it,svm,105673,2,1380,0,1,0.20772518140344065,1.8029864992540892,0.581123948097229,0.8042440769863295,278
ebg,gemma-2,gemma-2-9b-it,svm,105673,3,2437,0,1,0.15071187858646293,3.583758901445111,0.8241371512413025,0.6184495511894186,381
ebg,gemma-2,gemma-2-9b-it,svm,105673,4,1525,0,0,0.028282137721956684,3.4873429862647156,0.7301378846168518,0.7700469383536648,422
ebg,gemma-2,gemma-2-9b-it,svm,105673,5,938,0,0,1.1491269903492306e-06,0.20278886606445198,0.6083097457885742,0.8427699574218888,482
ebg,gemma-2,gemma-2-9b-it,svm,105673,6,1073,0,0,0.005099225043808972,4.00212629203738,0.7098595499992371,0.7800256671502312,391
ebg,gemma-2,gemma-2-9b-it,svm,105673,7,731,1,1,0.964394779264751,0.22182322170664098,0.6066729426383972,0.8125749503180075,440
ebg,gemma-2,gemma-2-9b-it,svm,105673,8,1484,0,0,0.008200378180149374,3.854683036973104,0.7502685785293579,0.7279510707522934,377
ebg,gemma-2,gemma-2-9b-it,svm,105673,9,648,0,0,1.7807764676104092e-06,0.008909351236634472,0.5939507484436035,0.8561480832537999,494
ebg,gemma-2,gemma-2-9b-it,svm,105673,10,446,0,0,0.006400909509396565,2.337722503098359,0.7852743864059448,0.7211445717725343,418
ebg,gemma-2,gemma-2-9b-it,svm,105673,11,1937,0,0,9.484743860150991e-05,3.5514803745854056,0.6350966095924377,0.8034165179485957,242
ebg,gemma-2,gemma-2-9b-it,svm,105673,12,1937,0,0,3.576231834400705e-07,0.009801115155533896,0.6148622632026672,0.8581551416710909,242
ebg,gemma-2,gemma-2-9b-it,svm,105673,13,2137,0,0,0.03249602036477608,3.2898122554582603,0.7001935243606567,0.7941584758912827,30
ebg,gemma-2,gemma-2-9b-it,svm,105673,14,1262,0,1,0.15170714686910888,3.1276593080038517,0.840447187423706,0.4678334027505878,188
ebg,gemma-2,gemma-2-9b-it,svm,105673,15,981,0,1,0.08396225413215684,1.1669706993438498,0.654569685459137,0.7690363203113207,61
ebg,gemma-2,gemma-2-9b-it,svm,105673,16,1866,0,1,0.0001535668112697351,0.07077643844593762,0.7021572589874268,0.7880210082127083,75
ebg,gemma-2,gemma-2-9b-it,svm,105673,17,2456,0,0,0.02641918279188089,3.0917812002548044,0.6380794048309326,0.8793375018740909,481
ebg,gemma-2,gemma-2-9b-it,svm,105673,18,1406,0,1,0.08411017723867906,2.0081645405986954,0.6488469839096069,0.796991328533651,150
ebg,gemma-2,gemma-2-9b-it,svm,105673,19,1644,0,0,0.000485452166114443,0.748775581062421,0.6610172986984253,0.8086717505935189,313
ebg,gemma-2,gemma-2-9b-it,svm,105673,20,1787,0,0,2.094593142577961e-06,0.07812414401242,0.5631042122840881,0.8972737185083178,114
ebg,gemma-2,gemma-2-9b-it,svm,105673,21,1726,0,0,0.0001361953933981675,1.5256440720689024,0.6596889495849609,0.8098919193940504,342
ebg,gemma-2,gemma-2-9b-it,svm,105673,22,272,0,0,2.1880048247137945e-09,0.007795361855576795,0.5625178217887878,0.9035359219140684,42
ebg,gemma-2,gemma-2-9b-it,svm,105673,23,358,1,1,0.4297058615118053,1.7019658583967399,0.8556488752365112,0.5729124228680051,303
ebg,gemma-2,gemma-2-9b-it,svm,105673,24,1615,1,1,0.4541767741723441,2.564500804961253,0.6201632022857666,0.8581858571213894,442
ebg,gemma-2,gemma-2-9b-it,svm,105673,25,407,0,1,0.001099096180911326,1.6482719873217462,0.7877197265625,0.6904290294622956,275
ebg,gemma-2,gemma-2-9b-it,svm,105673,26,1048,0,1,0.017547840241960662,1.918567597666852,0.6561188101768494,0.8674197621892403,348
ebg,gemma-2,gemma-2-9b-it,svm,105673,27,2216,0,0,0.00011422172998418779,0.2097259485540694,0.6756646037101746,0.7710084459198838,305
ebg,gemma-2,gemma-2-9b-it,svm,105673,28,1203,0,0,0.006757129086698829,3.2493438693527463,0.6302481293678284,0.7744427683064035,495
ebg,gemma-2,gemma-2-9b-it,svm,105673,29,1786,0,0,4.0240480615683307e-05,1.243735161218538,0.5453232526779175,0.8973138017896083,483
ebg,gemma-2,gemma-2-9b-it,svm,105673,30,1948,1,1,0.604126135241928,1.9861981464744265,0.6635754704475403,0.7963487255619586,258
ebg,gemma-2,gemma-2-9b-it,svm,105673,31,1853,0,0,0.00024964079154355507,2.942819400485185,0.5356334447860718,0.8464555604509127,497
ebg,gemma-2,gemma-2-9b-it,svm,105673,32,497,0,0,0.0018039298502525662,2.5886623444456727,0.6570208072662354,0.800983735998958,168
ebg,gemma-2,gemma-2-9b-it,svm,105673,33,1894,0,0,0.0001678047834736783,2.329722379117638,0.6450682282447815,0.8617684812776092,299
ebg,gemma-2,gemma-2-9b-it,svm,105673,34,2224,0,0,0.0008325328044412377,1.7671180560064208,0.5987406969070435,0.855434918186345,117
ebg,gemma-2,gemma-2-9b-it,svm,105673,35,679,0,0,2.3533646635627154e-06,0.733720976288448,0.6539722681045532,0.8742085259107208,382
ebg,gemma-2,gemma-2-9b-it,svm,105673,36,1525,0,0,0.02306050308089073,3.574799133430869,0.6469372510910034,0.7790027976475626,312
ebg,gemma-2,gemma-2-9b-it,svm,105673,37,511,0,0,0.002654063831122397,1.6281112290993158,0.5892807245254517,0.8847760701419397,101
ebg,gemma-2,gemma-2-9b-it,svm,105673,38,1530,0,1,5.332777536007634e-06,0.2531122757567208,0.6954353451728821,0.7070178201632702,155
ebg,gemma-2,gemma-2-9b-it,svm,105673,39,1975,0,0,0.008799278141881712,3.976694272003006,0.7625749707221985,0.6386840200314727,54
ebg,gemma-2,gemma-2-9b-it,svm,105673,40,1250,0,1,0.4127823121041292,0.9785752742200592,0.6136350631713867,0.8627865550213272,94
ebg,gemma-2,gemma-2-9b-it,svm,105673,41,330,0,1,0.0038916562779128462,0.48550936193247024,0.7380654811859131,0.8012323919952596,396
ebg,gemma-2,gemma-2-9b-it,svm,105673,42,1070,0,0,0.0015383598879080743,0.6028779932833457,0.7547162771224976,0.6979385004898551,456
ebg,gemma-2,gemma-2-9b-it,svm,105673,43,1676,0,0,1.6429296023458486e-06,0.022854424047242253,0.646105170249939,0.7724206256866191,131
ebg,gemma-2,gemma-2-9b-it,svm,105673,44,2227,0,0,5.981274166366746e-06,0.0581787660437571,0.6446202993392944,0.8408305308076505,254
ebg,gemma-2,gemma-2-9b-it,svm,95617,0,938,0,0,1.0101217032717786e-11,0.0001715925646454871,0.6293598413467407,0.8900990299153686,482
ebg,gemma-2,gemma-2-9b-it,svm,95617,1,1484,0,0,5.533369110070421e-09,0.00021975111055183978,0.5794908404350281,0.8754323122529644,80
ebg,gemma-2,gemma-2-9b-it,svm,95617,2,349,0,1,0.0005444238436247689,0.0947584017806706,0.5877324342727661,0.7796026363385837,392
ebg,gemma-2,gemma-2-9b-it,svm,95617,3,2009,0,0,0.000675664305572391,1.2984754730827655,0.7075416445732117,0.7899468702072886,108
ebg,gemma-2,gemma-2-9b-it,svm,95617,4,779,0,1,0.0028004472226662333,0.9922454110004514,0.7197802662849426,0.7808103160572809,100
ebg,gemma-2,gemma-2-9b-it,svm,95617,5,1326,0,1,0.018488460471547733,1.1012342268191477,0.6160387992858887,0.8576043209663899,330
ebg,gemma-2,gemma-2-9b-it,svm,95617,6,1530,0,0,0.00014978047684721576,1.5824157229962919,0.5975453853607178,0.8872351716282999,155
ebg,gemma-2,gemma-2-9b-it,svm,95617,7,455,1,1,0.9966381726416004,0.040362006431026214,0.6274396181106567,0.8005968161433382,379
ebg,gemma-2,gemma-2-9b-it,svm,95617,8,2056,0,1,0.14720235990929656,2.4866569669631464,0.7219505310058594,0.7594987338594059,233
ebg,gemma-2,gemma-2-9b-it,svm,95617,9,311,1,1,0.2927558016151187,2.6683986563741096,0.7749605178833008,0.7038269810676191,295
ebg,gemma-2,gemma-2-9b-it,svm,95617,10,1444,0,0,1.468630825693266e-06,0.11642712485684346,0.6850669980049133,0.8307995921226528,27
ebg,gemma-2,gemma-2-9b-it,svm,95617,11,284,0,0,7.595068372486242e-05,1.5061966384843686,0.6159343123435974,0.8139202124311185,256
ebg,gemma-2,gemma-2-9b-it,svm,95617,12,390,0,0,4.830108225666602e-05,0.19771890678601203,0.6447464823722839,0.813765973670027,277
ebg,gemma-2,gemma-2-9b-it,svm,95617,13,2296,0,0,4.4505202029531735e-09,0.11002281342956784,0.5929337739944458,0.9056194354677365,480
