corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,0,2198,0,1,0.21979122169604046,3.680641786700721,0.7364005446434021,0.7471955202906118,475
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,1,1524,0,0,1.6288412401256266e-05,0.013048521027909763,0.7460290193557739,0.733061762077616,205
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,2,2132,0,1,0.06833334036105226,3.185654974176007,0.7005873322486877,0.6858525296825635,171
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,3,346,0,1,0.011251031492986546,1.622594361615731,0.807669460773468,0.6185176748769403,180
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,4,805,0,0,0.036578071662110065,4.366423823930482,0.8059656620025635,0.6570028244839416,443
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,5,481,0,1,0.12305573792526671,1.459960047377541,0.8435761332511902,0.48462171960357886,238
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,6,832,0,0,7.116994146036539e-05,1.58169530660681,0.8073410987854004,0.6547431408354341,90
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,7,1296,0,1,0.37736983942961716,0.9810478608451206,0.7184990048408508,0.7138897012183764,393
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,8,898,0,0,0.01760051342810222,2.062271241550872,0.7887812852859497,0.6628075279997735,340
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,9,1017,0,0,0.0060076957026768,2.43128772750923,0.8029643297195435,0.6138871009140243,274
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,10,1828,0,1,0.06013108751623331,4.389952697037738,0.8037897348403931,0.6336734171694313,253
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,11,300,0,0,0.0004236150281521697,2.324004054223134,0.8073955178260803,0.6310686646118204,22
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,12,2072,1,1,0.28143448021136314,3.9951335900052998,0.6815563440322876,0.7662594136542227,129
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,13,1664,0,1,0.02669743795284997,1.728347741839321,0.8081149458885193,0.5808901021710547,19
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,14,1733,0,1,0.22804371781486038,3.1354658228320424,0.778689980506897,0.6737020785252794,247
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,15,436,0,1,0.08032197042268774,1.547362307366428,0.6514880061149597,0.7456498022126475,50
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,16,2132,0,1,0.0075938050010344255,0.32528697157490805,0.7701687216758728,0.5920179433851857,171
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,17,691,1,1,0.22973916567742683,4.216070145083928,0.7021895051002502,0.6978402829036028,215
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,18,1484,0,1,0.3615605350100668,2.0038322273715385,0.6677893400192261,0.7449361659473378,80
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,19,422,0,0,4.983919220514212e-07,0.5045059797158837,0.7211058735847473,0.7455856705281155,304
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,20,981,0,0,0.004667050654539968,1.6797713449048872,0.752346396446228,0.6864189373452287,61
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,21,484,0,1,0.0002948848613288259,0.019884945512748334,0.7285194993019104,0.7013499052307641,371
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,22,2060,1,1,0.2579491923345705,4.192980983613364,0.6981558799743652,0.7583514050711997,333
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,23,1937,1,1,0.6866292133100098,1.2934573525610227,0.8789148330688477,0.5320683920025198,242
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,24,1017,0,0,2.558286091495531e-17,0.17961559680338293,0.6618207097053528,0.7902118325680122,274
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,25,1719,0,0,0.0017531761939361522,3.5273868839976577,0.6972568035125732,0.810403181432106,37
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,26,884,0,0,0.02644126791239935,2.3441551106165095,0.7056857347488403,0.795266398734944,265
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,27,2311,1,1,0.4473103960810228,2.3152040476854725,0.8032935261726379,0.411185055149793,269
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,28,1726,0,0,0.0003146624350426356,2.5342169608370932,0.7075048685073853,0.7278429292677638,342
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,29,981,1,1,0.732791758535273,1.9733160800466647,0.8127678632736206,0.5443481361138507,61
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,30,2036,0,1,0.3346292344044498,1.7913466118976014,0.7421776652336121,0.7478165320606434,435
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,31,1167,0,0,0.0005447996851972295,1.2508208545794384,0.6050057411193848,0.8318057011087143,148
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,32,1961,0,0,0.01009467122211776,3.7723308324909857,0.701475203037262,0.7327539275902845,473
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,33,511,0,0,0.007154521102387927,1.147418701992616,0.7215330004692078,0.7426053385360536,101
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,34,741,0,0,0.008188968336013234,1.8072909317293995,0.657792329788208,0.7778077000311613,367
ebg,llama-3.1,llama-3.1-8b-instruct,svm,103387,35,1751,0,1,0.0016826744203841482,1.1048589079097664,0.7514595985412598,0.7244860058573852,153
