corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,0,938,0,1,0.002030577488182145,0.02467923111973568,0.6572915315628052,0.8291869758256674,482,0,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,1,1484,0,0,3.273692246532223e-06,0.032032467708822385,0.6572915315628052,0.8291869758256674,80,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,2,349,0,0,2.4740969037213325e-12,0.00039890561104663936,0.6572915315628052,0.8291869758256674,392,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,3,2009,0,0,5.441877383282051e-08,0.010837260304070515,0.6572915315628052,0.8291869758256674,108,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,4,779,0,0,1.279235463400558e-07,0.007055676546370141,0.6572915315628052,0.8291869758256674,100,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,5,1326,0,0,2.960241905629981e-06,1.1685686873893966,0.6572915315628052,0.8291869758256674,330,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,6,1530,0,0,7.934378353744727e-09,0.000907848372049797,0.6572915315628052,0.8291869758256674,155,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,7,455,0,0,2.5588079661378477e-06,0.025907072484454965,0.6572915315628052,0.8291869758256674,379,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,8,2056,0,1,0.10842611469441386,2.071279629642166,0.6572915315628052,0.8291869758256674,233,0,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,9,311,0,0,0.000427722469489808,1.693135038001687,0.6572915315628052,0.8291869758256674,295,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,10,1444,0,1,1.7525364291864197e-12,0.000398631416194732,0.6572915315628052,0.8291869758256674,27,0,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,11,284,0,0,0.00012572412298703304,1.3275456244890513,0.6572915315628052,0.8291869758256674,256,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,12,390,0,1,0.00013458138367067023,0.2694770608355361,0.6572915315628052,0.8291869758256674,277,0,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,13,2296,0,0,4.7219948714237853e-08,0.08770442889214286,0.6572915315628052,0.8291869758256674,480,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,14,545,0,0,0.00011543974331345518,2.5276029742911,0.6572915315628052,0.8291869758256674,223,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,15,1826,0,0,4.993147455732211e-06,0.23126741972164636,0.6572915315628052,0.8291869758256674,364,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,16,2629,0,0,1.3444615922333625e-05,1.5439028292551835,0.6572915315628052,0.8291869758256674,400,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,17,231,0,0,1.4249955326391064e-07,0.026596090537122898,0.6572915315628052,0.8291869758256674,186,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,18,1644,0,1,0.2638321736737259,0.8349181372202786,0.6572915315628052,0.8291869758256674,313,0,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,19,539,0,0,0.006241930632200656,2.3211220636404026,0.6572915315628052,0.8291869758256674,463,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,95617,20,1542,0,0,2.4198718603236963e-09,0.002660487986012816,0.6572915315628052,0.8291869758256674,243,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,0,1030,0,1,9.070546650995715e-06,0.0005437245782482994,0.6553317904472351,0.8280303006333392,399,0,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,1,1167,0,0,2.7203991329878547e-08,0.9811316228992981,0.6553317904472351,0.8280303006333392,148,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,2,1326,0,0,1.1618104720016178e-08,0.009943801321104812,0.6553317904472351,0.8280303006333392,330,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,3,311,0,0,0.0014941781545479956,0.7721484389050545,0.6553317904472351,0.8280303006333392,295,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,4,1492,0,0,3.5585065564041067e-06,0.14708095876459965,0.6553317904472351,0.8280303006333392,29,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,5,1692,0,0,0.00011200392066542144,0.666086283156889,0.6553317904472351,0.8280303006333392,240,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,6,230,0,0,8.063202321396723e-16,0.0007579688735454504,0.6553317904472351,0.8280303006333392,228,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,7,1084,0,0,3.757257594629438e-07,0.0006590484007053332,0.6553317904472351,0.8280303006333392,375,0,0
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,8,2231,1,1,0.9889337720210949,0.08816194951787898,0.6553317904472351,0.8280303006333392,365,1,1
rj,claude-3.5,claude-3-5-sonnet-20241022,logreg,101089,9,955,0,0,0.0001285324161780709,1.487760963147017,0.6553317904472351,0.8280303006333392,431,0,0
