corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,0,938,0,1,0.002030577488182145,0.02446360098543601,0.649966835975647,0.8151706016954877,482
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,1,1484,0,0,3.273692246532223e-06,0.0318674316420275,0.6389416456222534,0.873426684606369,80
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,2,349,0,0,2.4740969037213325e-12,4.855071774302048e-06,0.6503196358680725,0.8174013491076111,392
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,3,2009,0,0,5.441877383282051e-08,0.010627595384410417,0.7597045302391052,0.7666718523611626,108
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,4,779,0,0,1.279235463400558e-07,0.0067547177007740615,0.6556271314620972,0.7768819400697349,100
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,5,1326,0,0,2.960241905629981e-06,1.168473460622512,0.7351327538490295,0.7498740086186647,330
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,6,1530,0,0,7.934378353744727e-09,0.0006920342345218632,0.6635779142379761,0.8440206092380005,155
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,7,455,0,0,2.5588079661378477e-06,0.025700625848886216,0.6797962188720703,0.8233105767809893,379
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,8,2056,0,1,0.10842611469441386,2.071279629642166,0.6477468013763428,0.8422065301894006,233
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,9,311,0,0,0.000427722469489808,1.693135038001687,0.6018121242523193,0.852545646411133,295
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,10,1444,0,1,1.7525364291864197e-12,6.648337014631133e-08,0.6347494125366211,0.8533207770636697,27
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,11,284,0,0,0.00012572412298703304,1.3275456244890513,0.6469748616218567,0.8411482655883331,256
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,12,390,0,1,0.00013458138367067023,0.2692773482504344,0.6074973940849304,0.8724183585141961,277
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,13,2296,0,0,4.7219948714237853e-08,0.08735382483613383,0.6571289300918579,0.8315358058663733,480
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,14,545,0,0,0.00011543974331345518,2.5276029742911,0.6082401275634766,0.8460038223754422,223
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,15,1826,0,0,4.993147455732211e-06,0.23106819630430347,0.6521109342575073,0.8377236282785778,364
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,16,2629,0,0,1.3444615922333625e-05,1.543884834770348,0.6773344874382019,0.8431413825329578,400
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,17,231,0,0,1.4249955326391064e-07,0.02634691971462228,0.702505886554718,0.8177442229775524,186
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,18,1644,0,1,0.2638321736737259,0.8347549821731295,0.6564608812332153,0.813858184710393,313
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,19,539,0,0,0.006241930632200656,2.3211220636404026,0.623636782169342,0.8638609129853954,463
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,95617,20,1542,0,0,2.4198718603236963e-09,0.0023936333355406574,0.6538556218147278,0.8306613323675689,243
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,0,1030,0,1,9.070546650995715e-06,0.0001651570832914156,0.6312034726142883,0.8051968838166701,399
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,1,1167,0,0,2.7203991329878547e-08,0.9809353549974366,0.6167062520980835,0.8603119939305919,148
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,2,1326,0,0,1.1618104720016178e-08,0.009691303037233789,0.664799690246582,0.7964479785464048,330
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,3,311,0,0,0.0014941781545479956,0.772134360128312,0.595300555229187,0.8997928167468557,295
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,4,1492,0,0,3.5585065564041067e-06,0.14699587307893835,0.6455715894699097,0.8648025087544025,29
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,5,1692,0,0,0.00011200392066542144,0.6660338632724202,0.7301848530769348,0.8100648648352896,240
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,6,230,0,0,8.063202321396723e-16,0.00038128889368485856,0.6518756151199341,0.8088533872967366,228
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,7,1084,0,0,3.757257594629438e-07,0.0003517169326572463,0.7086474299430847,0.7683587702078375,375
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,8,2231,1,1,0.9889337720210949,0.08787916937854566,0.6029546856880188,0.8495966854476626,365
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,9,955,0,0,0.0001285324161780709,1.4877400483380152,0.6547296047210693,0.7903770073145854,431
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,10,500,0,1,1.962382529071724e-05,0.01505324493498698,0.7075402736663818,0.7745620467329578,485
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,11,1651,0,0,8.267100345690078e-06,1.3585704126211577,0.6983755230903625,0.8047386627539285,306
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,12,1828,0,1,1.908108887969499e-09,1.8210662931179736e-07,0.6612675189971924,0.8244618238240278,253
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,13,240,0,0,2.0030162796266362e-05,1.4707295501048363,0.6570658087730408,0.8404402789000227,91
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,14,2585,1,1,0.9959874086553061,0.04173384348940776,0.6831434369087219,0.8371779856697374,197
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,15,344,0,1,7.649822188091215e-05,0.2963003044157344,0.6478604078292847,0.8287535134810318,1
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,16,1097,0,0,3.669226797447461e-06,1.5883128801973825,0.6554572582244873,0.8444790779348246,15
rj,claude-3.5,claude-3-5-sonnet-20241022,svm,101089,17,1415,0,0,3.3823236864503856e-07,0.02359738616151501,0.643218457698822,0.8278193038490574,187
