corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,0,1030,0,1,0.19053854048830943,0.9326515950579698,0.768187403678894,0.6737883781619302,399
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,1,1167,0,0,0.00014097524897332156,0.09438292573581132,0.6800554990768433,0.8480498954409389,148
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,2,1326,0,0,0.0013012187125965018,2.0587332552020743,0.7983587384223938,0.72142550230466,330
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,3,311,0,1,0.020952055789025283,1.0932861670627219,0.8770257830619812,0.6888512163306,295
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,4,1492,0,0,0.0028129072415261883,0.5390714754421682,0.837782084941864,0.5495075448659033,29
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,5,1692,0,0,0.00016682234714640394,0.8032142297515509,0.8395697474479675,0.6870213541234826,240
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,6,230,0,0,0.00017427037520033036,1.0254742082409667,0.813284695148468,0.6150549302047866,228
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,7,1084,0,1,2.4558261589108523e-05,0.002149355948228481,0.8075894117355347,0.6801201363497207,375
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,8,2231,0,1,0.1015609903507574,0.713147130709042,0.767477810382843,0.719681164946862,365
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,9,955,0,0,1.860153688749972e-05,0.0048255740600092,0.7876945734024048,0.6761611340723949,431
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,10,500,0,1,0.09482520564060559,1.7660509520738825,0.8943166136741638,0.4549723506611767,485
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,11,1651,0,0,0.0003752461433959589,1.2370063041384154,0.7667813897132874,0.736651826898836,306
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,12,1828,1,1,0.39350065917910915,2.0484976551359266,0.8370537161827087,0.6527538285866933,253
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,13,240,0,0,4.522058830389759e-05,0.8284875449384465,0.7657699584960938,0.7239538787911617,91
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,14,2585,0,1,0.0007445408136936372,0.42878275966505625,0.8080798983573914,0.6896753905528767,197
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,15,344,0,0,0.013771654856863798,1.2381840457173037,0.8384809494018555,0.689299200100564,1
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,16,1097,0,0,0.0005431213009004095,1.8626249311357586,0.774311363697052,0.7620888254430634,15
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,17,1415,0,0,0.0039760749012166955,1.322464345613763,0.84343022108078,0.6583224303933641,187
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,18,731,0,1,0.10753330146133244,1.513165579049777,0.7764630317687988,0.6879991776067473,440
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,19,781,0,0,0.0003551766912510861,2.3240057847421447,0.7618063688278198,0.7276870086988443,300
rj,gpt-4o,gpt-4o-2024-08-06,svm,101089,20,1641,0,0,6.423652590607846e-05,0.18216023872865195,0.8376753330230713,0.6486987281864915,445
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,0,1664,0,1,0.09045309940399827,1.5206609498125112,0.8652632236480713,0.5354649015241274,19
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,1,330,0,0,9.41224982395414e-06,0.4592438744984656,0.8145763278007507,0.6790541233743995,194
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,2,324,0,1,0.0015161261023323865,0.8637791025915375,0.798637866973877,0.6360630345836256,477
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,3,554,0,0,7.255080731224403e-07,0.0663463055590209,0.8302847743034363,0.7210732372439238,88
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,4,2296,0,1,0.0009362174115294354,0.14446213024840254,0.8440936803817749,0.56106238075347,480
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,5,240,0,0,4.0445447568790037e-05,1.0478297684217193,0.8150454759597778,0.7129861872269748,91
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,6,1182,0,0,2.6594393219154915e-08,0.00779135826729528,0.7713103890419006,0.730147497034262,93
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,7,1316,0,1,4.097749128491972e-06,0.12805462118844999,0.8029842376708984,0.7125115612232592,124
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,8,2586,0,0,0.0015238750539499917,0.8568195215313744,0.730726957321167,0.6961621048437532,151
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,9,2072,0,0,4.283360011769125e-07,0.00559658130160933,0.8171914219856262,0.6908461908461908,129
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,10,2437,1,1,0.42136581005378415,2.0581497245835947,0.8553500175476074,0.6056048586366017,381
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,11,1847,0,0,1.96198908027258e-06,0.19874856485130632,0.806906521320343,0.6817945066613378,453
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,12,349,0,1,0.07648754905282355,1.8335674482589752,0.803382933139801,0.6849909551361457,392
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,13,1288,0,0,6.8510173214049425e-06,1.382948956338263,0.8674810528755188,0.5434751396784083,160
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,14,394,0,1,0.003657134654542261,1.0514564775212418,0.8089220523834229,0.6882960963281206,462
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,15,1670,0,1,0.16749896063611158,2.6140479522300883,0.8298292756080627,0.6674573039888152,408
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,16,2027,0,0,6.687714162169574e-06,0.5692202597728724,0.770667552947998,0.7465165165165165,409
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,17,1894,0,1,0.0033560774745287026,0.3458868223383619,0.8386917114257812,0.6162947801971549,299
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,18,884,0,1,0.10486769771974369,0.6954219624034181,0.7576574683189392,0.7225106605344408,265
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,19,447,0,0,0.0003807784708863278,0.9461503756190742,0.7954055666923523,0.6914417715598284,378
rj,gpt-4o,gpt-4o-2024-08-06,svm,108061,20,999,0,0,2.413151556361337e-06,0.03789609957049632,0.842379629611969,0.6019576727207901,459
rj,gpt-4o,gpt-4o-2024-08-06,svm,95617,0,938,0,0,3.4224913350781607e-06,0.023802332799892714,0.7515572309494019,0.7610627448466213,482
rj,gpt-4o,gpt-4o-2024-08-06,svm,95617,1,1484,0,0,3.6187886199548556e-05,1.7947609937110338,0.810753583908081,0.6945755070109876,80
