corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
rj,ministral,ministral-8b-instruct-2410,svm,101089,0,1030,1,1,0.9999886867422593,0.0002299816379257597,0.7536711692810059,0.5042989261888766,399
rj,ministral,ministral-8b-instruct-2410,svm,101089,1,1167,0,0,0.0003752609725001664,1.1367030386351453,0.7375102639198303,0.7085624151723275,148
rj,ministral,ministral-8b-instruct-2410,svm,101089,2,1326,0,0,9.982926598028388e-07,0.22404192371038248,0.763951301574707,0.5679617905472607,330
rj,ministral,ministral-8b-instruct-2410,svm,101089,3,311,0,1,0.03753883949628757,2.2282271845162382,0.8965989351272583,0.5767058877913379,295
rj,ministral,ministral-8b-instruct-2410,svm,101089,4,1492,0,0,5.5772122628753886e-05,0.11895577790010588,0.6173449158668518,0.7855147650078793,29
rj,ministral,ministral-8b-instruct-2410,svm,101089,5,1692,0,0,0.00010737250130581667,0.9229067350159822,0.796166181564331,0.6764205678978548,240
rj,ministral,ministral-8b-instruct-2410,svm,101089,6,230,0,0,5.0088384254923574e-11,0.013649292528767468,0.7759801149368286,0.6230790654577765,228
rj,ministral,ministral-8b-instruct-2410,svm,101089,7,1084,0,0,2.7318859602105884e-06,0.008535930549836162,0.7803260684013367,0.64864847645948,375
rj,ministral,ministral-8b-instruct-2410,svm,101089,8,2231,0,1,0.35402617475138587,1.6426320385581323,0.7735586166381836,0.6296180293456406,365
rj,ministral,ministral-8b-instruct-2410,svm,101089,9,955,0,0,0.0001542556216951568,0.037822766141036995,0.7085643410682678,0.6322047821047206,431
rj,ministral,ministral-8b-instruct-2410,svm,101089,10,500,0,1,0.035472517288928994,1.2150153946885247,0.8544824123382568,0.5340820687905292,485
rj,ministral,ministral-8b-instruct-2410,svm,101089,11,1651,0,0,2.9345882984189344e-07,0.6409926130206426,0.7251279354095459,0.6348444390415923,306
rj,ministral,ministral-8b-instruct-2410,svm,101089,12,1828,0,0,0.00895225438697277,1.5847011709358947,0.7987802028656006,0.6357588951883097,253
rj,ministral,ministral-8b-instruct-2410,svm,101089,13,240,0,0,5.288096943204229e-10,2.6062946002036372e-05,0.7544929385185242,0.6768934707163217,91
rj,ministral,ministral-8b-instruct-2410,svm,101089,14,2585,1,1,0.9080185622076992,0.5708850993143655,0.7248705625534058,0.7145008575673365,197
rj,ministral,ministral-8b-instruct-2410,svm,101089,15,344,0,1,0.007593725405011711,0.4317146946960125,0.7732044458389282,0.6380217458384847,1
rj,ministral,ministral-8b-instruct-2410,svm,101089,16,1097,0,0,0.00286428329754544,2.832742760601769,0.6624969244003296,0.806895923735584,15
rj,ministral,ministral-8b-instruct-2410,svm,101089,17,1415,0,1,0.3090186021561124,1.7634974095023512,0.7307509779930115,0.6873866037261942,187
rj,ministral,ministral-8b-instruct-2410,svm,101089,18,731,0,1,0.35392587636612755,0.9688607466176268,0.771369993686676,0.599565184558687,440
rj,ministral,ministral-8b-instruct-2410,svm,101089,19,781,0,0,8.976262818948948e-11,0.00010197774941909196,0.6659923791885376,0.7515485564578854,300
rj,ministral,ministral-8b-instruct-2410,svm,101089,20,1641,0,0,2.3472393287211257e-05,0.6780436328831941,0.8002972602844238,0.6214815539956505,445
rj,ministral,ministral-8b-instruct-2410,svm,95617,0,938,0,1,1.626233348548221e-05,0.004781647559505484,0.7157320976257324,0.689929770055389,482
rj,ministral,ministral-8b-instruct-2410,svm,95617,1,1484,0,0,2.5358993772484504e-10,9.622343750966953e-05,0.7304953336715698,0.6506455357030603,80
rj,ministral,ministral-8b-instruct-2410,svm,95617,2,349,0,0,8.089870271389324e-05,1.3473695478392054,0.87467360496521,0.4297444142428913,392
rj,ministral,ministral-8b-instruct-2410,svm,95617,3,2009,0,0,1.3921598828544078e-05,0.03241610930647854,0.7840697169303894,0.5805107129888034,108
rj,ministral,ministral-8b-instruct-2410,svm,95617,4,779,0,1,6.549851470884883e-06,0.0012290672805458194,0.6295953392982483,0.7747215860738775,100
rj,ministral,ministral-8b-instruct-2410,svm,95617,5,1326,0,0,4.3645679759879695e-08,0.0008450535060481879,0.8240901231765747,0.5788419502427258,330
rj,ministral,ministral-8b-instruct-2410,svm,95617,6,1530,0,0,1.6447118646238453e-13,0.0941279741543774,0.7938492894172668,0.5636757668738044,155
rj,ministral,ministral-8b-instruct-2410,svm,95617,7,455,0,0,6.593293169353396e-06,0.008535551812766171,0.7970001101493835,0.6328648080020188,379
rj,ministral,ministral-8b-instruct-2410,svm,95617,8,2056,1,1,0.9999840461464498,0.0003092120017438711,0.7285462021827698,0.6560403591084611,233
rj,ministral,ministral-8b-instruct-2410,svm,95617,9,311,0,1,9.39860099932767e-05,0.02808554945205052,0.7116326689720154,0.7323511960587348,295
rj,ministral,ministral-8b-instruct-2410,svm,95617,10,1444,0,1,5.029820025800233e-06,0.001334187937595066,0.7191057205200195,0.6494415125835742,27
rj,ministral,ministral-8b-instruct-2410,svm,95617,11,284,0,0,0.0006962710711742634,1.9844043013978183,0.7290346622467041,0.7099765637571304,256
rj,ministral,ministral-8b-instruct-2410,svm,95617,12,390,0,1,0.15094760036428684,2.362863609316208,0.7451254725456238,0.638176815955218,277
rj,ministral,ministral-8b-instruct-2410,svm,95617,13,2296,0,1,0.07472931218031488,2.195947669506484,0.7275329232215881,0.6870688168333908,480
rj,ministral,ministral-8b-instruct-2410,svm,95617,14,545,0,1,0.42455968314919373,1.595847621229263,0.7648491263389587,0.6831630162078582,223
rj,ministral,ministral-8b-instruct-2410,svm,95617,15,1826,0,0,0.005345543139219303,1.687641958688956,0.8234908580780029,0.5783464049118853,364
rj,ministral,ministral-8b-instruct-2410,svm,95617,16,2629,0,0,1.3006470374349351e-05,0.9491024036926682,0.7155327200889587,0.7506397197654774,400
rj,ministral,ministral-8b-instruct-2410,svm,95617,17,231,1,1,0.708310575199129,1.6579095184531116,0.7085923552513123,0.6776676530895619,186
rj,ministral,ministral-8b-instruct-2410,svm,95617,18,1644,0,1,0.04248234365520027,0.2590471513232699,0.840346097946167,0.5820499779333222,313
rj,ministral,ministral-8b-instruct-2410,svm,95617,19,539,0,0,6.29093413454828e-06,0.010504860939298494,0.7012554407119751,0.7387604740122726,463
rj,ministral,ministral-8b-instruct-2410,svm,95617,20,1542,0,0,4.630098643592114e-06,1.0998916147998543,0.8109781742095947,0.5664339086133328,243
rj,ministral,ministral-8b-instruct-2410,svm,93187,0,814,0,0,5.246739005953633e-06,0.0019337183182959361,0.7065795660018921,0.7153058463462314,229
rj,ministral,ministral-8b-instruct-2410,svm,93187,1,1280,0,0,1.638459848556001e-07,0.2410534305898684,0.766384482383728,0.6252897227747901,315
rj,ministral,ministral-8b-instruct-2410,svm,93187,2,1764,0,1,0.2076209666871228,1.6606715508453287,0.8241358995437622,0.6264980212260512,298
rj,ministral,ministral-8b-instruct-2410,svm,93187,3,538,0,0,1.941709780590761e-07,0.07622238302459629,0.7883121967315674,0.6988622428500653,89
rj,ministral,ministral-8b-instruct-2410,svm,93187,4,1764,0,0,0.001153346405725195,0.19514605611798774,0.66788250207901,0.6821758667218287,132
rj,ministral,ministral-8b-instruct-2410,svm,93187,5,1670,0,0,2.1186403114462996e-09,0.00023370632229863207,0.8154761791229248,0.6154045165799613,327
