Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama 3.1,"1-0.606 [1-0.661, 1-0.508]","1-0.710 [1-0.788, 1-0.620]","1-0.363 [1-0.411, 1-0.295]","1-1.669 [1-1.782, 1-1.628]","1-0.737 [1-0.833, 1-0.635]","1-0.798 [1-0.890, 1-0.708]",".899 [.830, .961]","1-0.503 [1-0.614, 1-0.387]","1-0.868 [1-0.943, 1-0.793]"
EBG,LogReg,GPT4o,"1-0.258 [1-0.368, 1-0.146]","1-0.255 [1-0.364, 1-0.143]","1-0.118 [1-0.215, 1-0.007]","1-1.669 [1-1.782, 1-1.628]","1-0.745 [1-0.845, 1-0.646]","1-0.495 [1-0.608, 1-0.378]",".606 [.496, .711]","1-0.207 [1-0.298, 1-0.120]","1-0.090 [1-0.163, 1-0.035]"
EBG,LogReg,Ministral,"1-0.601 [1-0.659, 1-0.493]","1-0.705 [1-0.785, 1-0.618]","1-0.358 [1-0.407, 1-0.288]","1-1.669 [1-1.782, 1-1.628]","1-0.777 [1-0.880, 1-0.678]","1-0.823 [1-0.910, 1-0.735]",".896 [.823, .957]","1-0.511 [1-0.633, 1-0.406]","1-0.870 [1-0.946, 1-0.791]"
EBG,LogReg,Sonnet 3.5,"1-0.507 [1-0.586, 1-0.425]","1-0.385 [1-0.495, 1-0.267]","1-0.271 [1-0.351, 1-0.189]","1-1.669 [1-1.782, 1-1.628]","1-0.921 [1-0.974, 1-0.852]","1-0.752 [1-0.842, 1-0.652]",".787 [.693, .873]","1-0.337 [1-0.443, 1-0.229]","1-0.144 [1-0.224, 1-0.071]"
EBG,LogReg,Gemma 2,"1-0.611 [1-0.662, 1-0.504]","1-0.701 [1-0.784, 1-0.608]","1-0.361 [1-0.409, 1-0.298]","1-1.669 [1-1.782, 1-1.628]","1-0.879 [1-0.951, 1-0.798]","1-0.839 [1-0.924, 1-0.751]",".900 [.833, .961]","1-0.508 [1-0.615, 1-0.395]","1-0.870 [1-0.941, 1-0.794]"
EBG,SVM,Llama 3.1,"1-0.663 [1-0.725, 1-0.557]","1-0.758 [1-0.830, 1-0.676]","1-0.189 [1-0.238, 1-0.126]","1-3.310 [1-3.423, 1-3.269]","1-0.737 [1-0.833, 1-0.635]","1-0.798 [1-0.890, 1-0.708]",".899 [.830, .961]","1-0.503 [1-0.614, 1-0.387]","1-0.868 [1-0.943, 1-0.793]"
EBG,SVM,GPT4o,"1-0.321 [1-0.427, 1-0.205]","1-0.196 [1-0.303, 1-0.091]","1-0.074 [1-0.152, .019]","1-3.310 [1-3.423, 1-3.269]","1-0.745 [1-0.845, 1-0.646]","1-0.495 [1-0.608, 1-0.378]",".606 [.496, .711]","1-0.207 [1-0.298, 1-0.120]","1-0.090 [1-0.163, 1-0.035]"
EBG,SVM,Ministral,"1-0.644 [1-0.703, 1-0.563]","1-0.713 [1-0.796, 1-0.616]","1-0.173 [1-0.229, 1-0.110]","1-3.310 [1-3.423, 1-3.269]","1-0.777 [1-0.880, 1-0.678]","1-0.823 [1-0.910, 1-0.735]",".896 [.823, .957]","1-0.511 [1-0.633, 1-0.406]","1-0.870 [1-0.946, 1-0.791]"
EBG,SVM,Sonnet 3.5,"1-0.553 [1-0.639, 1-0.464]","1-0.545 [1-0.656, 1-0.435]","1-0.135 [1-0.199, 1-0.058]","1-3.310 [1-3.423, 1-3.269]","1-0.921 [1-0.974, 1-0.852]","1-0.752 [1-0.842, 1-0.652]",".787 [.693, .873]","1-0.337 [1-0.443, 1-0.229]","1-0.144 [1-0.224, 1-0.071]"
EBG,SVM,Gemma 2,"1-0.645 [1-0.704, 1-0.576]","1-0.719 [1-0.798, 1-0.627]","1-0.181 [1-0.233, 1-0.117]","1-3.310 [1-3.423, 1-3.269]","1-0.879 [1-0.951, 1-0.798]","1-0.839 [1-0.924, 1-0.751]",".900 [.833, .961]","1-0.508 [1-0.615, 1-0.395]","1-0.870 [1-0.941, 1-0.794]"
