Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Basic Paraphrase,LogReg,Llama-3.1,-0.644,-0.742,-0.405,0.234,-0.760,-0.827,0.937,-0.503,-0.902
EBG,Basic Paraphrase,LogReg,GPT-4o,-0.267,-0.244,-0.135,-0.124,-0.767,-0.495,0.615,-0.179,-0.052
EBG,Basic Paraphrase,LogReg,Ministral,-0.636,-0.738,-0.397,-0.271,-0.802,-0.855,0.933,-0.512,-0.906
EBG,Basic Paraphrase,LogReg,Claude-3.5,-0.538,-0.387,-0.304,-0.405,-0.960,-0.775,0.813,-0.322,-0.112
EBG,Basic Paraphrase,LogReg,Gemma-2,-0.649,-0.733,-0.401,-0.078,-0.914,-0.873,0.936,-0.507,-0.905
EBG,Basic Paraphrase,SVM,Llama-3.1,-0.698,-0.791,-0.229,0.142,-0.760,-0.827,0.937,-0.503,-0.902
EBG,Basic Paraphrase,SVM,GPT-4o,-0.329,-0.178,-0.105,0.112,-0.767,-0.495,0.615,-0.179,-0.052
EBG,Basic Paraphrase,SVM,Ministral,-0.684,-0.742,-0.213,-0.263,-0.802,-0.855,0.933,-0.512,-0.906
EBG,Basic Paraphrase,SVM,Claude-3.5,-0.582,-0.560,-0.171,-0.746,-0.960,-0.775,0.813,-0.322,-0.112
EBG,Basic Paraphrase,SVM,Gemma-2,-0.684,-0.751,-0.220,-0.629,-0.914,-0.873,0.936,-0.507,-0.905
EBG,Basic Paraphrase,RoBERTa,Llama-3.1,-0.867,-0.853,-0.826,0.726,-0.760,-0.827,0.937,-0.503,-0.902
EBG,Basic Paraphrase,RoBERTa,GPT-4o,-0.307,-0.182,-0.304,0.834,-0.767,-0.495,0.615,-0.179,-0.052
EBG,Basic Paraphrase,RoBERTa,Ministral,-0.867,-0.836,-0.825,0.832,-0.802,-0.855,0.933,-0.512,-0.906
EBG,Basic Paraphrase,RoBERTa,Claude-3.5,-0.369,-0.236,-0.374,0.803,-0.960,-0.775,0.813,-0.322,-0.112
EBG,Basic Paraphrase,RoBERTa,Gemma-2,-0.867,-0.836,-0.826,0.832,-0.914,-0.873,0.936,-0.507,-0.905
