Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Basic Paraphrase,LogReg,Llama-3.1,"0.060 [0.006, 0.159]","0.157 [0.079, 0.246]","0.063 [0.015, 0.132]","5.259 [4.638, 5.484]","0.263 [0.167, 0.365]","0.202 [0.110, 0.292]","0.899 [0.830, 0.961]","0.497 [0.386, 0.613]","0.132 [0.057, 0.207]"
EBG,Basic Paraphrase,LogReg,GPT-4o,"0.409 [0.299, 0.521]","0.612 [0.502, 0.724]","0.308 [0.211, 0.419]","5.259 [4.638, 5.484]","0.255 [0.155, 0.354]","0.505 [0.392, 0.622]","0.606 [0.496, 0.711]","0.793 [0.702, 0.880]","0.910 [0.837, 0.965]"
EBG,Basic Paraphrase,LogReg,Ministral,"0.066 [0.007, 0.173]","0.161 [0.081, 0.248]","0.069 [0.019, 0.139]","5.259 [4.638, 5.484]","0.223 [0.120, 0.322]","0.177 [0.090, 0.265]","0.896 [0.823, 0.957]","0.489 [0.367, 0.594]","0.130 [0.054, 0.209]"
EBG,Basic Paraphrase,LogReg,Claude-3.5,"0.160 [0.081, 0.242]","0.482 [0.372, 0.600]","0.155 [0.076, 0.237]","5.259 [4.638, 5.484]","0.079 [0.026, 0.148]","0.248 [0.158, 0.348]","0.787 [0.693, 0.873]","0.663 [0.557, 0.771]","0.856 [0.776, 0.929]"
EBG,Basic Paraphrase,LogReg,Gemma-2,"0.056 [0.005, 0.163]","0.166 [0.083, 0.259]","0.065 [0.017, 0.128]","5.259 [4.638, 5.484]","0.121 [0.049, 0.202]","0.161 [0.076, 0.249]","0.900 [0.833, 0.961]","0.492 [0.385, 0.605]","0.130 [0.059, 0.206]"
EBG,Basic Paraphrase,SVM,Llama-3.1,"0.071 [0.009, 0.177]","0.131 [0.059, 0.213]","0.064 [0.015, 0.127]","5.259 [4.638, 5.484]","0.263 [0.167, 0.365]","0.202 [0.110, 0.292]","0.899 [0.830, 0.961]","0.497 [0.386, 0.613]","0.132 [0.057, 0.207]"
EBG,Basic Paraphrase,SVM,GPT-4o,"0.412 [0.306, 0.528]","0.693 [0.586, 0.798]","0.179 [0.101, 0.272]","5.259 [4.638, 5.484]","0.255 [0.155, 0.354]","0.505 [0.392, 0.622]","0.606 [0.496, 0.711]","0.793 [0.702, 0.880]","0.910 [0.837, 0.965]"
EBG,Basic Paraphrase,SVM,Ministral,"0.089 [0.030, 0.170]","0.176 [0.093, 0.273]","0.080 [0.023, 0.143]","5.259 [4.638, 5.484]","0.223 [0.120, 0.322]","0.177 [0.090, 0.265]","0.896 [0.823, 0.957]","0.489 [0.367, 0.594]","0.130 [0.054, 0.209]"
EBG,Basic Paraphrase,SVM,Claude-3.5,"0.181 [0.094, 0.270]","0.344 [0.233, 0.454]","0.118 [0.053, 0.195]","5.259 [4.638, 5.484]","0.079 [0.026, 0.148]","0.248 [0.158, 0.348]","0.787 [0.693, 0.873]","0.663 [0.557, 0.771]","0.856 [0.776, 0.929]"
EBG,Basic Paraphrase,SVM,Gemma-2,"0.088 [0.030, 0.158]","0.170 [0.091, 0.262]","0.072 [0.020, 0.136]","5.259 [4.638, 5.484]","0.121 [0.049, 0.202]","0.161 [0.076, 0.249]","0.900 [0.833, 0.961]","0.492 [0.385, 0.605]","0.130 [0.059, 0.206]"
EBG,Basic Paraphrase,RoBERTa,Llama-3.1,"0.044 [0.001, 0.163]","0.116 [0.043, 0.193]","0.045 [0.007, 0.116]","5.259 [4.638, 5.484]","0.263 [0.167, 0.365]","0.202 [0.110, 0.292]","0.899 [0.830, 0.961]","0.497 [0.386, 0.613]","0.132 [0.057, 0.207]"
EBG,Basic Paraphrase,RoBERTa,GPT-4o,"0.556 [0.447, 0.666]","0.728 [0.621, 0.829]","0.524 [0.410, 0.637]","5.259 [4.638, 5.484]","0.255 [0.155, 0.354]","0.505 [0.392, 0.622]","0.606 [0.496, 0.711]","0.793 [0.702, 0.880]","0.910 [0.837, 0.965]"
EBG,Basic Paraphrase,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.132 [0.062, 0.211]","0.047 [0.008, 0.115]","5.259 [4.638, 5.484]","0.223 [0.120, 0.322]","0.177 [0.090, 0.265]","0.896 [0.823, 0.957]","0.489 [0.367, 0.594]","0.130 [0.054, 0.209]"
EBG,Basic Paraphrase,RoBERTa,Claude-3.5,"0.499 [0.383, 0.608]","0.682 [0.581, 0.791]","0.460 [0.347, 0.577]","5.259 [4.638, 5.484]","0.079 [0.026, 0.148]","0.248 [0.158, 0.348]","0.787 [0.693, 0.873]","0.663 [0.557, 0.771]","0.856 [0.776, 0.929]"
EBG,Basic Paraphrase,RoBERTa,Gemma-2,"0.044 [0.001, 0.163]","0.132 [0.061, 0.215]","0.045 [0.006, 0.113]","5.259 [4.638, 5.484]","0.121 [0.049, 0.202]","0.161 [0.076, 0.249]","0.900 [0.833, 0.961]","0.492 [0.385, 0.605]","0.130 [0.059, 0.206]"
