Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama-3.1,"-90.9% [-99.1%, -76.1%]","-81.9% [-90.9%, -71.6%]","-85.2% [-96.5%, -69.1%]","-63.5% [-67.9%, -62.0%]","-73.7% [-83.3%, -63.5%]","-79.8% [-89.0%, -70.8%]","89.9% [83.0%, 96.1%]","-50.3% [-61.4%, -38.7%]","-86.8% [-94.3%, -79.3%]"
EBG,LogReg,GPT-4o,"-38.6% [-55.1%, -21.9%]","-29.4% [-42.0%, -16.5%]","-27.7% [-50.5%, -1.7%]","-63.5% [-67.9%, -62.0%]","-74.5% [-84.5%, -64.6%]","-49.5% [-60.8%, -37.8%]","60.6% [49.6%, 71.1%]","-20.7% [-29.8%, -12.0%]","-9.0% [-16.3%, -3.5%]"
EBG,LogReg,Ministral,"-90.1% [-98.9%, -74.0%]","-81.4% [-90.6%, -71.3%]","-83.8% [-95.5%, -67.4%]","-63.5% [-67.9%, -62.0%]","-77.7% [-88.0%, -67.8%]","-82.3% [-91.0%, -73.5%]","89.6% [82.3%, 95.7%]","-51.1% [-63.3%, -40.6%]","-87.0% [-94.6%, -79.1%]"
EBG,LogReg,Claude-3.5,"-76.1% [-87.9%, -63.8%]","-44.4% [-57.1%, -30.8%]","-63.6% [-82.3%, -44.4%]","-63.5% [-67.9%, -62.0%]","-92.1% [-97.4%, -85.2%]","-75.2% [-84.2%, -65.2%]","78.7% [69.3%, 87.3%]","-33.7% [-44.3%, -22.9%]","-14.4% [-22.4%, -7.1%]"
EBG,LogReg,Gemma-2,"-91.6% [-99.3%, -75.6%]","-80.9% [-90.4%, -70.1%]","-84.7% [-96.0%, -69.9%]","-63.5% [-67.9%, -62.0%]","-87.9% [-95.1%, -79.8%]","-83.9% [-92.4%, -75.1%]","90.0% [83.3%, 96.1%]","-50.8% [-61.5%, -39.5%]","-87.0% [-94.1%, -79.4%]"
EBG,SVM,Llama-3.1,"-90.4% [-98.8%, -75.9%]","-85.3% [-93.4%, -76.1%]","-74.6% [-94.0%, -49.7%]","-77.6% [-80.2%, -76.6%]","-73.7% [-83.3%, -63.5%]","-79.8% [-89.0%, -70.8%]","89.9% [83.0%, 96.1%]","-50.3% [-61.4%, -38.7%]","-86.8% [-94.3%, -79.3%]"
EBG,SVM,GPT-4o,"-43.8% [-58.2%, -28.0%]","-22.1% [-34.1%, -10.2%]","-29.2% [-60.2%, 7.6%]","-77.6% [-80.2%, -76.6%]","-74.5% [-84.5%, -64.6%]","-49.5% [-60.8%, -37.8%]","60.6% [49.6%, 71.1%]","-20.7% [-29.8%, -12.0%]","-9.0% [-16.3%, -3.5%]"
EBG,SVM,Ministral,"-87.8% [-95.9%, -76.8%]","-80.2% [-89.5%, -69.3%]","-68.5% [-90.7%, -43.3%]","-77.6% [-80.2%, -76.6%]","-77.7% [-88.0%, -67.8%]","-82.3% [-91.0%, -73.5%]","89.6% [82.3%, 95.7%]","-51.1% [-63.3%, -40.6%]","-87.0% [-94.6%, -79.1%]"
EBG,SVM,Claude-3.5,"-75.3% [-87.2%, -63.2%]","-61.3% [-73.8%, -48.9%]","-53.4% [-78.9%, -23.0%]","-77.6% [-80.2%, -76.6%]","-92.1% [-97.4%, -85.2%]","-75.2% [-84.2%, -65.2%]","78.7% [69.3%, 87.3%]","-33.7% [-44.3%, -22.9%]","-14.4% [-22.4%, -7.1%]"
EBG,SVM,Gemma-2,"-88.0% [-95.9%, -78.5%]","-80.9% [-89.7%, -70.5%]","-71.7% [-92.1%, -46.3%]","-77.6% [-80.2%, -76.6%]","-87.9% [-95.1%, -79.8%]","-83.9% [-92.4%, -75.1%]","90.0% [83.3%, 96.1%]","-50.8% [-61.5%, -39.5%]","-87.0% [-94.1%, -79.4%]"
