Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Basic Paraphrase,LogReg,Llama-3.1,0.022,0.124,0.022,2.861,0.240,0.173,0.937,0.497,0.098
EBG,Basic Paraphrase,LogReg,GPT-4o,0.400,0.622,0.291,2.503,0.233,0.505,0.615,0.821,0.948
EBG,Basic Paraphrase,LogReg,Ministral,0.031,0.129,0.029,2.356,0.198,0.145,0.933,0.488,0.094
EBG,Basic Paraphrase,LogReg,Claude-3.5,0.129,0.480,0.122,2.222,0.040,0.225,0.813,0.678,0.888
EBG,Basic Paraphrase,LogReg,Gemma-2,0.018,0.133,0.026,2.549,0.086,0.127,0.936,0.493,0.095
EBG,Basic Paraphrase,SVM,Llama-3.1,0.036,0.098,0.024,4.409,0.240,0.173,0.937,0.497,0.098
EBG,Basic Paraphrase,SVM,GPT-4o,0.404,0.711,0.148,4.379,0.233,0.505,0.615,0.821,0.948
EBG,Basic Paraphrase,SVM,Ministral,0.049,0.147,0.040,4.005,0.198,0.145,0.933,0.488,0.094
EBG,Basic Paraphrase,SVM,Claude-3.5,0.151,0.329,0.082,3.522,0.040,0.225,0.813,0.678,0.888
EBG,Basic Paraphrase,SVM,Gemma-2,0.049,0.138,0.033,3.638,0.086,0.127,0.936,0.493,0.095
EBG,Basic Paraphrase,RoBERTa,Llama-3.1,0.000,0.080,0.004,1.427,0.240,0.173,0.937,0.497,0.098
EBG,Basic Paraphrase,RoBERTa,GPT-4o,0.560,0.751,0.527,1.534,0.233,0.505,0.615,0.821,0.948
EBG,Basic Paraphrase,RoBERTa,Ministral,0.000,0.098,0.006,1.532,0.198,0.145,0.933,0.488,0.094
EBG,Basic Paraphrase,RoBERTa,Claude-3.5,0.498,0.698,0.456,1.504,0.040,0.225,0.813,0.678,0.888
EBG,Basic Paraphrase,RoBERTa,Gemma-2,0.000,0.098,0.005,1.533,0.086,0.127,0.936,0.493,0.095
