Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,GPT4o,"-63.791% [-95.083, -13.825]","-25.581% [-47.149, -3.454]","-50.657% [-82.269, -16.483]","-31.011% [-42.395, -20.256]","-62.637% [-74.086, -51.082]","-53.947% [-64.799, -41.964]","62.722% [51.698, 73.462]","-20.465% [-29.951, -12.003]","-13.103% [-20.840, -6.212]"
RJ,LogReg,Sonnet 3.5,"-82.767% [-99.263, -41.956]","-48.604% [-68.960, -27.586]","-74.452% [-95.461, -42.663]","-27.289% [-36.391, -19.345]","-92.668% [-97.895, -86.081]","-76.832% [-85.841, -66.467]","81.221% [71.953, 89.363]","-34.040% [-44.778, -23.432]","-23.068% [-32.720, -13.672]"
RJ,LogReg,Ministral,"-66.740% [-88.252, -41.420]","-63.416% [-79.451, -45.918]","-62.202% [-86.819, -32.673]","-35.182% [-47.759, -24.734]","-89.497% [-95.676, -81.581]","-81.398% [-89.754, -71.866]","87.372% [79.302, 94.172]","-45.820% [-57.051, -33.931]","-47.038% [-58.702, -35.689]"
RJ,LogReg,Llama 3.1,"-79.309% [-99.132, -33.476]","-54.501% [-71.921, -35.711]","-71.795% [-94.986, -38.375]","-17.808% [-29.720, -10.474]","-78.180% [-88.468, -68.038]","-77.436% [-86.646, -68.049]","88.375% [80.770, 95.201]","-45.629% [-56.885, -34.790]","-48.482% [-59.670, -36.796]"
RJ,LogReg,Gemma 2,"-77.321% [-98.055, -33.475]","-62.460% [-79.652, -43.145]","-68.701% [-93.845, -35.301]","-40.049% [-57.319, -24.932]","-87.760% [-95.121, -79.178]","-82.529% [-90.644, -73.180]","88.107% [80.561, 94.599]","-46.445% [-57.302, -35.155]","-48.655% [-60.678, -37.981]"
RJ,SVM,GPT4o,"-45.699% [-73.981, -14.835]","-12.206% [-35.032, 9.852]","-12.687% [-66.787, 44.830]","-71.438% [-74.809, -70.212]","-62.637% [-74.086, -51.082]","-53.947% [-64.799, -41.964]","62.722% [51.698, 73.462]","-20.465% [-29.951, -12.003]","-13.103% [-20.840, -6.212]"
RJ,SVM,Sonnet 3.5,"-63.955% [-86.448, -36.862]","-47.266% [-69.035, -25.608]","-29.019% [-75.412, 26.735]","-71.438% [-74.809, -70.212]","-92.668% [-97.895, -86.081]","-76.832% [-85.841, -66.467]","81.221% [71.953, 89.363]","-34.040% [-44.778, -23.432]","-23.068% [-32.720, -13.672]"
RJ,SVM,Ministral,"-74.560% [-97.543, -26.542]","-51.927% [-70.677, -31.870]","-34.543% [-76.396, 18.316]","-71.438% [-74.809, -70.212]","-89.497% [-95.676, -81.581]","-81.398% [-89.754, -71.866]","87.372% [79.302, 94.172]","-45.820% [-57.051, -33.931]","-47.038% [-58.702, -35.689]"
RJ,SVM,Llama 3.1,"-58.148% [-83.778, -29.221]","-53.845% [-72.863, -34.702]","-36.490% [-78.458, 11.747]","-71.438% [-74.809, -70.212]","-78.180% [-88.468, -68.038]","-77.436% [-86.646, -68.049]","88.375% [80.770, 95.201]","-45.629% [-56.885, -34.790]","-48.482% [-59.670, -36.796]"
RJ,SVM,Gemma 2,"-71.967% [-97.898, -20.998]","-46.934% [-66.140, -27.439]","-36.563% [-78.443, 15.644]","-71.438% [-74.809, -70.212]","-87.760% [-95.121, -79.178]","-82.529% [-90.644, -73.180]","88.107% [80.561, 94.599]","-46.445% [-57.302, -35.155]","-48.655% [-60.678, -37.981]"
RJ,RoBERTa,GPT4o,"-8.767% [-52.087, 39.348]","-34.663% [-54.348, -14.340]","-12.700% [-55.059, 29.880]","-17.669% [-27.386, -14.136]","-62.637% [-74.086, -51.082]","-53.947% [-64.799, -41.964]","62.722% [51.698, 73.462]","-20.465% [-29.951, -12.003]","-13.103% [-20.840, -6.212]"
RJ,RoBERTa,Sonnet 3.5,"-18.582% [-60.394, 27.163]","-52.867% [-70.656, -34.800]","-18.592% [-60.215, 24.952]","-17.669% [-27.386, -14.136]","-92.668% [-97.895, -86.081]","-76.832% [-85.841, -66.467]","81.221% [71.953, 89.363]","-34.040% [-44.778, -23.432]","-23.068% [-32.720, -13.672]"
RJ,RoBERTa,Ministral,"-74.151% [-98.894, -12.935]","-66.276% [-81.431, -50.064]","-72.234% [-95.380, -40.877]","-17.669% [-27.386, -14.136]","-89.497% [-95.676, -81.581]","-81.398% [-89.754, -71.866]","87.372% [79.302, 94.172]","-45.820% [-57.051, -33.931]","-47.038% [-58.702, -35.689]"
RJ,RoBERTa,Llama 3.1,"-68.964% [-98.698, -0.214]","-65.072% [-80.795, -48.651]","-70.173% [-92.971, -39.819]","-17.669% [-27.386, -14.136]","-78.180% [-88.468, -68.038]","-77.436% [-86.646, -68.049]","88.375% [80.770, 95.201]","-45.629% [-56.885, -34.790]","-48.482% [-59.670, -36.796]"
RJ,RoBERTa,Gemma 2,"-68.964% [-98.698, -0.214]","-54.572% [-72.708, -36.569]","-65.624% [-92.257, -30.601]","-17.669% [-27.386, -14.136]","-87.760% [-95.121, -79.178]","-82.529% [-90.644, -73.180]","88.107% [80.561, 94.599]","-46.445% [-57.302, -35.155]","-48.655% [-60.678, -37.981]"
