Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Basic Paraphrase,LogReg,Llama-3.1,-96.667%,-85.641%,-94.850%,8.891%,-75.963%,-82.745%,93.659%,-50.293%,-90.170%
EBG,Basic Paraphrase,LogReg,GPT-4o,-40.000%,-28.205%,-31.675%,-4.720%,-76.737%,-49.466%,61.539%,-17.927%,-5.153%
EBG,Basic Paraphrase,LogReg,Ministral,-95.333%,-85.128%,-93.197%,-10.333%,-80.161%,-85.526%,93.273%,-51.159%,-90.586%
EBG,Basic Paraphrase,LogReg,Claude-3.5,-80.667%,-44.615%,-71.305%,-15.419%,-95.991%,-77.544%,81.271%,-32.165%,-11.201%
EBG,Basic Paraphrase,LogReg,Gemma-2,-97.333%,-84.615%,-93.963%,-2.955%,-91.417%,-87.303%,93.643%,-50.719%,-90.512%
EBG,Basic Paraphrase,SVM,Llama-3.1,-95.152%,-89.000%,-90.458%,3.319%,-75.963%,-82.745%,93.659%,-50.293%,-90.170%
EBG,Basic Paraphrase,SVM,GPT-4o,-44.848%,-20.000%,-41.445%,2.621%,-76.737%,-49.466%,61.539%,-17.927%,-5.153%
EBG,Basic Paraphrase,SVM,Ministral,-93.333%,-83.500%,-84.125%,-6.157%,-80.161%,-85.526%,93.273%,-51.159%,-90.586%
EBG,Basic Paraphrase,SVM,Claude-3.5,-79.394%,-63.000%,-67.466%,-17.477%,-95.991%,-77.544%,81.271%,-32.165%,-11.201%
EBG,Basic Paraphrase,SVM,Gemma-2,-93.333%,-84.500%,-87.031%,-14.743%,-91.417%,-87.303%,93.643%,-50.719%,-90.512%
EBG,Basic Paraphrase,RoBERTa,Llama-3.1,-100.000%,-91.429%,-99.486%,103.716%,-75.963%,-82.745%,93.659%,-50.293%,-90.170%
EBG,Basic Paraphrase,RoBERTa,GPT-4o,-35.385%,-19.524%,-36.587%,119.005%,-76.737%,-49.466%,61.539%,-17.927%,-5.153%
EBG,Basic Paraphrase,RoBERTa,Ministral,-100.000%,-89.524%,-99.306%,118.772%,-80.161%,-85.526%,93.273%,-51.159%,-90.586%
EBG,Basic Paraphrase,RoBERTa,Claude-3.5,-42.564%,-25.238%,-45.066%,114.697%,-95.991%,-77.544%,81.271%,-32.165%,-11.201%
EBG,Basic Paraphrase,RoBERTa,Gemma-2,-100.000%,-89.524%,-99.444%,118.842%,-91.417%,-87.303%,93.643%,-50.719%,-90.512%
