Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Llama-3.1,"0.126 [0.001, 0.492]","0.319 [0.049, 0.624]","0.144 [0.002, 0.478]",-,,,,,
RJ,LogReg,GPT-4o,"0.220 [0.007, 0.536]","0.353 [0.075, 0.671]","0.208 [0.014, 0.501]",-,,,,,
RJ,LogReg,Gemma-2,"0.185 [0.002, 0.499]","0.250 [0.016, 0.544]","0.190 [0.005, 0.524]",-,,,,,
RJ,LogReg,Ministral,"0.185 [0.002, 0.499]","0.286 [0.039, 0.599]","0.192 [0.005, 0.509]",-,,,,,
RJ,LogReg,Claude-3.5,"0.185 [0.002, 0.499]","0.418 [0.102, 0.719]","0.197 [0.010, 0.502]",-,,,,,
RJ,SVM,Llama-3.1,"0.220 [0.007, 0.536]","0.319 [0.049, 0.624]","0.183 [0.009, 0.500]",-,,,,,
RJ,SVM,GPT-4o,"0.220 [0.007, 0.536]","0.449 [0.133, 0.773]","0.199 [0.004, 0.489]",-,,,,,
RJ,SVM,Gemma-2,"0.220 [0.007, 0.536]","0.319 [0.049, 0.624]","0.188 [0.003, 0.503]",-,,,,,
RJ,SVM,Ministral,"0.185 [0.002, 0.499]","0.319 [0.049, 0.624]","0.193 [0.004, 0.509]",-,,,,,
RJ,SVM,Claude-3.5,"0.185 [0.002, 0.499]","0.386 [0.090, 0.712]","0.192 [0.005, 0.513]",-,,,,,
RJ,RoBERTa,Llama-3.1,"0.126 [0.001, 0.492]","0.250 [0.016, 0.544]","0.163 [0.001, 0.493]",-,,,,,
RJ,RoBERTa,GPT-4o,"0.250 [0.016, 0.544]","0.353 [0.075, 0.671]","0.248 [0.024, 0.548]",-,,,,,
RJ,RoBERTa,Gemma-2,"0.185 [0.002, 0.499]","0.386 [0.090, 0.712]","0.192 [0.007, 0.499]",-,,,,,
RJ,RoBERTa,Ministral,"0.126 [0.001, 0.492]","0.286 [0.039, 0.599]","0.147 [0.001, 0.481]",-,,,,,
RJ,RoBERTa,Claude-3.5,"0.250 [0.016, 0.544]","0.319 [0.049, 0.624]","0.242 [0.015, 0.536]",-,,,,,
