Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Llama-3.1,"0.126 [0.001, 0.492]","0.319 [0.049, 0.624]","0.144 [0.002, 0.478]","3.349 [3.202, 3.484]",,"0.203 [0.193, 0.212]","0.926 [0.913, 0.937]","0.547 [0.536, 0.558]","0.517 [0.499, 0.534]"
RJ,LogReg,GPT-4o,"0.220 [0.007, 0.536]","0.353 [0.075, 0.671]","0.208 [0.014, 0.501]","3.405 [3.259, 3.537]",,"0.457 [0.441, 0.475]","0.638 [0.619, 0.656]","0.821 [0.811, 0.831]","0.900 [0.890, 0.909]"
RJ,LogReg,Gemma-2,"0.185 [0.002, 0.499]","0.250 [0.016, 0.544]","0.190 [0.005, 0.524]","3.072 [2.918, 3.229]",,"0.147 [0.138, 0.156]","0.925 [0.912, 0.938]","0.537 [0.526, 0.548]","0.515 [0.495, 0.536]"
RJ,LogReg,Ministral,"0.185 [0.002, 0.499]","0.286 [0.039, 0.599]","0.192 [0.005, 0.509]","3.263 [3.113, 3.408]",,"0.160 [0.150, 0.169]","0.917 [0.904, 0.930]","0.545 [0.534, 0.556]","0.531 [0.512, 0.550]"
RJ,LogReg,Claude-3.5,"0.185 [0.002, 0.499]","0.418 [0.102, 0.719]","0.197 [0.010, 0.502]","3.337 [3.196, 3.485]",,"0.208 [0.199, 0.218]","0.845 [0.828, 0.860]","0.672 [0.661, 0.683]","0.793 [0.778, 0.809]"
RJ,SVM,Llama-3.1,"0.220 [0.007, 0.536]","0.319 [0.049, 0.624]","0.183 [0.009, 0.500]","3.349 [3.202, 3.484]",,"0.203 [0.193, 0.212]","0.926 [0.913, 0.937]","0.547 [0.536, 0.558]","0.517 [0.499, 0.534]"
RJ,SVM,GPT-4o,"0.220 [0.007, 0.536]","0.449 [0.133, 0.773]","0.199 [0.004, 0.489]","3.405 [3.259, 3.537]",,"0.457 [0.441, 0.475]","0.638 [0.619, 0.656]","0.821 [0.811, 0.831]","0.900 [0.890, 0.909]"
RJ,SVM,Gemma-2,"0.220 [0.007, 0.536]","0.319 [0.049, 0.624]","0.188 [0.003, 0.503]","3.072 [2.918, 3.229]",,"0.147 [0.138, 0.156]","0.925 [0.912, 0.938]","0.537 [0.526, 0.548]","0.515 [0.495, 0.536]"
RJ,SVM,Ministral,"0.185 [0.002, 0.499]","0.319 [0.049, 0.624]","0.193 [0.004, 0.509]","3.263 [3.113, 3.408]",,"0.160 [0.150, 0.169]","0.917 [0.904, 0.930]","0.545 [0.534, 0.556]","0.531 [0.512, 0.550]"
RJ,SVM,Claude-3.5,"0.185 [0.002, 0.499]","0.386 [0.090, 0.712]","0.192 [0.005, 0.513]","3.337 [3.196, 3.485]",,"0.208 [0.199, 0.218]","0.845 [0.828, 0.860]","0.672 [0.661, 0.683]","0.793 [0.778, 0.809]"
RJ,RoBERTa,Llama-3.1,"0.126 [0.001, 0.492]","0.250 [0.016, 0.544]","0.163 [0.001, 0.493]","3.349 [3.202, 3.484]",,"0.203 [0.193, 0.212]","0.926 [0.913, 0.937]","0.547 [0.536, 0.558]","0.517 [0.499, 0.534]"
RJ,RoBERTa,GPT-4o,"0.250 [0.016, 0.544]","0.353 [0.075, 0.671]","0.248 [0.024, 0.548]","3.405 [3.259, 3.537]",,"0.457 [0.441, 0.475]","0.638 [0.619, 0.656]","0.821 [0.811, 0.831]","0.900 [0.890, 0.909]"
RJ,RoBERTa,Gemma-2,"0.185 [0.002, 0.499]","0.386 [0.090, 0.712]","0.192 [0.007, 0.499]","3.072 [2.918, 3.229]",,"0.147 [0.138, 0.156]","0.925 [0.912, 0.938]","0.537 [0.526, 0.548]","0.515 [0.495, 0.536]"
RJ,RoBERTa,Ministral,"0.126 [0.001, 0.492]","0.286 [0.039, 0.599]","0.147 [0.001, 0.481]","3.263 [3.113, 3.408]",,"0.160 [0.150, 0.169]","0.917 [0.904, 0.930]","0.545 [0.534, 0.556]","0.531 [0.512, 0.550]"
RJ,RoBERTa,Claude-3.5,"0.250 [0.016, 0.544]","0.319 [0.049, 0.624]","0.242 [0.015, 0.536]","3.337 [3.196, 3.485]",,"0.208 [0.199, 0.218]","0.845 [0.828, 0.860]","0.672 [0.661, 0.683]","0.793 [0.778, 0.809]"
