Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama-3.1,"-0.622 [-0.666, -0.504]","-0.718 [-0.801, -0.636]","-0.373 [-0.415, -0.307]","-1.669 [-1.782, -1.628]","-0.144 [-0.316, -0.026]","-0.760 [-0.854, -0.662]","0.885 [0.805, 0.949]","-0.497 [-0.608, -0.381]","-0.865 [-0.943, -0.783]"
EBG,LogReg,Gemma-2,"-0.618 [-0.664, -0.498]","-0.718 [-0.801, -0.636]","-0.371 [-0.417, -0.302]","-1.669 [-1.782, -1.628]","-0.365 [-0.576, -0.173]","-0.757 [-0.851, -0.657]","0.884 [0.807, 0.949]","-0.495 [-0.608, -0.381]","-0.865 [-0.932, -0.780]"
EBG,LogReg,GPT-4o,"-0.148 [-0.260, -0.034]","-0.083 [-0.177, 0.010]","-0.048 [-0.155, 0.069]","-1.669 [-1.782, -1.628]","-0.370 [-0.485, -0.258]","-0.279 [-0.388, -0.183]","0.387 [0.273, 0.497]","-0.139 [-0.222, -0.064]","-0.066 [-0.128, -0.020]"
EBG,LogReg,Ministral,"-0.613 [-0.664, -0.491]","-0.730 [-0.804, -0.643]","-0.372 [-0.416, -0.307]","-1.669 [-1.782, -1.628]","-0.322 [-0.569, -0.096]","-0.817 [-0.900, -0.725]","0.911 [0.840, 0.970]","-0.525 [-0.632, -0.409]","-0.871 [-0.942, -0.795]"
EBG,LogReg,Claude-3.5,"-0.344 [-0.447, -0.231]","-0.232 [-0.340, -0.116]","-0.179 [-0.276, -0.078]","-1.669 [-1.782, -1.628]","-0.709 [-0.813, -0.596]","-0.583 [-0.699, -0.473]","0.622 [0.510, 0.726]","-0.245 [-0.346, -0.149]","-0.096 [-0.166, -0.037]"
EBG,SVM,Llama-3.1,"-0.689 [-0.732, -0.571]","-0.815 [-0.867, -0.744]","-0.200 [-0.242, -0.136]","-3.310 [-3.423, -3.269]","-0.144 [-0.316, -0.026]","-0.760 [-0.854, -0.662]","0.885 [0.805, 0.949]","-0.497 [-0.608, -0.381]","-0.865 [-0.943, -0.783]"
EBG,SVM,Gemma-2,"-0.689 [-0.732, -0.571]","-0.794 [-0.853, -0.723]","-0.198 [-0.241, -0.131]","-3.310 [-3.423, -3.269]","-0.365 [-0.576, -0.173]","-0.757 [-0.851, -0.657]","0.884 [0.807, 0.949]","-0.495 [-0.608, -0.381]","-0.865 [-0.932, -0.780]"
EBG,SVM,GPT-4o,"-0.159 [-0.273, -0.047]","-0.085 [-0.187, -0.000]","-0.034 [-0.123, 0.059]","-3.310 [-3.423, -3.269]","-0.370 [-0.485, -0.258]","-0.279 [-0.388, -0.183]","0.387 [0.273, 0.497]","-0.139 [-0.222, -0.064]","-0.066 [-0.128, -0.020]"
EBG,SVM,Ministral,"-0.685 [-0.731, -0.589]","-0.806 [-0.876, -0.680]","-0.197 [-0.241, -0.132]","-3.310 [-3.423, -3.269]","-0.322 [-0.569, -0.096]","-0.817 [-0.900, -0.725]","0.911 [0.840, 0.970]","-0.525 [-0.632, -0.409]","-0.871 [-0.942, -0.795]"
EBG,SVM,Claude-3.5,"-0.414 [-0.524, -0.315]","-0.314 [-0.433, -0.201]","-0.084 [-0.159, 0.009]","-3.310 [-3.423, -3.269]","-0.709 [-0.813, -0.596]","-0.583 [-0.699, -0.473]","0.622 [0.510, 0.726]","-0.245 [-0.346, -0.149]","-0.096 [-0.166, -0.037]"
