Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via De,LogReg,Llama-3.1,"0.044 [0.001, 0.163]","0.149 [0.066, 0.230]","0.053 [0.011, 0.120]","0.958 [0.845, 0.999]","0.856 [0.684, 0.974]","0.240 [0.146, 0.338]","0.885 [0.805, 0.949]","0.503 [0.392, 0.619]","0.135 [0.057, 0.217]"
EBG,Backtranslation Via De,LogReg,Gemma-2,"0.049 [0.003, 0.168]","0.149 [0.066, 0.230]","0.055 [0.010, 0.124]","0.958 [0.845, 0.999]","0.635 [0.424, 0.827]","0.243 [0.149, 0.343]","0.884 [0.807, 0.949]","0.505 [0.392, 0.619]","0.135 [0.068, 0.220]"
EBG,Backtranslation Via De,LogReg,GPT-4o,"0.519 [0.406, 0.633]","0.784 [0.690, 0.877]","0.378 [0.271, 0.495]","0.958 [0.845, 0.999]","0.630 [0.515, 0.742]","0.721 [0.612, 0.817]","0.387 [0.273, 0.497]","0.861 [0.778, 0.936]","0.934 [0.872, 0.980]"
EBG,Backtranslation Via De,LogReg,Ministral,"0.054 [0.003, 0.176]","0.137 [0.062, 0.224]","0.055 [0.010, 0.119]","0.958 [0.845, 0.999]","0.678 [0.431, 0.904]","0.183 [0.100, 0.275]","0.911 [0.840, 0.970]","0.475 [0.368, 0.591]","0.129 [0.058, 0.205]"
EBG,Backtranslation Via De,LogReg,Claude-3.5,"0.323 [0.220, 0.436]","0.635 [0.526, 0.751]","0.248 [0.151, 0.348]","0.958 [0.845, 0.999]","0.291 [0.187, 0.404]","0.417 [0.301, 0.527]","0.622 [0.510, 0.726]","0.755 [0.654, 0.851]","0.904 [0.834, 0.963]"
EBG,Backtranslation Via De,SVM,Llama-3.1,"0.044 [0.001, 0.163]","0.074 [0.021, 0.144]","0.053 [0.011, 0.117]","0.958 [0.845, 0.999]","0.856 [0.684, 0.974]","0.240 [0.146, 0.338]","0.885 [0.805, 0.949]","0.503 [0.392, 0.619]","0.135 [0.057, 0.217]"
EBG,Backtranslation Via De,SVM,Gemma-2,"0.044 [0.001, 0.163]","0.095 [0.036, 0.166]","0.055 [0.011, 0.121]","0.958 [0.845, 0.999]","0.635 [0.424, 0.827]","0.243 [0.149, 0.343]","0.884 [0.807, 0.949]","0.505 [0.392, 0.619]","0.135 [0.068, 0.220]"
EBG,Backtranslation Via De,SVM,GPT-4o,"0.575 [0.460, 0.686]","0.804 [0.702, 0.889]","0.219 [0.130, 0.312]","0.958 [0.845, 0.999]","0.630 [0.515, 0.742]","0.721 [0.612, 0.817]","0.387 [0.273, 0.497]","0.861 [0.778, 0.936]","0.934 [0.872, 0.980]"
EBG,Backtranslation Via De,SVM,Ministral,"0.049 [0.003, 0.144]","0.082 [0.013, 0.209]","0.056 [0.012, 0.121]","0.958 [0.845, 0.999]","0.678 [0.431, 0.904]","0.183 [0.100, 0.275]","0.911 [0.840, 0.970]","0.475 [0.368, 0.591]","0.129 [0.058, 0.205]"
EBG,Backtranslation Via De,SVM,Claude-3.5,"0.319 [0.209, 0.418]","0.575 [0.456, 0.687]","0.168 [0.094, 0.262]","0.958 [0.845, 0.999]","0.291 [0.187, 0.404]","0.417 [0.301, 0.527]","0.622 [0.510, 0.726]","0.755 [0.654, 0.851]","0.904 [0.834, 0.963]"
EBG,Backtranslation Via De,RoBERTa,Llama-3.1,"0.044 [0.001, 0.163]","0.143 [0.071, 0.225]","0.043 [0.005, 0.110]","0.958 [0.845, 0.999]","0.856 [0.684, 0.974]","0.240 [0.146, 0.338]","0.885 [0.805, 0.949]","0.503 [0.392, 0.619]","0.135 [0.057, 0.217]"
EBG,Backtranslation Via De,RoBERTa,Gemma-2,"0.044 [0.001, 0.163]","0.128 [0.059, 0.209]","0.043 [0.004, 0.105]","0.958 [0.845, 0.999]","0.635 [0.424, 0.827]","0.243 [0.149, 0.343]","0.884 [0.807, 0.949]","0.505 [0.392, 0.619]","0.135 [0.068, 0.220]"
EBG,Backtranslation Via De,RoBERTa,GPT-4o,"0.592 [0.475, 0.701]","0.737 [0.633, 0.832]","0.561 [0.446, 0.673]","0.958 [0.845, 0.999]","0.630 [0.515, 0.742]","0.721 [0.612, 0.817]","0.387 [0.273, 0.497]","0.861 [0.778, 0.936]","0.934 [0.872, 0.980]"
EBG,Backtranslation Via De,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.136 [0.057, 0.219]","0.048 [0.007, 0.120]","0.958 [0.845, 0.999]","0.678 [0.431, 0.904]","0.183 [0.100, 0.275]","0.911 [0.840, 0.970]","0.475 [0.368, 0.591]","0.129 [0.058, 0.205]"
EBG,Backtranslation Via De,RoBERTa,Claude-3.5,"0.539 [0.427, 0.651]","0.707 [0.603, 0.812]","0.507 [0.392, 0.617]","0.958 [0.845, 0.999]","0.291 [0.187, 0.404]","0.417 [0.301, 0.527]","0.622 [0.510, 0.726]","0.755 [0.654, 0.851]","0.904 [0.834, 0.963]"
EBG,Backtranslation Via Zh,LogReg,Gemma-2,"0.049 [0.003, 0.168]","0.143 [0.071, 0.225]","0.054 [0.011, 0.118]","0.958 [0.845, 0.999]","0.895 [0.795, 0.971]","0.245 [0.149, 0.342]","0.882 [0.802, 0.948]","0.505 [0.397, 0.628]","0.137 [0.066, 0.224]"
EBG,Backtranslation Via Zh,LogReg,GPT-4o,"0.470 [0.353, 0.587]","0.722 [0.614, 0.821]","0.372 [0.265, 0.486]","0.958 [0.845, 0.999]","0.483 [0.357, 0.594]","0.632 [0.520, 0.744]","0.462 [0.354, 0.576]","0.833 [0.747, 0.916]","0.921 [0.852, 0.976]"
