Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama-3.1,"-93.3% [-99.9%, -75.6%]","-82.8% [-92.4%, -73.4%]","-87.5% [-97.4%, -71.9%]","-63.5% [-67.9%, -62.0%]","-14.4% [-31.6%, -2.6%]","-76.0% [-85.4%, -66.2%]","88.5% [80.5%, 94.9%]","-49.7% [-60.8%, -38.1%]","-86.5% [-94.3%, -78.3%]"
EBG,LogReg,Gemma-2,"-92.7% [-99.6%, -74.8%]","-82.8% [-92.4%, -73.4%]","-87.0% [-97.7%, -70.9%]","-63.5% [-67.9%, -62.0%]","-36.5% [-57.6%, -17.3%]","-75.7% [-85.1%, -65.7%]","88.4% [80.7%, 94.9%]","-49.5% [-60.8%, -38.1%]","-86.5% [-93.2%, -78.0%]"
EBG,LogReg,GPT-4o,"-22.2% [-39.0%, -5.0%]","-9.6% [-20.4%, 1.2%]","-11.3% [-36.5%, 16.1%]","-63.5% [-67.9%, -62.0%]","-37.0% [-48.5%, -25.8%]","-27.9% [-38.8%, -18.3%]","38.7% [27.3%, 49.7%]","-13.9% [-22.2%, -6.4%]","-6.6% [-12.8%, -2.0%]"
EBG,LogReg,Ministral,"-92.0% [-99.6%, -73.7%]","-84.2% [-92.8%, -74.2%]","-87.2% [-97.6%, -72.1%]","-63.5% [-67.9%, -62.0%]","-32.2% [-56.9%, -9.6%]","-81.7% [-90.0%, -72.5%]","91.1% [84.0%, 97.0%]","-52.5% [-63.2%, -40.9%]","-87.1% [-94.2%, -79.5%]"
EBG,LogReg,Claude-3.5,"-51.6% [-67.0%, -34.6%]","-26.8% [-39.3%, -13.4%]","-41.9% [-64.7%, -18.4%]","-63.5% [-67.9%, -62.0%]","-70.9% [-81.3%, -59.6%]","-58.3% [-69.9%, -47.3%]","62.2% [51.0%, 72.6%]","-24.5% [-34.6%, -14.9%]","-9.6% [-16.6%, -3.7%]"
EBG,SVM,Llama-3.1,"-94.0% [-99.9%, -77.8%]","-91.7% [-97.6%, -83.8%]","-79.1% [-95.8%, -53.8%]","-77.6% [-80.2%, -76.6%]","-14.4% [-31.6%, -2.6%]","-76.0% [-85.4%, -66.2%]","88.5% [80.5%, 94.9%]","-49.7% [-60.8%, -38.1%]","-86.5% [-94.3%, -78.3%]"
EBG,SVM,Gemma-2,"-94.0% [-99.9%, -77.8%]","-89.3% [-96.0%, -81.3%]","-78.2% [-95.5%, -52.0%]","-77.6% [-80.2%, -76.6%]","-36.5% [-57.6%, -17.3%]","-75.7% [-85.1%, -65.7%]","88.4% [80.7%, 94.9%]","-49.5% [-60.8%, -38.1%]","-86.5% [-93.2%, -78.0%]"
EBG,SVM,GPT-4o,"-21.6% [-37.3%, -6.5%]","-9.6% [-21.0%, -0.0%]","-13.4% [-48.6%, 23.2%]","-77.6% [-80.2%, -76.6%]","-37.0% [-48.5%, -25.8%]","-27.9% [-38.8%, -18.3%]","38.7% [27.3%, 49.7%]","-13.9% [-22.2%, -6.4%]","-6.6% [-12.8%, -2.0%]"
EBG,SVM,Ministral,"-93.4% [-99.6%, -80.3%]","-90.7% [-98.6%, -76.4%]","-77.8% [-95.3%, -52.0%]","-77.6% [-80.2%, -76.6%]","-32.2% [-56.9%, -9.6%]","-81.7% [-90.0%, -72.5%]","91.1% [84.0%, 97.0%]","-52.5% [-63.2%, -40.9%]","-87.1% [-94.2%, -79.5%]"
EBG,SVM,Claude-3.5,"-56.5% [-71.5%, -43.0%]","-35.3% [-48.8%, -22.7%]","-33.4% [-62.8%, 3.5%]","-77.6% [-80.2%, -76.6%]","-70.9% [-81.3%, -59.6%]","-58.3% [-69.9%, -47.3%]","62.2% [51.0%, 72.6%]","-24.5% [-34.6%, -14.9%]","-9.6% [-16.6%, -3.7%]"
