Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Llama-3.1,"-54.7% [-81.0%, -25.3%]","-49.8% [-68.0%, -30.5%]","-45.4% [-75.1%, -12.0%]","-7.3% [-44.8%, 32.7%]","-18.8% [-29.0%, -9.7%]","-72.8% [-82.9%, -62.3%]","87.0% [78.8%, 94.4%]","-45.5% [-56.6%, -34.1%]","-49.3% [-61.0%, -38.0%]"
RJ,LogReg,Gemma-2,"-60.9% [-85.6%, -33.2%]","-51.4% [-69.0%, -33.5%]","-49.9% [-78.7%, -14.8%]","4.1% [-34.4%, 43.0%]","-11.3% [-19.7%, -4.2%]","-72.7% [-82.6%, -62.4%]","87.1% [79.4%, 94.2%]","-45.5% [-56.6%, -34.3%]","-49.2% [-60.4%, -37.8%]"
RJ,LogReg,GPT-4o,"-54.7% [-81.0%, -25.3%]","-4.2% [-24.4%, 15.7%]","-39.7% [-71.7%, -1.0%]","-14.4% [-50.2%, 24.5%]","-35.6% [-47.3%, -23.7%]","-27.6% [-37.8%, -17.9%]","37.8% [26.7%, 48.9%]","-11.1% [-18.3%, -4.6%]","-7.9% [-14.3%, -2.6%]"
RJ,LogReg,Ministral,"-66.4% [-96.9%, -8.8%]","-58.2% [-78.4%, -38.3%]","-57.0% [-90.7%, -9.7%]","-8.6% [-49.4%, 27.6%]","-59.2% [-82.9%, -33.4%]","-77.0% [-85.6%, -66.2%]","88.7% [80.6%, 95.0%]","-48.6% [-60.2%, -37.8%]","-54.7% [-66.1%, -43.6%]"
RJ,LogReg,Claude-3.5,"-78.2% [-98.8%, -32.4%]","-46.7% [-66.7%, -26.9%]","-71.6% [-93.6%, -44.2%]","-19.7% [-56.3%, 15.8%]","-70.4% [-80.5%, -60.0%]","-61.2% [-72.5%, -50.1%]","68.9% [58.2%, 79.6%]","-24.2% [-34.1%, -14.9%]","-14.3% [-22.5%, -7.0%]"
RJ,SVM,Llama-3.1,"-70.2% [-89.6%, -46.4%]","-51.9% [-70.0%, -30.6%]","-35.0% [-78.5%, 15.2%]","-6.5% [-20.3%, 5.9%]","-18.8% [-29.0%, -9.7%]","-72.8% [-82.9%, -62.3%]","87.0% [78.8%, 94.4%]","-45.5% [-56.6%, -34.1%]","-49.3% [-61.0%, -38.0%]"
RJ,SVM,Gemma-2,"-70.2% [-89.6%, -46.4%]","-56.9% [-74.7%, -37.3%]","-33.7% [-78.1%, 18.6%]","-3.7% [-17.4%, 8.5%]","-11.3% [-19.7%, -4.2%]","-72.7% [-82.6%, -62.4%]","87.1% [79.4%, 94.2%]","-45.5% [-56.6%, -34.3%]","-49.2% [-60.4%, -37.8%]"
RJ,SVM,GPT-4o,"-58.0% [-81.9%, -29.6%]","-5.4% [-28.4%, 16.9%]","-13.5% [-62.3%, 42.5%]","-5.7% [-19.5%, 7.5%]","-35.6% [-47.3%, -23.7%]","-27.6% [-37.8%, -17.9%]","37.8% [26.7%, 48.9%]","-11.1% [-18.3%, -4.6%]","-7.9% [-14.3%, -2.6%]"
RJ,SVM,Ministral,"-69.8% [-97.6%, -18.2%]","-50.2% [-68.8%, -29.9%]","-34.4% [-78.0%, 21.9%]","-6.4% [-20.5%, 6.2%]","-59.2% [-82.9%, -33.4%]","-77.0% [-85.6%, -66.2%]","88.7% [80.6%, 95.0%]","-48.6% [-60.2%, -37.8%]","-54.7% [-66.1%, -43.6%]"
RJ,SVM,Claude-3.5,"-66.4% [-95.8%, -18.5%]","-28.6% [-50.1%, -6.0%]","-26.8% [-72.9%, 27.6%]","4.2% [-8.6%, 16.2%]","-70.4% [-80.5%, -60.0%]","-61.2% [-72.5%, -50.1%]","68.9% [58.2%, 79.6%]","-24.2% [-34.1%, -14.9%]","-14.3% [-22.5%, -7.0%]"
RJ,RoBERTa,Llama-3.1,"-66.0% [-97.1%, -0.2%]","-61.9% [-77.6%, -44.8%]","-65.7% [-91.3%, -32.6%]","14.8% [-24.5%, 55.3%]","-18.8% [-29.0%, -9.7%]","-72.8% [-82.9%, -62.3%]","87.0% [78.8%, 94.4%]","-45.5% [-56.6%, -34.1%]","-49.3% [-61.0%, -38.0%]"
RJ,RoBERTa,Gemma-2,"-55.3% [-84.4%, -19.6%]","-72.9% [-86.8%, -57.6%]","-64.0% [-91.5%, -32.5%]","12.2% [-28.5%, 52.1%]","-11.3% [-19.7%, -4.2%]","-72.7% [-82.6%, -62.4%]","87.1% [79.4%, 94.2%]","-45.5% [-56.6%, -34.3%]","-49.2% [-60.4%, -37.8%]"
RJ,RoBERTa,GPT-4o,"-8.8% [-52.1%, 39.3%]","-25.4% [-45.2%, -4.9%]","-6.5% [-50.5%, 39.0%]","9.9% [-29.1%, 50.5%]","-35.6% [-47.3%, -23.7%]","-27.6% [-37.8%, -17.9%]","37.8% [26.7%, 48.9%]","-11.1% [-18.3%, -4.6%]","-7.9% [-14.3%, -2.6%]"
