Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via De,LogReg,Llama-3.1,-0.667,-0.751,-0.415,0.023,-0.134,-0.784,0.922,-0.496,-0.901
EBG,Backtranslation Via De,LogReg,Gemma-2,-0.658,-0.751,-0.413,0.018,-0.398,-0.781,0.920,-0.494,-0.899
EBG,Backtranslation Via De,LogReg,GPT-4o,-0.147,-0.058,-0.059,-0.112,-0.359,-0.259,0.378,-0.105,-0.027
EBG,Backtranslation Via De,LogReg,Ministral,-0.653,-0.764,-0.409,-0.861,-0.323,-0.848,0.951,-0.527,-0.905
EBG,Backtranslation Via De,LogReg,Claude-3.5,-0.360,-0.218,-0.204,-0.254,-0.729,-0.591,0.633,-0.220,-0.058
EBG,Backtranslation Via De,SVM,Llama-3.1,-0.733,-0.853,-0.240,0.027,-0.134,-0.784,0.922,-0.496,-0.901
EBG,Backtranslation Via De,SVM,Gemma-2,-0.733,-0.831,-0.239,0.031,-0.398,-0.781,0.920,-0.494,-0.899
EBG,Backtranslation Via De,SVM,GPT-4o,-0.151,-0.058,-0.060,0.102,-0.359,-0.259,0.378,-0.105,-0.027
EBG,Backtranslation Via De,SVM,Ministral,-0.720,-0.840,-0.237,-0.106,-0.323,-0.848,0.951,-0.527,-0.905
EBG,Backtranslation Via De,SVM,Claude-3.5,-0.431,-0.307,-0.115,-0.237,-0.729,-0.591,0.633,-0.220,-0.058
EBG,Backtranslation Via De,RoBERTa,Llama-3.1,-0.867,-0.822,-0.827,0.588,-0.134,-0.784,0.922,-0.496,-0.901
EBG,Backtranslation Via De,RoBERTa,Gemma-2,-0.867,-0.840,-0.827,0.621,-0.398,-0.781,0.920,-0.494,-0.899
EBG,Backtranslation Via De,RoBERTa,GPT-4o,-0.267,-0.173,-0.265,0.754,-0.359,-0.259,0.378,-0.105,-0.027
EBG,Backtranslation Via De,RoBERTa,Ministral,-0.867,-0.831,-0.824,1.283,-0.323,-0.848,0.951,-0.527,-0.905
EBG,Backtranslation Via De,RoBERTa,Claude-3.5,-0.324,-0.204,-0.323,0.749,-0.729,-0.591,0.633,-0.220,-0.058
