Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via De,LogReg,Llama-3.1,".000 [.000, .000]",".116 [.083, .148]",".011 [.009, .014]","12.650 [12.587, 12.713]",".866 [.665, 11.067]",".216 [.207, .226]",".922 [.919, .925]",".504 [.501, .506]",".099 [.090, .107]"
EBG,Backtranslation Via De,LogReg,Gemma-2,".009 [1-0.012, .030]",".116 [.083, .148]",".014 [.003, .025]","12.645 [12.548, 12.741]",".602 [.183, 11.021]",".219 [.214, .224]",".920 [.919, .921]",".506 [.504, .507]",".101 [.098, .104]"
EBG,Backtranslation Via De,LogReg,GPT-4o,".520 [.449, .591]",".809 [.764, .853]",".367 [.337, .397]","12.515 [12.343, 12.686]",".641 [.553, .729]",".741 [.717, .764]",".378 [.364, .392]",".895 [.889, .901]",".973 [.971, .975]"
EBG,Backtranslation Via De,LogReg,Ministral,".013 [1-0.022, .048]",".102 [.050, .154]",".017 [1-0.017, .051]","11.766 [11.494, 12.039]",".677 [1-0.024, 11.378]",".152 [.129, .175]",".951 [.930, .971]",".473 [.457, .489]",".095 [.085, .105]"
EBG,Backtranslation Via De,LogReg,Claude-3.5,".307 [.274, .339]",".649 [.598, .700]",".223 [.198, .247]","12.373 [12.184, 12.562]",".271 [.204, .338]",".409 [.393, .424]",".633 [.615, .651]",".780 [.773, .788]",".942 [.936, .948]"
EBG,Backtranslation Via De,SVM,Llama-3.1,".000 [.000, .000]",".036 [.001, .070]",".013 [.012, .015]","14.294 [14.172, 14.417]",".866 [.665, 11.067]",".216 [.207, .226]",".922 [.919, .925]",".504 [.501, .506]",".099 [.090, .107]"
EBG,Backtranslation Via De,SVM,Gemma-2,".000 [.000, .000]",".058 [.036, .079]",".014 [.012, .016]","14.298 [14.183, 14.414]",".602 [.183, 11.021]",".219 [.214, .224]",".920 [.919, .921]",".506 [.504, .507]",".101 [.098, .104]"
EBG,Backtranslation Via De,SVM,GPT-4o,".582 [.531, .633]",".831 [.787, .876]",".192 [.176, .208]","14.369 [14.265, 14.473]",".641 [.553, .729]",".741 [.717, .764]",".378 [.364, .392]",".895 [.889, .901]",".973 [.971, .975]"
EBG,Backtranslation Via De,SVM,Ministral,".013 [1-0.008, .035]",".049 [1-0.021, .119]",".016 [.009, .023]","14.161 [14.049, 14.273]",".677 [1-0.024, 11.378]",".152 [.129, .175]",".951 [.930, .971]",".473 [.457, .489]",".095 [.085, .105]"
EBG,Backtranslation Via De,SVM,Claude-3.5,".302 [.258, .347]",".582 [.540, .625]",".137 [.106, .169]","14.030 [13.840, 14.220]",".271 [.204, .338]",".409 [.393, .424]",".633 [.615, .651]",".780 [.773, .788]",".942 [.936, .948]"
EBG,Backtranslation Via De,RoBERTa,Llama-3.1,".000 [.000, .000]",".111 [.084, .139]",".003 [.003, .004]","11.288 [11.072, 11.504]",".866 [.665, 11.067]",".216 [.207, .226]",".922 [.919, .925]",".504 [.501, .506]",".099 [.090, .107]"
EBG,Backtranslation Via De,RoBERTa,Gemma-2,".000 [.000, .000]",".093 [.076, .111]",".004 [.003, .004]","11.321 [11.191, 11.451]",".602 [.183, 11.021]",".219 [.214, .224]",".920 [.919, .921]",".506 [.504, .507]",".101 [.098, .104]"
EBG,Backtranslation Via De,RoBERTa,GPT-4o,".600 [.572, .628]",".760 [.743, .777]",".565 [.545, .586]","11.455 [11.375, 11.534]",".641 [.553, .729]",".741 [.717, .764]",".378 [.364, .392]",".895 [.889, .901]",".973 [.971, .975]"
EBG,Backtranslation Via De,RoBERTa,Ministral,".000 [.000, .000]",".102 [.037, .167]",".006 [.004, .009]","11.984 [11.573, 12.394]",".677 [1-0.024, 11.378]",".152 [.129, .175]",".951 [.930, .971]",".473 [.457, .489]",".095 [.085, .105]"
EBG,Backtranslation Via De,RoBERTa,Claude-3.5,".542 [.521, .564]",".729 [.711, .746]",".507 [.501, .513]","11.450 [11.363, 11.537]",".271 [.204, .338]",".409 [.393, .424]",".633 [.615, .651]",".780 [.773, .788]",".942 [.936, .948]"
