Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama 3.1,"-93.345 [-99.865, -75.578]%","-82.848 [-92.411, -73.428]%","-87.494 [-97.402, -71.912]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Gemma 2,"-92.719 [-99.560, -74.759]%","-82.848 [-92.411, -73.428]%","-86.998 [-97.726, -70.875]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,GPT4o,"-22.159 [-39.026, -5.042]%","-9.566 [-20.386, 1.152]%","-11.326 [-36.454, 16.072]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Ministral,"-91.951 [-99.602, -73.669]%","-84.186 [-92.795, -74.191]%","-87.175 [-97.558, -72.062]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Sonnet 3.5,"-51.578 [-67.027, -34.576]%","-26.771 [-39.253, -13.390]%","-41.941 [-64.692, -18.404]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Llama 3.1,"-93.950 [-99.877, -77.798]%","-91.679 [-97.587, -83.753]%","-79.142 [-95.773, -53.774]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Gemma 2,"-93.950 [-99.877, -77.798]%","-89.289 [-95.961, -81.312]%","-78.214 [-95.493, -51.957]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,GPT4o,"-21.647 [-37.268, -6.466]%","-9.600 [-21.020, -0.029]%","-13.397 [-48.609, 23.235]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Ministral,"-93.357 [-99.618, -80.320]%","-90.729 [-98.567, -76.446]%","-77.790 [-95.307, -52.038]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Sonnet 3.5,"-56.489 [-71.452, -42.996]%","-35.339 [-48.753, -22.667]%","-33.369 [-62.757, 3.497]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Llama 3.1,"-94.881 [-99.896, -81.214]%","-84.655 [-92.422, -75.918]%","-94.848 [-99.416, -86.799]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Gemma 2,"-94.881 [-99.896, -81.214]%","-86.248 [-93.718, -77.633]%","-94.776 [-99.488, -87.329]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,GPT4o,"-31.725 [-45.172, -19.086]%","-21.068 [-32.171, -10.830]%","-32.512 [-46.320, -18.958]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Ministral,"-94.881 [-99.896, -81.214]%","-85.451 [-93.908, -76.507]%","-94.179 [-99.176, -85.529]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Sonnet 3.5,"-37.782 [-50.674, -24.927]%","-24.235 [-35.436, -12.971]%","-38.955 [-52.800, -25.713]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
