Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via De,LogReg,Llama-3.1,-100.000%,-86.667%,-97.373%,0.878%,-13.408%,-78.359%,92.221%,-49.618%,-90.148%
EBG,Backtranslation Via De,LogReg,Gemma-2,-98.667%,-86.667%,-96.763%,0.677%,-39.809%,-78.094%,91.962%,-49.430%,-89.908%
EBG,Backtranslation Via De,LogReg,GPT-4o,-22.000%,-6.667%,-13.906%,-4.274%,-35.870%,-25.938%,37.799%,-10.500%,-2.662%
EBG,Backtranslation Via De,LogReg,Ministral,-98.000%,-88.205%,-95.997%,-32.770%,-32.299%,-84.803%,95.076%,-52.683%,-90.494%
EBG,Backtranslation Via De,LogReg,Claude-3.5,-54.000%,-25.128%,-47.814%,-9.661%,-72.899%,-59.123%,63.285%,-21.964%,-5.801%
EBG,Backtranslation Via De,SVM,Llama-3.1,-100.000%,-96.000%,-94.824%,0.635%,-13.408%,-78.359%,92.221%,-49.618%,-90.148%
EBG,Backtranslation Via De,SVM,Gemma-2,-100.000%,-93.500%,-94.578%,0.727%,-39.809%,-78.094%,91.962%,-49.430%,-89.908%
EBG,Backtranslation Via De,SVM,GPT-4o,-20.606%,-6.500%,-23.899%,2.391%,-35.870%,-25.938%,37.799%,-10.500%,-2.662%
EBG,Backtranslation Via De,SVM,Ministral,-98.182%,-94.500%,-93.653%,-2.495%,-32.299%,-84.803%,95.076%,-52.683%,-90.494%
EBG,Backtranslation Via De,SVM,Claude-3.5,-58.788%,-34.500%,-45.666%,-5.561%,-72.899%,-59.123%,63.285%,-21.964%,-5.801%
EBG,Backtranslation Via De,RoBERTa,Llama-3.1,-100.000%,-88.095%,-99.606%,83.890%,-13.408%,-78.359%,92.221%,-49.618%,-90.148%
EBG,Backtranslation Via De,RoBERTa,Gemma-2,-100.000%,-90.000%,-99.522%,88.613%,-39.809%,-78.094%,91.962%,-49.430%,-89.908%
EBG,Backtranslation Via De,RoBERTa,GPT-4o,-30.769%,-18.571%,-31.935%,107.691%,-35.870%,-25.938%,37.799%,-10.500%,-2.662%
EBG,Backtranslation Via De,RoBERTa,Ministral,-100.000%,-89.048%,-99.219%,183.201%,-32.299%,-84.803%,95.076%,-52.683%,-90.494%
EBG,Backtranslation Via De,RoBERTa,Claude-3.5,-37.436%,-21.905%,-38.908%,106.998%,-72.899%,-59.123%,63.285%,-21.964%,-5.801%
