Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via Zh,LogReg,Gemma-2,"1-0.658 [1-0.679, 1-0.636]","1-0.756 [1-0.783, 1-0.728]","1-0.413 [1-0.419, 1-0.407]",".041 [1-0.046, .129]","1-0.072 [1-0.214, .071]","1-0.780 [1-0.784, 1-0.776]",".919 [.918, .920]","1-0.494 [1-0.495, 1-0.493]","1-0.897 [1-0.899, 1-0.895]"
EBG,Backtranslation Via Zh,LogReg,GPT-4o,"1-0.200 [1-0.267, 1-0.133]","1-0.124 [1-0.169, 1-0.080]","1-0.069 [1-0.131, 1-0.007]","1-0.118 [1-0.452, .217]","1-0.519 [1-0.650, 1-0.387]","1-0.355 [1-0.391, 1-0.319]",".459 [.429, .489]","1-0.134 [1-0.144, 1-0.124]","1-0.039 [1-0.045, 1-0.033]"
EBG,Backtranslation Via Zh,LogReg,Llama-3.1,"1-0.653 [1-0.675, 1-0.632]","1-0.764 [1-0.786, 1-0.743]","1-0.411 [1-0.418, 1-0.405]",".093 [1-0.003, .188]","1-0.178 [1-0.292, 1-0.064]","1-0.782 [1-0.782, 1-0.781]",".922 [.920, .923]","1-0.495 [1-0.496, 1-0.495]","1-0.902 [1-0.904, 1-0.901]"
EBG,Backtranslation Via Zh,LogReg,Claude-3.5,"1-0.373 [1-0.416, 1-0.331]","1-0.298 [1-0.342, 1-0.253]","1-0.224 [1-0.253, 1-0.196]","1-0.276 [1-0.529, 1-0.023]","1-0.828 [1-0.999, 1-0.658]","1-0.626 [1-0.632, 1-0.620]",".701 [.690, .712]","1-0.237 [1-0.240, 1-0.234]","1-0.066 [1-0.068, 1-0.063]"
EBG,Backtranslation Via Zh,LogReg,Ministral,"1-0.653 [1-0.688, 1-0.618]","1-0.760 [1-0.793, 1-0.727]","1-0.408 [1-0.424, 1-0.393]","1-0.160 [1-0.264, 1-0.056]","1-0.156 [1-0.491, .178]","1-0.801 [1-0.811, 1-0.790]",".924 [.917, .931]","1-0.500 [1-0.501, 1-0.499]","1-0.901 [1-0.903, 1-0.898]"
EBG,Backtranslation Via Zh,SVM,Gemma-2,"1-0.733 [1-0.733, 1-0.733]","1-0.836 [1-0.857, 1-0.814]","1-0.239 [1-0.241, 1-0.237]",".046 [1-0.026, .118]","1-0.072 [1-0.214, .071]","1-0.780 [1-0.784, 1-0.776]",".919 [.918, .920]","1-0.494 [1-0.495, 1-0.493]","1-0.897 [1-0.899, 1-0.895]"
EBG,Backtranslation Via Zh,SVM,GPT-4o,"1-0.182 [1-0.294, 1-0.071]","1-0.133 [1-0.211, 1-0.055]","1-0.067 [1-0.090, 1-0.044]",".070 [1-0.089, .228]","1-0.519 [1-0.650, 1-0.387]","1-0.355 [1-0.391, 1-0.319]",".459 [.429, .489]","1-0.134 [1-0.144, 1-0.124]","1-0.039 [1-0.045, 1-0.033]"
EBG,Backtranslation Via Zh,SVM,Llama-3.1,"1-0.733 [1-0.733, 1-0.733]","1-0.844 [1-0.883, 1-0.805]","1-0.239 [1-0.240, 1-0.238]",".057 [.019, .095]","1-0.178 [1-0.292, 1-0.064]","1-0.782 [1-0.782, 1-0.781]",".922 [.920, .923]","1-0.495 [1-0.496, 1-0.495]","1-0.902 [1-0.904, 1-0.901]"
EBG,Backtranslation Via Zh,SVM,Claude-3.5,"1-0.493 [1-0.526, 1-0.461]","1-0.360 [1-0.393, 1-0.327]","1-0.140 [1-0.150, 1-0.130]","1-0.212 [1-0.232, 1-0.191]","1-0.828 [1-0.999, 1-0.658]","1-0.626 [1-0.632, 1-0.620]",".701 [.690, .712]","1-0.237 [1-0.240, 1-0.234]","1-0.066 [1-0.068, 1-0.063]"
EBG,Backtranslation Via Zh,SVM,Ministral,"1-0.720 [1-0.741, 1-0.699]","1-0.818 [1-0.869, 1-0.767]","1-0.235 [1-0.242, 1-0.228]","1-0.024 [1-0.225, .177]","1-0.156 [1-0.491, .178]","1-0.801 [1-0.811, 1-0.790]",".924 [.917, .931]","1-0.500 [1-0.501, 1-0.499]","1-0.901 [1-0.903, 1-0.898]"
EBG,Backtranslation Via Zh,RoBERTa,Gemma-2,"1-0.867 [1-0.867, 1-0.867]","1-0.840 [1-0.857, 1-0.823]","1-0.827 [1-0.827, 1-0.827]",".604 [.509, .699]","1-0.072 [1-0.214, .071]","1-0.780 [1-0.784, 1-0.776]",".919 [.918, .920]","1-0.494 [1-0.495, 1-0.493]","1-0.897 [1-0.899, 1-0.895]"
EBG,Backtranslation Via Zh,RoBERTa,GPT-4o,"1-0.280 [1-0.315, 1-0.245]","1-0.187 [1-0.208, 1-0.165]","1-0.282 [1-0.304, 1-0.259]",".788 [.690, .886]","1-0.519 [1-0.650, 1-0.387]","1-0.355 [1-0.391, 1-0.319]",".459 [.429, .489]","1-0.134 [1-0.144, 1-0.124]","1-0.039 [1-0.045, 1-0.033]"
EBG,Backtranslation Via Zh,RoBERTa,Llama-3.1,"1-0.867 [1-0.867, 1-0.867]","1-0.827 [1-0.884, 1-0.769]","1-0.827 [1-0.828, 1-0.826]",".563 [.417, .709]","1-0.178 [1-0.292, 1-0.064]","1-0.782 [1-0.782, 1-0.781]",".922 [.920, .923]","1-0.495 [1-0.496, 1-0.495]","1-0.902 [1-0.904, 1-0.901]"
