Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via Zh,LogReg,Gemma-2,"0.049 [0.003, 0.168]","0.143 [0.071, 0.225]","0.054 [0.011, 0.118]","5.259 [4.638, 5.484]","0.895 [0.795, 0.971]","0.245 [0.149, 0.342]","0.882 [0.802, 0.948]","0.505 [0.397, 0.628]","0.137 [0.066, 0.224]"
EBG,Backtranslation Via Zh,LogReg,GPT-4o,"0.470 [0.353, 0.587]","0.722 [0.614, 0.821]","0.372 [0.265, 0.486]","5.259 [4.638, 5.484]","0.483 [0.357, 0.594]","0.632 [0.520, 0.744]","0.462 [0.354, 0.576]","0.833 [0.747, 0.916]","0.921 [0.852, 0.976]"
EBG,Backtranslation Via Zh,LogReg,Llama-3.1,"0.049 [0.003, 0.144]","0.136 [0.060, 0.214]","0.056 [0.013, 0.122]","5.259 [4.638, 5.484]","0.796 [0.695, 0.892]","0.241 [0.143, 0.338]","0.885 [0.809, 0.950]","0.505 [0.396, 0.618]","0.132 [0.062, 0.209]"
EBG,Backtranslation Via Zh,LogReg,Claude-3.5,"0.313 [0.204, 0.415]","0.562 [0.443, 0.674]","0.228 [0.132, 0.321]","5.259 [4.638, 5.484]","0.198 [0.097, 0.313]","0.385 [0.271, 0.489]","0.683 [0.568, 0.779]","0.740 [0.644, 0.838]","0.897 [0.826, 0.959]"
EBG,Backtranslation Via Zh,LogReg,Ministral,"0.054 [0.003, 0.176]","0.141 [0.064, 0.222]","0.058 [0.012, 0.121]","5.259 [4.638, 5.484]","0.818 [0.655, 0.948]","0.227 [0.132, 0.328]","0.887 [0.811, 0.951]","0.496 [0.333, 0.664]","0.135 [0.062, 0.215]"
EBG,Backtranslation Via Zh,SVM,Gemma-2,"0.044 [0.001, 0.163]","0.090 [0.030, 0.157]","0.055 [0.011, 0.125]","5.259 [4.638, 5.484]","0.895 [0.795, 0.971]","0.245 [0.149, 0.342]","0.882 [0.802, 0.948]","0.505 [0.397, 0.628]","0.137 [0.066, 0.224]"
EBG,Backtranslation Via Zh,SVM,GPT-4o,"0.547 [0.426, 0.659]","0.732 [0.623, 0.828]","0.214 [0.127, 0.313]","5.259 [4.638, 5.484]","0.483 [0.357, 0.594]","0.632 [0.520, 0.744]","0.462 [0.354, 0.576]","0.833 [0.747, 0.916]","0.921 [0.852, 0.976]"
EBG,Backtranslation Via Zh,SVM,Llama-3.1,"0.044 [0.001, 0.163]","0.082 [0.025, 0.154]","0.054 [0.011, 0.112]","5.259 [4.638, 5.484]","0.796 [0.695, 0.892]","0.241 [0.143, 0.338]","0.885 [0.809, 0.950]","0.505 [0.396, 0.618]","0.132 [0.062, 0.209]"
EBG,Backtranslation Via Zh,SVM,Claude-3.5,"0.264 [0.168, 0.365]","0.529 [0.408, 0.633]","0.146 [0.069, 0.229]","5.259 [4.638, 5.484]","0.198 [0.097, 0.313]","0.385 [0.271, 0.489]","0.683 [0.568, 0.779]","0.740 [0.644, 0.838]","0.897 [0.826, 0.959]"
EBG,Backtranslation Via Zh,SVM,Ministral,"0.049 [0.003, 0.144]","0.106 [0.038, 0.180]","0.059 [0.013, 0.128]","5.259 [4.638, 5.484]","0.818 [0.655, 0.948]","0.227 [0.132, 0.328]","0.887 [0.811, 0.951]","0.496 [0.333, 0.664]","0.135 [0.062, 0.215]"
EBG,Backtranslation Via Zh,RoBERTa,Gemma-2,"0.044 [0.001, 0.163]","0.128 [0.059, 0.209]","0.043 [0.006, 0.106]","5.259 [4.638, 5.484]","0.895 [0.795, 0.971]","0.245 [0.149, 0.342]","0.882 [0.802, 0.948]","0.505 [0.397, 0.628]","0.137 [0.066, 0.224]"
EBG,Backtranslation Via Zh,RoBERTa,GPT-4o,"0.579 [0.467, 0.693]","0.725 [0.618, 0.821]","0.543 [0.430, 0.659]","5.259 [4.638, 5.484]","0.483 [0.357, 0.594]","0.632 [0.520, 0.744]","0.462 [0.354, 0.576]","0.833 [0.747, 0.916]","0.921 [0.852, 0.976]"
EBG,Backtranslation Via Zh,RoBERTa,Llama-3.1,"0.044 [0.001, 0.163]","0.140 [0.064, 0.225]","0.045 [0.005, 0.119]","5.259 [4.638, 5.484]","0.796 [0.695, 0.892]","0.241 [0.143, 0.338]","0.885 [0.809, 0.950]","0.505 [0.396, 0.618]","0.132 [0.062, 0.209]"
EBG,Backtranslation Via Zh,RoBERTa,Claude-3.5,"0.519 [0.399, 0.632]","0.706 [0.599, 0.806]","0.499 [0.385, 0.614]","5.259 [4.638, 5.484]","0.198 [0.097, 0.313]","0.385 [0.271, 0.489]","0.683 [0.568, 0.779]","0.740 [0.644, 0.838]","0.897 [0.826, 0.959]"
EBG,Backtranslation Via Zh,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.139 [0.063, 0.219]","0.045 [0.007, 0.110]","5.259 [4.638, 5.484]","0.818 [0.655, 0.948]","0.227 [0.132, 0.328]","0.887 [0.811, 0.951]","0.496 [0.333, 0.664]","0.135 [0.062, 0.215]"
