Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Claude-3.5,"-53.0% [-69.4%, -37.7%]","-35.1% [-48.8%, -22.2%]","-46.6% [-69.0%, -24.8%]","-9.0% [-32.8%, 15.2%]","-80.2% [-90.3%, -68.7%]","-61.5% [-72.9%, -51.1%]","68.3% [56.8%, 77.9%]","-26.0% [-35.6%, -16.2%]","-10.3% [-17.4%, -4.1%]"
EBG,LogReg,Ministral,"-92.0% [-99.6%, -73.7%]","-83.7% [-92.6%, -74.4%]","-86.5% [-97.1%, -71.7%]","-5.2% [-32.3%, 17.6%]","-18.2% [-34.5%, -5.2%]","-77.3% [-86.8%, -67.2%]","88.7% [81.1%, 95.1%]","-50.4% [-66.7%, -33.6%]","-86.5% [-93.8%, -78.5%]"
EBG,LogReg,Llama-3.1,"-92.7% [-99.6%, -78.4%]","-84.3% [-93.1%, -75.3%]","-86.8% [-96.9%, -71.4%]","3.5% [-20.7%, 27.8%]","-20.4% [-30.5%, -10.8%]","-75.9% [-85.7%, -66.2%]","88.5% [80.9%, 95.0%]","-49.5% [-60.4%, -38.2%]","-86.8% [-93.8%, -79.1%]"
EBG,LogReg,Gemma-2,"-92.7% [-99.6%, -74.8%]","-83.5% [-91.8%, -74.1%]","-87.3% [-97.5%, -72.3%]","1.9% [-21.9%, 24.8%]","-10.5% [-20.5%, -2.9%]","-75.5% [-85.1%, -65.8%]","88.2% [80.2%, 94.8%]","-49.5% [-60.3%, -37.2%]","-86.3% [-93.4%, -77.6%]"
EBG,LogReg,GPT-4o,"-29.6% [-47.1%, -11.9%]","-16.6% [-29.1%, -5.3%]","-12.8% [-38.0%, 14.0%]","-3.9% [-28.2%, 19.7%]","-51.7% [-64.3%, -40.6%]","-36.8% [-48.0%, -25.6%]","46.2% [35.4%, 57.6%]","-16.7% [-25.3%, -8.4%]","-7.9% [-14.8%, -2.4%]"
EBG,SVM,Claude-3.5,"-64.0% [-77.2%, -50.2%]","-40.5% [-54.1%, -28.8%]","-42.4% [-72.8%, -9.3%]","-7.6% [-21.1%, 5.5%]","-80.2% [-90.3%, -68.7%]","-61.5% [-72.9%, -51.1%]","68.3% [56.8%, 77.9%]","-26.0% [-35.6%, -16.2%]","-10.3% [-17.4%, -4.1%]"
EBG,SVM,Ministral,"-93.4% [-99.6%, -80.3%]","-88.1% [-95.7%, -79.7%]","-76.6% [-94.8%, -49.3%]","-3.7% [-17.1%, 8.6%]","-18.2% [-34.5%, -5.2%]","-77.3% [-86.8%, -67.2%]","88.7% [81.1%, 95.1%]","-50.4% [-66.7%, -33.6%]","-86.5% [-93.8%, -78.5%]"
EBG,SVM,Llama-3.1,"-94.0% [-99.9%, -77.8%]","-90.8% [-97.2%, -82.7%]","-78.6% [-95.7%, -55.7%]","-1.9% [-14.4%, 10.0%]","-20.4% [-30.5%, -10.8%]","-75.9% [-85.7%, -66.2%]","88.5% [80.9%, 95.0%]","-49.5% [-60.4%, -38.2%]","-86.8% [-93.8%, -79.1%]"
EBG,SVM,Gemma-2,"-94.0% [-99.9%, -77.8%]","-89.9% [-96.6%, -82.4%]","-78.1% [-95.7%, -50.6%]","-2.1% [-14.9%, 10.1%]","-10.5% [-20.5%, -2.9%]","-75.5% [-85.1%, -65.8%]","88.2% [80.2%, 94.8%]","-49.5% [-60.3%, -37.2%]","-86.3% [-93.4%, -77.6%]"
EBG,SVM,GPT-4o,"-25.5% [-41.9%, -10.1%]","-17.6% [-29.9%, -6.9%]","-15.1% [-49.8%, 23.9%]","-1.5% [-13.2%, 11.3%]","-51.7% [-64.3%, -40.6%]","-36.8% [-48.0%, -25.6%]","46.2% [35.4%, 57.6%]","-16.7% [-25.3%, -8.4%]","-7.9% [-14.8%, -2.4%]"
EBG,RoBERTa,Claude-3.5,"-40.2% [-53.9%, -27.1%]","-24.4% [-35.8%, -13.6%]","-39.9% [-53.6%, -26.1%]","119.7% [39.9%, 199.8%]","-80.2% [-90.3%, -68.7%]","-61.5% [-72.9%, -51.1%]","68.3% [56.8%, 77.9%]","-26.0% [-35.6%, -16.2%]","-10.3% [-17.4%, -4.1%]"
EBG,RoBERTa,Ministral,"-94.9% [-99.9%, -81.2%]","-85.1% [-93.2%, -76.6%]","-94.6% [-99.1%, -86.7%]","121.4% [39.5%, 198.7%]","-18.2% [-34.5%, -5.2%]","-77.3% [-86.8%, -67.2%]","88.7% [81.1%, 95.1%]","-50.4% [-66.7%, -33.6%]","-86.5% [-93.8%, -78.5%]"
EBG,RoBERTa,Llama-3.1,"-94.9% [-99.9%, -81.2%]","-85.0% [-93.1%, -75.9%]","-94.6% [-99.4%, -85.7%]","99.0% [24.3%, 178.4%]","-20.4% [-30.5%, -10.8%]","-75.9% [-85.7%, -66.2%]","88.5% [80.9%, 95.0%]","-49.5% [-60.4%, -38.2%]","-86.8% [-93.8%, -79.1%]"
EBG,RoBERTa,Gemma-2,"-94.9% [-99.9%, -81.2%]","-86.2% [-93.7%, -77.6%]","-94.8% [-99.3%, -87.2%]","104.0% [23.4%, 183.0%]","-10.5% [-20.5%, -2.9%]","-75.5% [-85.1%, -65.8%]","88.2% [80.2%, 94.8%]","-49.5% [-60.3%, -37.2%]","-86.3% [-93.4%, -77.6%]"
EBG,RoBERTa,GPT-4o,"-33.2% [-46.1%, -20.1%]","-22.3% [-33.8%, -12.0%]","-34.6% [-48.2%, -20.7%]","128.1% [49.6%, 208.5%]","-51.7% [-64.3%, -40.6%]","-36.8% [-48.0%, -25.6%]","46.2% [35.4%, 57.6%]","-16.7% [-25.3%, -8.4%]","-7.9% [-14.8%, -2.4%]"
