Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via Zh,LogReg,Gemma-2,".009 [1-0.012, .030]",".111 [.084, .139]",".013 [.008, .019]","12.668 [12.581, 12.756]",".928 [.786, 11.071]",".220 [.216, .224]",".919 [.918, .920]",".506 [.505, .507]",".103 [.101, .105]"
EBG,Backtranslation Via Zh,LogReg,GPT-4o,".467 [.399, .534]",".742 [.698, .787]",".358 [.296, .419]","12.509 [12.175, 12.844]",".481 [.350, .613]",".645 [.609, .681]",".459 [.429, .489]",".866 [.856, .876]",".961 [.955, .967]"
EBG,Backtranslation Via Zh,LogReg,Llama-3.1,".013 [1-0.008, .035]",".102 [.081, .124]",".015 [.009, .021]","12.720 [12.624, 12.815]",".822 [.708, .936]",".218 [.218, .219]",".922 [.920, .923]",".505 [.504, .505]",".098 [.096, .099]"
EBG,Backtranslation Via Zh,LogReg,Claude-3.5,".293 [.251, .336]",".569 [.524, .613]",".202 [.174, .231]","12.351 [12.098, 12.604]",".172 [.001, .342]",".374 [.368, .380]",".701 [.690, .712]",".763 [.760, .766]",".934 [.932, .937]"
EBG,Backtranslation Via Zh,LogReg,Ministral,".013 [1-0.022, .048]",".107 [.074, .139]",".018 [.003, .034]","12.467 [12.363, 12.571]",".844 [.509, 11.178]",".199 [.189, .210]",".924 [.917, .931]",".500 [.499, .501]",".099 [.097, .102]"
EBG,Backtranslation Via Zh,SVM,Gemma-2,".000 [.000, .000]",".053 [.032, .075]",".014 [.012, .016]","14.313 [14.241, 14.385]",".928 [.786, 11.071]",".220 [.216, .224]",".919 [.918, .920]",".506 [.505, .507]",".103 [.101, .105]"
EBG,Backtranslation Via Zh,SVM,GPT-4o,".551 [.440, .663]",".756 [.678, .833]",".186 [.163, .209]","14.337 [14.179, 14.495]",".481 [.350, .613]",".645 [.609, .681]",".459 [.429, .489]",".866 [.856, .876]",".961 [.955, .967]"
EBG,Backtranslation Via Zh,SVM,Llama-3.1,".000 [.000, .000]",".044 [.005, .083]",".014 [.013, .015]","14.325 [14.286, 14.363]",".822 [.708, .936]",".218 [.218, .219]",".922 [.920, .923]",".505 [.504, .505]",".098 [.096, .099]"
EBG,Backtranslation Via Zh,SVM,Claude-3.5,".240 [.207, .273]",".529 [.496, .561]",".113 [.103, .123]","14.055 [14.035, 14.076]",".172 [.001, .342]",".374 [.368, .380]",".701 [.690, .712]",".763 [.760, .766]",".934 [.932, .937]"
EBG,Backtranslation Via Zh,SVM,Ministral,".013 [1-0.008, .035]",".071 [.020, .122]",".018 [.011, .025]","14.243 [14.042, 14.444]",".844 [.509, 11.178]",".199 [.189, .210]",".924 [.917, .931]",".500 [.499, .501]",".099 [.097, .102]"
EBG,Backtranslation Via Zh,RoBERTa,Gemma-2,".000 [.000, .000]",".093 [.076, .111]",".004 [.003, .004]","11.304 [11.210, 11.399]",".928 [.786, 11.071]",".220 [.216, .224]",".919 [.918, .920]",".506 [.505, .507]",".103 [.101, .105]"
EBG,Backtranslation Via Zh,RoBERTa,GPT-4o,".587 [.552, .622]",".747 [.725, .768]",".549 [.526, .572]","11.488 [11.390, 11.587]",".481 [.350, .613]",".645 [.609, .681]",".459 [.429, .489]",".866 [.856, .876]",".961 [.955, .967]"
EBG,Backtranslation Via Zh,RoBERTa,Llama-3.1,".000 [.000, .000]",".107 [.049, .164]",".004 [.003, .004]","11.263 [11.117, 11.410]",".822 [.708, .936]",".218 [.218, .219]",".922 [.920, .923]",".505 [.504, .505]",".098 [.096, .099]"
EBG,Backtranslation Via Zh,RoBERTa,Claude-3.5,".520 [.485, .555]",".724 [.703, .746]",".498 [.478, .517]","11.432 [11.386, 11.477]",".172 [.001, .342]",".374 [.368, .380]",".701 [.690, .712]",".763 [.760, .766]",".934 [.932, .937]"
EBG,Backtranslation Via Zh,RoBERTa,Ministral,".000 [.000, .000]",".107 [.089, .124]",".005 [.003, .007]","11.443 [11.259, 11.626]",".844 [.509, 11.178]",".199 [.189, .210]",".924 [.917, .931]",".500 [.499, .501]",".099 [.097, .102]"
