Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Gemma 2,"-92.719 [-99.560, -74.759]%","-83.475 [-91.839, -74.065]%","-87.314 [-97.494, -72.308]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,GPT4o,"-29.567 [-47.092, -11.945]%","-16.648 [-29.114, -5.264]%","-12.780 [-37.973, 14.016]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Llama 3.1,"-92.692 [-99.580, -78.352]%","-84.253 [-93.050, -75.263]%","-86.759 [-96.919, -71.435]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Sonnet 3.5,"-53.033 [-69.374, -37.744]%","-35.101 [-48.848, -22.232]%","-46.565 [-69.000, -24.811]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Ministral,"-91.951 [-99.602, -73.669]%","-83.729 [-92.599, -74.436]%","-86.495 [-97.072, -71.656]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Gemma 2,"-93.950 [-99.877, -77.798]%","-89.885 [-96.624, -82.366]%","-78.117 [-95.730, -50.587]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,GPT4o,"-25.464 [-41.884, -10.133]%","-17.610 [-29.924, -6.886]%","-15.148 [-49.797, 23.904]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Llama 3.1,"-93.950 [-99.877, -77.798]%","-90.755 [-97.205, -82.715]%","-78.633 [-95.677, -55.706]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Sonnet 3.5,"-64.048 [-77.155, -50.179]%","-40.484 [-54.133, -28.776]%","-42.397 [-72.781, -9.311]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Ministral,"-93.357 [-99.618, -80.320]%","-88.079 [-95.677, -79.715]%","-76.560 [-94.831, -49.321]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Gemma 2,"-94.881 [-99.896, -81.214]%","-86.248 [-93.718, -77.633]%","-94.828 [-99.288, -87.214]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,GPT4o,"-33.172 [-46.099, -20.059]%","-22.296 [-33.802, -11.994]%","-34.585 [-48.202, -20.713]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Llama 3.1,"-94.881 [-99.896, -81.214]%","-84.960 [-93.117, -75.898]%","-94.574 [-99.394, -85.699]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Sonnet 3.5,"-40.161 [-53.907, -27.069]%","-24.367 [-35.842, -13.613]%","-39.901 [-53.612, -26.102]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Ministral,"-94.881 [-99.896, -81.214]%","-85.089 [-93.208, -76.561]%","-94.598 [-99.097, -86.702]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
