Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Backtranslation Via Zh,LogReg,Gemma-2,"1-98.667 [1-101.867, 1-95.466]%","1-87.179 [1-90.358, 1-84.001]%","1-96.841 [1-98.164, 1-95.518]%","11.578 [1-1.757, 14.912]%","1-7.163 [1-21.393, 17.067]%","1-78.007 [1-78.400, 1-77.615]%","191.930 [191.832, 192.029]%","1-49.413 [1-49.543, 1-49.284]%","1-89.745 [1-89.948, 1-89.542]%"
EBG,Backtranslation Via Zh,LogReg,GPT-4o,"1-30.000 [1-40.121, 1-19.879]%","1-14.359 [1-19.484, 1-9.234]%","1-16.146 [1-30.645, 1-1.647]%","1-4.484 [1-17.209, 18.241]%","1-51.852 [1-65.040, 1-38.665]%","1-35.485 [1-39.104, 1-31.866]%","145.914 [142.911, 148.917]%","1-13.423 [1-14.419, 1-12.427]%","1-3.903 [1-4.532, 1-3.273]%"
EBG,Backtranslation Via Zh,LogReg,Llama-3.1,"1-98.000 [1-101.201, 1-94.799]%","1-88.205 [1-90.667, 1-85.743]%","1-96.457 [1-97.903, 1-95.010]%","13.524 [1-0.127, 17.175]%","1-17.801 [1-29.224, 1-6.377]%","1-78.160 [1-78.215, 1-78.105]%","192.186 [192.030, 192.343]%","1-49.543 [1-49.635, 1-49.451]%","1-90.228 [1-90.358, 1-90.097]%"
EBG,Backtranslation Via Zh,LogReg,Claude-3.5,"1-56.000 [1-62.401, 1-49.599]%","1-34.359 [1-39.484, 1-29.234]%","1-52.528 [1-59.212, 1-45.844]%","1-10.524 [1-20.156, 1-0.893]%","1-82.817 [1-99.864, 1-65.770]%","1-62.582 [1-63.159, 1-62.005]%","170.135 [169.038, 171.232]%","1-23.708 [1-23.998, 1-23.418]%","1-6.588 [1-6.828, 1-6.349]%"
EBG,Backtranslation Via Zh,LogReg,Ministral,"1-98.000 [1-103.227, 1-92.773]%","1-87.692 [1-91.453, 1-83.931]%","1-95.725 [1-99.411, 1-92.039]%","1-6.101 [1-10.053, 1-2.149]%","1-15.648 [1-49.111, 117.815]%","1-80.061 [1-81.101, 1-79.021]%","192.441 [191.733, 193.149]%","1-50.011 [1-50.126, 1-49.897]%","1-90.060 [1-90.330, 1-89.790]%"
EBG,Backtranslation Via Zh,SVM,Gemma-2,"1-100.000 [1-100.000, 1-100.000]%","1-94.000 [1-96.400, 1-91.600]%","1-94.581 [1-95.411, 1-93.751]%","11.077 [1-0.606, 12.760]%","1-7.163 [1-21.393, 17.067]%","1-78.007 [1-78.400, 1-77.615]%","191.930 [191.832, 192.029]%","1-49.413 [1-49.543, 1-49.284]%","1-89.745 [1-89.948, 1-89.542]%"
EBG,Backtranslation Via Zh,SVM,GPT-4o,"1-24.848 [1-40.061, 1-9.636]%","1-15.000 [1-23.765, 1-6.235]%","1-26.443 [1-35.629, 1-17.256]%","11.632 [1-2.077, 15.342]%","1-51.852 [1-65.040, 1-38.665]%","1-35.485 [1-39.104, 1-31.866]%","145.914 [142.911, 148.917]%","1-13.423 [1-14.419, 1-12.427]%","1-3.903 [1-4.532, 1-3.273]%"
EBG,Backtranslation Via Zh,SVM,Llama-3.1,"1-100.000 [1-100.000, 1-100.000]%","1-95.000 [1-99.383, 1-90.617]%","1-94.514 [1-94.829, 1-94.198]%","11.340 [.443, 12.237]%","1-17.801 [1-29.224, 1-6.377]%","1-78.160 [1-78.215, 1-78.105]%","192.186 [192.030, 192.343]%","1-49.543 [1-49.635, 1-49.451]%","1-90.228 [1-90.358, 1-90.097]%"
EBG,Backtranslation Via Zh,SVM,Claude-3.5,"1-67.273 [1-71.717, 1-62.828]%","1-40.500 [1-44.167, 1-36.833]%","1-55.413 [1-59.291, 1-51.535]%","1-4.966 [1-5.447, 1-4.484]%","1-82.817 [1-99.864, 1-65.770]%","1-62.582 [1-63.159, 1-62.005]%","170.135 [169.038, 171.232]%","1-23.708 [1-23.998, 1-23.418]%","1-6.588 [1-6.828, 1-6.349]%"
EBG,Backtranslation Via Zh,SVM,Ministral,"1-98.182 [1-101.092, 1-95.272]%","1-92.000 [1-97.714, 1-86.286]%","1-92.941 [1-95.794, 1-90.087]%","1-0.566 [1-5.283, 14.151]%","1-15.648 [1-49.111, 117.815]%","1-80.061 [1-81.101, 1-79.021]%","192.441 [191.733, 193.149]%","1-50.011 [1-50.126, 1-49.897]%","1-90.060 [1-90.330, 1-89.790]%"
EBG,Backtranslation Via Zh,RoBERTa,Gemma-2,"1-100.000 [1-100.000, 1-100.000]%","1-90.000 [1-91.867, 1-88.133]%","1-99.553 [1-99.582, 1-99.524]%","186.245 [172.690, 199.801]%","1-7.163 [1-21.393, 17.067]%","1-78.007 [1-78.400, 1-77.615]%","191.930 [191.832, 192.029]%","1-49.413 [1-49.543, 1-49.284]%","1-89.745 [1-89.948, 1-89.542]%"
EBG,Backtranslation Via Zh,RoBERTa,GPT-4o,"1-32.308 [1-36.328, 1-28.287]%","1-20.000 [1-22.286, 1-17.714]%","1-33.905 [1-36.638, 1-31.172]%","1112.501 [198.479, 1126.523]%","1-51.852 [1-65.040, 1-38.665]%","1-35.485 [1-39.104, 1-31.866]%","145.914 [142.911, 148.917]%","1-13.423 [1-14.419, 1-12.427]%","1-3.903 [1-4.532, 1-3.273]%"
EBG,Backtranslation Via Zh,RoBERTa,Llama-3.1,"1-100.000 [1-100.000, 1-100.000]%","1-88.571 [1-94.762, 1-82.380]%","1-99.577 [1-99.649, 1-99.504]%","180.386 [159.485, 1101.286]%","1-17.801 [1-29.224, 1-6.377]%","1-78.160 [1-78.215, 1-78.105]%","192.186 [192.030, 192.343]%","1-49.543 [1-49.635, 1-49.451]%","1-90.228 [1-90.358, 1-90.097]%"
EBG,Backtranslation Via Zh,RoBERTa,Claude-3.5,"1-40.000 [1-44.021, 1-35.979]%","1-22.381 [1-24.667, 1-20.095]%","1-40.070 [1-42.392, 1-37.748]%","1104.398 [197.901, 1110.895]%","1-82.817 [1-99.864, 1-65.770]%","1-62.582 [1-63.159, 1-62.005]%","170.135 [169.038, 171.232]%","1-23.708 [1-23.998, 1-23.418]%","1-6.588 [1-6.828, 1-6.349]%"
EBG,Backtranslation Via Zh,RoBERTa,Ministral,"1-100.000 [1-100.000, 1-100.000]%","1-88.571 [1-90.438, 1-86.705]%","1-99.391 [1-99.677, 1-99.106]%","1105.953 [179.781, 1132.125]%","1-15.648 [1-49.111, 117.815]%","1-80.061 [1-81.101, 1-79.021]%","192.441 [191.733, 193.149]%","1-50.011 [1-50.126, 1-49.897]%","1-90.060 [1-90.330, 1-89.790]%"
