Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,backtranslation via zh,LogReg,GPT-4o,"0.220 [0.007, 0.536]","0.583 [0.265, 0.888]","0.230 [0.013, 0.517]","3.555 [3.421, 3.686]",,"0.635 [0.615, 0.655]","0.461 [0.444, 0.480]","0.884 [0.876, 0.893]","0.936 [0.929, 0.943]"
RJ,backtranslation via zh,LogReg,Gemma-2,"0.220 [0.007, 0.536]","0.319 [0.049, 0.624]","0.221 [0.013, 0.535]","3.534 [3.401, 3.656]",,"0.251 [0.241, 0.261]","0.912 [0.900, 0.925]","0.548 [0.537, 0.559]","0.513 [0.497, 0.532]"
RJ,backtranslation via zh,LogReg,Ministral,"0.220 [0.007, 0.536]","0.286 [0.039, 0.599]","0.208 [0.010, 0.520]","3.568 [3.438, 3.691]",,"0.235 [0.223, 0.246]","0.911 [0.897, 0.923]","0.549 [0.538, 0.560]","0.516 [0.497, 0.536]"
RJ,backtranslation via zh,LogReg,Llama-3.1,"0.185 [0.002, 0.499]","0.353 [0.075, 0.671]","0.197 [0.004, 0.506]","3.575 [3.450, 3.710]",,"0.253 [0.243, 0.263]","0.912 [0.900, 0.925]","0.550 [0.538, 0.561]","0.506 [0.488, 0.523]"
RJ,backtranslation via zh,LogReg,Claude-3.5,"0.126 [0.001, 0.492]","0.353 [0.075, 0.671]","0.165 [0.002, 0.475]","3.589 [3.453, 3.707]",,"0.309 [0.293, 0.323]","0.777 [0.760, 0.794]","0.737 [0.725, 0.749]","0.861 [0.849, 0.873]"
RJ,backtranslation via zh,SVM,GPT-4o,"0.250 [0.016, 0.544]","0.516 [0.196, 0.841]","0.214 [0.009, 0.526]","3.555 [3.421, 3.686]",,"0.635 [0.615, 0.655]","0.461 [0.444, 0.480]","0.884 [0.876, 0.893]","0.936 [0.929, 0.943]"
RJ,backtranslation via zh,SVM,Gemma-2,"0.185 [0.002, 0.499]","0.286 [0.039, 0.599]","0.182 [0.004, 0.485]","3.534 [3.401, 3.656]",,"0.251 [0.241, 0.261]","0.912 [0.900, 0.925]","0.548 [0.537, 0.559]","0.513 [0.497, 0.532]"
RJ,backtranslation via zh,SVM,Ministral,"0.185 [0.002, 0.499]","0.286 [0.039, 0.599]","0.182 [0.007, 0.510]","3.568 [3.438, 3.691]",,"0.235 [0.223, 0.246]","0.911 [0.897, 0.923]","0.549 [0.538, 0.560]","0.516 [0.497, 0.536]"
RJ,backtranslation via zh,SVM,Llama-3.1,"0.185 [0.002, 0.499]","0.319 [0.049, 0.624]","0.184 [0.007, 0.480]","3.575 [3.450, 3.710]",,"0.253 [0.243, 0.263]","0.912 [0.900, 0.925]","0.550 [0.538, 0.561]","0.506 [0.488, 0.523]"
RJ,backtranslation via zh,SVM,Claude-3.5,"0.220 [0.007, 0.536]","0.386 [0.090, 0.712]","0.194 [0.004, 0.521]","3.589 [3.453, 3.707]",,"0.309 [0.293, 0.323]","0.777 [0.760, 0.794]","0.737 [0.725, 0.749]","0.861 [0.849, 0.873]"
RJ,backtranslation via zh,RoBERTa,GPT-4o,"0.250 [0.016, 0.544]","0.449 [0.133, 0.773]","0.261 [0.015, 0.574]","3.555 [3.421, 3.686]",,"0.635 [0.615, 0.655]","0.461 [0.444, 0.480]","0.884 [0.876, 0.893]","0.936 [0.929, 0.943]"
RJ,backtranslation via zh,RoBERTa,Gemma-2,"0.126 [0.001, 0.492]","0.250 [0.016, 0.544]","0.164 [0.003, 0.476]","3.534 [3.401, 3.656]",,"0.251 [0.241, 0.261]","0.912 [0.900, 0.925]","0.548 [0.537, 0.559]","0.513 [0.497, 0.532]"
RJ,backtranslation via zh,RoBERTa,Ministral,"0.185 [0.002, 0.499]","0.250 [0.016, 0.544]","0.178 [0.005, 0.492]","3.568 [3.438, 3.691]",,"0.235 [0.223, 0.246]","0.911 [0.897, 0.923]","0.549 [0.538, 0.560]","0.516 [0.497, 0.536]"
RJ,backtranslation via zh,RoBERTa,Llama-3.1,"0.185 [0.002, 0.499]","0.220 [0.007, 0.536]","0.179 [0.002, 0.500]","3.575 [3.450, 3.710]",,"0.253 [0.243, 0.263]","0.912 [0.900, 0.925]","0.550 [0.538, 0.561]","0.506 [0.488, 0.523]"
RJ,backtranslation via zh,RoBERTa,Claude-3.5,"0.250 [0.016, 0.544]","0.319 [0.049, 0.624]","0.254 [0.009, 0.538]","3.589 [3.453, 3.707]",,"0.309 [0.293, 0.323]","0.777 [0.760, 0.794]","0.737 [0.725, 0.749]","0.861 [0.849, 0.873]"
