Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Obfuscation,LogReg,Llama-3.1,-0.644,-0.751,-0.400,0.400,-0.812,-0.824,0.942,-0.501,-0.896
EBG,Obfuscation,LogReg,Ministral,-0.649,-0.747,-0.413,-0.368,-0.810,-0.848,0.939,-0.510,-0.898
EBG,Obfuscation,LogReg,Gemma-2,-0.636,-0.733,-0.398,0.164,-0.866,-0.821,0.944,-0.498,-0.894
EBG,Obfuscation,LogReg,Claude-3.5,-0.556,-0.498,-0.329,-0.559,-0.971,-0.800,0.863,-0.349,-0.143
EBG,Obfuscation,LogReg,GPT-4o,-0.280,-0.284,-0.168,0.021,-0.810,-0.532,0.679,-0.197,-0.057
EBG,Obfuscation,SVM,Llama-3.1,-0.729,-0.804,-0.234,0.181,-0.812,-0.824,0.942,-0.501,-0.896
EBG,Obfuscation,SVM,Ministral,-0.693,-0.778,-0.227,-0.125,-0.810,-0.848,0.939,-0.510,-0.898
EBG,Obfuscation,SVM,Gemma-2,-0.716,-0.787,-0.232,0.112,-0.866,-0.821,0.944,-0.498,-0.894
EBG,Obfuscation,SVM,Claude-3.5,-0.671,-0.618,-0.200,-0.959,-0.971,-0.800,0.863,-0.349,-0.143
EBG,Obfuscation,SVM,GPT-4o,-0.404,-0.218,-0.130,0.185,-0.810,-0.532,0.679,-0.197,-0.057
EBG,Obfuscation,RoBERTa,Llama-3.1,-0.867,-0.871,-0.827,0.721,-0.812,-0.824,0.942,-0.501,-0.896
EBG,Obfuscation,RoBERTa,Ministral,-0.867,-0.827,-0.825,0.791,-0.810,-0.848,0.939,-0.510,-0.898
EBG,Obfuscation,RoBERTa,Gemma-2,-0.867,-0.871,-0.827,0.850,-0.866,-0.821,0.944,-0.498,-0.894
EBG,Obfuscation,RoBERTa,Claude-3.5,-0.418,-0.262,-0.411,0.851,-0.971,-0.800,0.863,-0.349,-0.143
EBG,Obfuscation,RoBERTa,GPT-4o,-0.333,-0.173,-0.323,0.861,-0.810,-0.532,0.679,-0.197,-0.057
