Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama-3.1,"0.162 [0.001, 0.476]","0.230 [0.013, 0.542]","0.166 [0.003, 0.488]","4.773 [4.678, 4.865]",,"0.178 [0.172, 0.184]","0.947 [0.940, 0.953]","0.499 [0.491, 0.507]","0.123 [0.101, 0.148]"
EBG,LogReg,Gemma-2,"0.184 [0.005, 0.505]","0.246 [0.017, 0.538]","0.172 [0.002, 0.483]","4.846 [4.755, 4.929]",,"0.182 [0.175, 0.189]","0.948 [0.941, 0.955]","0.503 [0.494, 0.511]","0.125 [0.101, 0.150]"
EBG,LogReg,Ministral,"0.184 [0.005, 0.505]","0.275 [0.029, 0.580]","0.164 [0.002, 0.475]","4.775 [4.675, 4.863]",,"0.154 [0.148, 0.161]","0.944 [0.936, 0.951]","0.491 [0.483, 0.499]","0.122 [0.097, 0.146]"
EBG,LogReg,Claude-3.5,"0.217 [0.006, 0.525]","0.417 [0.116, 0.744]","0.209 [0.005, 0.508]","4.797 [4.700, 4.884]",,"0.202 [0.195, 0.210]","0.869 [0.859, 0.880]","0.650 [0.642, 0.658]","0.856 [0.848, 0.864]"
EBG,LogReg,GPT-4o,"0.403 [0.101, 0.725]","0.556 [0.238, 0.859]","0.343 [0.058, 0.664]","4.829 [4.736, 4.918]",,"0.469 [0.455, 0.482]","0.680 [0.668, 0.691]","0.802 [0.794, 0.810]","0.941 [0.937, 0.946]"
EBG,SVM,Llama-3.1,"0.126 [0.001, 0.492]","0.217 [0.006, 0.525]","0.158 [0.003, 0.483]","4.773 [4.678, 4.865]",,"0.178 [0.172, 0.184]","0.947 [0.940, 0.953]","0.499 [0.491, 0.507]","0.123 [0.101, 0.148]"
EBG,SVM,Gemma-2,"0.126 [0.001, 0.492]","0.217 [0.006, 0.525]","0.161 [0.003, 0.483]","4.846 [4.755, 4.929]",,"0.182 [0.175, 0.189]","0.948 [0.941, 0.955]","0.503 [0.494, 0.511]","0.125 [0.101, 0.150]"
EBG,SVM,Ministral,"0.184 [0.005, 0.505]","0.197 [0.004, 0.507]","0.169 [0.002, 0.492]","4.775 [4.675, 4.863]",,"0.154 [0.148, 0.161]","0.944 [0.936, 0.951]","0.491 [0.483, 0.499]","0.122 [0.097, 0.146]"
EBG,SVM,Claude-3.5,"0.184 [0.005, 0.505]","0.323 [0.062, 0.645]","0.187 [0.008, 0.507]","4.797 [4.700, 4.884]",,"0.202 [0.195, 0.210]","0.869 [0.859, 0.880]","0.650 [0.642, 0.658]","0.856 [0.848, 0.864]"
EBG,SVM,GPT-4o,"0.369 [0.064, 0.676]","0.599 [0.286, 0.906]","0.246 [0.014, 0.555]","4.829 [4.736, 4.918]",,"0.469 [0.455, 0.482]","0.680 [0.668, 0.691]","0.802 [0.794, 0.810]","0.941 [0.937, 0.946]"
EBG,RoBERTa,Llama-3.1,"0.126 [0.001, 0.492]","0.197 [0.004, 0.507]","0.148 [0.000, 0.484]","4.773 [4.678, 4.865]",,"0.178 [0.172, 0.184]","0.947 [0.940, 0.953]","0.499 [0.491, 0.507]","0.123 [0.101, 0.148]"
EBG,RoBERTa,Gemma-2,"0.126 [0.001, 0.492]","0.162 [0.001, 0.476]","0.141 [0.001, 0.469]","4.846 [4.755, 4.929]",,"0.182 [0.175, 0.189]","0.948 [0.941, 0.955]","0.503 [0.494, 0.511]","0.125 [0.101, 0.150]"
EBG,RoBERTa,Ministral,"0.126 [0.001, 0.492]","0.230 [0.013, 0.542]","0.143 [0.001, 0.467]","4.775 [4.675, 4.863]",,"0.154 [0.148, 0.161]","0.944 [0.936, 0.951]","0.491 [0.483, 0.499]","0.122 [0.097, 0.146]"
EBG,RoBERTa,Claude-3.5,"0.460 [0.163, 0.787]","0.634 [0.309, 0.912]","0.439 [0.118, 0.757]","4.797 [4.700, 4.884]",,"0.202 [0.195, 0.210]","0.869 [0.859, 0.880]","0.650 [0.642, 0.658]","0.856 [0.848, 0.864]"
EBG,RoBERTa,GPT-4o,"0.541 [0.239, 0.873]","0.678 [0.361, 0.950]","0.509 [0.205, 0.813]","4.829 [4.736, 4.918]",,"0.469 [0.455, 0.482]","0.680 [0.668, 0.691]","0.802 [0.794, 0.810]","0.941 [0.937, 0.946]"
