Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Obfuscation,LogReg,Llama-3.1,"0.060 [0.006, 0.159]","0.148 [0.070, 0.231]","0.065 [0.016, 0.135]","5.259 [4.638, 5.484]","0.216 [0.124, 0.313]","0.204 [0.113, 0.299]","0.904 [0.835, 0.966]","0.499 [0.390, 0.615]","0.140 [0.067, 0.224]"
EBG,Obfuscation,LogReg,Gemma-2,"0.066 [0.007, 0.173]","0.166 [0.085, 0.261]","0.068 [0.015, 0.133]","5.259 [4.638, 5.484]","0.165 [0.087, 0.256]","0.208 [0.114, 0.299]","0.906 [0.839, 0.967]","0.502 [0.390, 0.618]","0.140 [0.065, 0.220]"
EBG,Obfuscation,LogReg,Ministral,"0.056 [0.005, 0.163]","0.151 [0.075, 0.243]","0.054 [0.011, 0.115]","5.259 [4.638, 5.484]","0.215 [0.115, 0.327]","0.183 [0.100, 0.273]","0.902 [0.830, 0.963]","0.490 [0.378, 0.603]","0.134 [0.063, 0.213]"
EBG,Obfuscation,LogReg,Claude-3.5,"0.145 [0.070, 0.234]","0.379 [0.270, 0.491]","0.132 [0.063, 0.213]","5.259 [4.638, 5.484]","0.069 [0.019, 0.135]","0.227 [0.135, 0.322]","0.831 [0.747, 0.911]","0.638 [0.527, 0.741]","0.826 [0.734, 0.908]"
EBG,Obfuscation,LogReg,GPT-4o,"0.397 [0.280, 0.510]","0.576 [0.464, 0.690]","0.280 [0.185, 0.386]","5.259 [4.638, 5.484]","0.219 [0.123, 0.316]","0.472 [0.357, 0.584]","0.664 [0.557, 0.767]","0.776 [0.681, 0.871]","0.906 [0.837, 0.965]"
EBG,Obfuscation,SVM,Llama-3.1,"0.047 [0.002, 0.163]","0.119 [0.051, 0.192]","0.058 [0.013, 0.119]","5.259 [4.638, 5.484]","0.216 [0.124, 0.313]","0.204 [0.113, 0.299]","0.904 [0.835, 0.966]","0.499 [0.390, 0.615]","0.140 [0.067, 0.224]"
EBG,Obfuscation,SVM,Gemma-2,"0.056 [0.005, 0.163]","0.135 [0.058, 0.226]","0.061 [0.015, 0.123]","5.259 [4.638, 5.484]","0.165 [0.087, 0.256]","0.208 [0.114, 0.299]","0.906 [0.839, 0.967]","0.502 [0.390, 0.618]","0.140 [0.065, 0.220]"
EBG,Obfuscation,SVM,Ministral,"0.080 [0.022, 0.152]","0.144 [0.066, 0.228]","0.066 [0.017, 0.132]","5.259 [4.638, 5.484]","0.215 [0.115, 0.327]","0.183 [0.100, 0.273]","0.902 [0.830, 0.963]","0.490 [0.378, 0.603]","0.134 [0.063, 0.213]"
EBG,Obfuscation,SVM,Claude-3.5,"0.099 [0.033, 0.171]","0.290 [0.191, 0.396]","0.091 [0.036, 0.161]","5.259 [4.638, 5.484]","0.069 [0.019, 0.135]","0.227 [0.135, 0.322]","0.831 [0.747, 0.911]","0.638 [0.527, 0.741]","0.826 [0.734, 0.908]"
EBG,Obfuscation,SVM,GPT-4o,"0.344 [0.236, 0.456]","0.655 [0.549, 0.769]","0.155 [0.077, 0.241]","5.259 [4.638, 5.484]","0.219 [0.123, 0.316]","0.472 [0.357, 0.584]","0.664 [0.557, 0.767]","0.776 [0.681, 0.871]","0.906 [0.837, 0.965]"
EBG,Obfuscation,RoBERTa,Llama-3.1,"0.044 [0.001, 0.163]","0.100 [0.039, 0.173]","0.044 [0.006, 0.111]","5.259 [4.638, 5.484]","0.216 [0.124, 0.313]","0.204 [0.113, 0.299]","0.904 [0.835, 0.966]","0.499 [0.390, 0.615]","0.140 [0.067, 0.224]"
EBG,Obfuscation,RoBERTa,Gemma-2,"0.044 [0.001, 0.163]","0.099 [0.031, 0.179]","0.045 [0.006, 0.115]","5.259 [4.638, 5.484]","0.165 [0.087, 0.256]","0.208 [0.114, 0.299]","0.906 [0.839, 0.967]","0.502 [0.390, 0.618]","0.140 [0.065, 0.220]"
EBG,Obfuscation,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.141 [0.065, 0.219]","0.048 [0.007, 0.125]","5.259 [4.638, 5.484]","0.215 [0.115, 0.327]","0.183 [0.100, 0.273]","0.902 [0.830, 0.963]","0.490 [0.378, 0.603]","0.134 [0.063, 0.213]"
EBG,Obfuscation,RoBERTa,Claude-3.5,"0.453 [0.336, 0.566]","0.657 [0.544, 0.761]","0.427 [0.316, 0.540]","5.259 [4.638, 5.484]","0.069 [0.019, 0.135]","0.227 [0.135, 0.322]","0.831 [0.747, 0.911]","0.638 [0.527, 0.741]","0.826 [0.734, 0.908]"
EBG,Obfuscation,RoBERTa,GPT-4o,"0.529 [0.411, 0.645]","0.737 [0.633, 0.832]","0.507 [0.397, 0.616]","5.259 [4.638, 5.484]","0.219 [0.123, 0.316]","0.472 [0.357, 0.584]","0.664 [0.557, 0.767]","0.776 [0.681, 0.871]","0.906 [0.837, 0.965]"
