Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama-3.1,"-90.9% [-99.1%, -76.1%]","-82.9% [-91.9%, -73.3%]","-84.6% [-96.2%, -68.3%]","14.3% [-9.7%, 38.3%]","-78.4% [-87.6%, -68.7%]","-79.6% [-88.7%, -70.1%]","90.4% [83.5%, 96.6%]","-50.1% [-61.0%, -38.5%]","-86.0% [-93.3%, -77.6%]"
EBG,LogReg,Ministral,"-91.6% [-99.3%, -75.6%]","-82.5% [-91.3%, -71.9%]","-87.3% [-97.4%, -73.0%]","-12.3% [-36.5%, 11.1%]","-78.5% [-88.5%, -67.3%]","-81.7% [-90.0%, -72.7%]","90.2% [83.0%, 96.3%]","-51.0% [-62.2%, -39.7%]","-86.6% [-93.7%, -78.7%]"
EBG,LogReg,Gemma-2,"-90.1% [-98.9%, -74.0%]","-80.9% [-90.1%, -69.8%]","-84.0% [-96.4%, -68.8%]","6.1% [-16.4%, 30.4%]","-83.5% [-91.3%, -74.4%]","-79.2% [-88.6%, -70.1%]","90.6% [83.9%, 96.7%]","-49.8% [-61.0%, -38.2%]","-86.0% [-93.5%, -78.0%]"
EBG,LogReg,Claude-3.5,"-78.2% [-89.5%, -64.9%]","-56.2% [-68.9%, -43.3%]","-69.0% [-85.2%, -50.1%]","-19.3% [-43.0%, 4.4%]","-93.1% [-98.1%, -86.5%]","-77.3% [-86.5%, -67.8%]","83.1% [74.7%, 91.1%]","-36.2% [-47.3%, -25.9%]","-17.4% [-26.6%, -9.2%]"
EBG,LogReg,GPT-4o,"-40.5% [-58.0%, -23.5%]","-33.6% [-46.5%, -20.3%]","-34.3% [-56.7%, -9.5%]","1.0% [-22.6%, 26.0%]","-78.1% [-87.7%, -68.4%]","-52.8% [-64.3%, -41.6%]","66.4% [55.7%, 76.7%]","-22.4% [-31.9%, -12.9%]","-9.4% [-16.3%, -3.5%]"
EBG,SVM,Llama-3.1,"-93.6% [-99.7%, -77.8%]","-86.6% [-94.3%, -78.4%]","-76.9% [-95.0%, -52.9%]","0.8% [-12.3%, 11.9%]","-78.4% [-87.6%, -68.7%]","-79.6% [-88.7%, -70.1%]","90.4% [83.5%, 96.6%]","-50.1% [-61.0%, -38.5%]","-86.0% [-93.3%, -77.6%]"
EBG,SVM,Ministral,"-89.1% [-97.0%, -79.3%]","-83.8% [-92.6%, -74.3%]","-73.9% [-93.1%, -48.0%]","-5.8% [-19.0%, 7.0%]","-78.5% [-88.5%, -67.3%]","-81.7% [-90.0%, -72.7%]","90.2% [83.0%, 96.3%]","-51.0% [-62.2%, -39.7%]","-86.6% [-93.7%, -78.7%]"
EBG,SVM,Gemma-2,"-92.4% [-99.3%, -77.8%]","-84.8% [-93.4%, -74.6%]","-76.0% [-94.1%, -51.5%]","-0.7% [-12.7%, 11.3%]","-83.5% [-91.3%, -74.4%]","-79.2% [-88.6%, -70.1%]","90.6% [83.9%, 96.7%]","-49.8% [-61.0%, -38.2%]","-86.0% [-93.5%, -78.0%]"
EBG,SVM,Claude-3.5,"-86.5% [-95.5%, -76.7%]","-67.4% [-78.5%, -55.5%]","-63.9% [-85.8%, -36.3%]","-23.7% [-38.5%, -9.1%]","-93.1% [-98.1%, -86.5%]","-77.3% [-86.5%, -67.8%]","83.1% [74.7%, 91.1%]","-36.2% [-47.3%, -25.9%]","-17.4% [-26.6%, -9.2%]"
EBG,SVM,GPT-4o,"-53.1% [-67.8%, -37.8%]","-26.3% [-38.3%, -13.5%]","-38.7% [-69.6%, -4.8%]","1.0% [-11.2%, 12.1%]","-78.1% [-87.7%, -68.4%]","-52.8% [-64.3%, -41.6%]","66.4% [55.7%, 76.7%]","-22.4% [-31.9%, -12.9%]","-9.4% [-16.3%, -3.5%]"
EBG,RoBERTa,Llama-3.1,"-94.9% [-99.9%, -81.2%]","-89.3% [-95.8%, -81.5%]","-94.7% [-99.2%, -86.6%]","120.0% [37.2%, 200.3%]","-78.4% [-87.6%, -68.7%]","-79.6% [-88.7%, -70.1%]","90.4% [83.5%, 96.6%]","-50.1% [-61.0%, -38.5%]","-86.0% [-93.3%, -77.6%]"
EBG,RoBERTa,Ministral,"-94.9% [-99.9%, -81.2%]","-84.9% [-93.0%, -76.6%]","-94.2% [-99.1%, -84.9%]","128.4% [52.2%, 214.2%]","-78.5% [-88.5%, -67.3%]","-81.7% [-90.0%, -72.7%]","90.2% [83.0%, 96.3%]","-51.0% [-62.2%, -39.7%]","-86.6% [-93.7%, -78.7%]"
EBG,RoBERTa,Gemma-2,"-94.9% [-99.9%, -81.2%]","-89.4% [-96.7%, -80.8%]","-94.6% [-99.3%, -86.2%]","135.8% [52.8%, 215.0%]","-83.5% [-91.3%, -74.4%]","-79.2% [-88.6%, -70.1%]","90.6% [83.9%, 96.7%]","-49.8% [-61.0%, -38.2%]","-86.0% [-93.5%, -78.0%]"
EBG,RoBERTa,Claude-3.5,"-47.7% [-61.3%, -34.7%]","-29.6% [-41.8%, -18.5%]","-48.6% [-62.0%, -35.0%]","137.3% [52.8%, 222.0%]","-93.1% [-98.1%, -86.5%]","-77.3% [-86.5%, -67.8%]","83.1% [74.7%, 91.1%]","-36.2% [-47.3%, -25.9%]","-17.4% [-26.6%, -9.2%]"
EBG,RoBERTa,GPT-4o,"-39.0% [-52.6%, -25.5%]","-21.1% [-32.2%, -10.8%]","-38.9% [-52.2%, -25.8%]","138.1% [56.0%, 222.7%]","-78.1% [-87.7%, -68.4%]","-52.8% [-64.3%, -41.6%]","66.4% [55.7%, 76.7%]","-22.4% [-31.9%, -12.9%]","-9.4% [-16.3%, -3.5%]"
