Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Obfuscation,LogReg,Llama-3.1,0.022,0.116,0.026,3.027,0.188,0.176,0.942,0.499,0.104
EBG,Obfuscation,LogReg,Ministral,0.018,0.120,0.014,2.259,0.190,0.152,0.939,0.490,0.102
EBG,Obfuscation,LogReg,Gemma-2,0.031,0.133,0.028,2.791,0.134,0.179,0.944,0.502,0.106
EBG,Obfuscation,LogReg,Claude-3.5,0.111,0.369,0.098,2.068,0.029,0.200,0.863,0.651,0.857
EBG,Obfuscation,LogReg,GPT-4o,0.387,0.582,0.259,2.648,0.190,0.468,0.679,0.803,0.943
EBG,Obfuscation,SVM,Llama-3.1,0.004,0.084,0.019,4.448,0.188,0.176,0.942,0.499,0.104
EBG,Obfuscation,SVM,Ministral,0.040,0.111,0.026,4.142,0.190,0.152,0.939,0.490,0.102
EBG,Obfuscation,SVM,Gemma-2,0.018,0.102,0.020,4.379,0.134,0.179,0.944,0.502,0.106
EBG,Obfuscation,SVM,Claude-3.5,0.062,0.271,0.053,3.308,0.029,0.200,0.863,0.651,0.857
EBG,Obfuscation,SVM,GPT-4o,0.329,0.671,0.123,4.453,0.190,0.468,0.679,0.803,0.943
EBG,Obfuscation,RoBERTa,Llama-3.1,0.000,0.062,0.004,1.421,0.188,0.176,0.942,0.499,0.104
EBG,Obfuscation,RoBERTa,Ministral,0.000,0.107,0.005,1.492,0.190,0.152,0.939,0.490,0.102
EBG,Obfuscation,RoBERTa,Gemma-2,0.000,0.062,0.004,1.551,0.134,0.179,0.944,0.502,0.106
EBG,Obfuscation,RoBERTa,Claude-3.5,0.449,0.671,0.420,1.551,0.029,0.200,0.863,0.651,0.857
EBG,Obfuscation,RoBERTa,GPT-4o,0.533,0.760,0.508,1.562,0.190,0.468,0.679,0.803,0.943
