Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Llama 3.1,"-90.946 [-99.106, -76.139]%","-82.936 [-91.923, -73.328]%","-84.648 [-96.153, -68.317]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Ministral,"-91.646 [-99.277, -75.562]%","-82.538 [-91.321, -71.924]%","-87.345 [-97.378, -72.967]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Gemma 2,"-90.092 [-98.914, -74.003]%","-80.895 [-90.143, -69.834]%","-83.994 [-96.398, -68.805]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Sonnet 3.5,"-78.219 [-89.483, -64.947]%","-56.230 [-68.879, -43.304]%","-68.966 [-85.225, -50.067]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,GPT4o,"-40.512 [-58.015, -23.506]%","-33.550 [-46.495, -20.345]%","-34.275 [-56.730, -9.532]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Llama 3.1,"-93.617 [-99.750, -77.825]%","-86.603 [-94.252, -78.403]%","-76.866 [-94.966, -52.943]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Ministral,"-89.073 [-96.987, -79.260]%","-83.834 [-92.593, -74.329]%","-73.892 [-93.142, -47.965]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Gemma 2,"-92.405 [-99.343, -77.783]%","-84.795 [-93.421, -74.600]%","-75.977 [-94.118, -51.471]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Sonnet 3.5,"-86.538 [-95.508, -76.729]%","-67.380 [-78.491, -55.473]%","-63.949 [-85.768, -36.316]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,GPT4o,"-53.102 [-67.813, -37.829]%","-26.266 [-38.274, -13.459]%","-38.739 [-69.599, -4.824]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Llama 3.1,"-94.881 [-99.896, -81.214]%","-89.268 [-95.831, -81.504]%","-94.704 [-99.238, -86.601]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Ministral,"-94.881 [-99.896, -81.214]%","-84.940 [-93.035, -76.561]%","-94.185 [-99.136, -84.945]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Gemma 2,"-94.881 [-99.896, -81.214]%","-89.419 [-96.702, -80.844]%","-94.606 [-99.332, -86.153]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Sonnet 3.5,"-47.712 [-61.266, -34.737]%","-29.608 [-41.754, -18.493]%","-48.600 [-61.985, -35.023]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,GPT4o,"-38.999 [-52.615, -25.531]%","-21.068 [-32.171, -10.830]%","-38.949 [-52.177, -25.804]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
