Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,Obfuscation,LogReg,Llama-3.1,-76.667%,-53.333%,-70.054%,11.848%,-81.724%,-79.745%,93.029%,-45.702%,-48.707%
RJ,Obfuscation,LogReg,Ministral,-83.333%,-46.667%,-77.770%,-8.866%,-95.626%,-83.484%,92.563%,-45.959%,-46.898%
RJ,Obfuscation,LogReg,Claude-3.5,-86.667%,-50.000%,-84.836%,-8.497%,-98.018%,-84.629%,91.585%,-37.200%,-26.405%
RJ,Obfuscation,LogReg,Gemma-2,-96.667%,-70.000%,-95.588%,18.809%,-88.340%,-79.363%,93.236%,-46.055%,-48.262%
RJ,Obfuscation,LogReg,GPT-4o,-83.333%,-45.000%,-78.410%,-9.262%,-80.565%,-61.799%,74.143%,-21.448%,-12.561%
RJ,Obfuscation,SVM,Llama-3.1,-83.333%,-63.636%,-66.433%,14.825%,-81.724%,-79.745%,93.029%,-45.702%,-48.707%
RJ,Obfuscation,SVM,Ministral,-86.667%,-69.091%,-68.228%,15.617%,-95.626%,-83.484%,92.563%,-45.959%,-46.898%
RJ,Obfuscation,SVM,Claude-3.5,-83.333%,-49.091%,-59.214%,-14.434%,-98.018%,-84.629%,91.585%,-37.200%,-26.405%
RJ,Obfuscation,SVM,Gemma-2,-80.000%,-63.636%,-68.915%,14.820%,-88.340%,-79.363%,93.236%,-46.055%,-48.262%
RJ,Obfuscation,SVM,GPT-4o,-73.333%,-20.000%,-52.886%,13.070%,-80.565%,-61.799%,74.143%,-21.448%,-12.561%
RJ,Obfuscation,RoBERTa,Llama-3.1,-90.000%,-65.000%,-91.739%,43.480%,-81.724%,-79.745%,93.029%,-45.702%,-48.707%
RJ,Obfuscation,RoBERTa,Ministral,-100.000%,-55.000%,-89.755%,70.418%,-95.626%,-83.484%,92.563%,-45.959%,-46.898%
RJ,Obfuscation,RoBERTa,Claude-3.5,-30.000%,-53.333%,-40.632%,42.198%,-98.018%,-84.629%,91.585%,-37.200%,-26.405%
RJ,Obfuscation,RoBERTa,Gemma-2,-70.000%,-65.000%,-71.290%,-2.396%,-88.340%,-79.363%,93.236%,-46.055%,-48.262%
RJ,Obfuscation,RoBERTa,GPT-4o,-25.000%,-46.667%,-31.783%,33.277%,-80.565%,-61.799%,74.143%,-21.448%,-12.561%
