Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Llama-3.1,"-0.183 [-0.247, -0.105]","-0.286 [-0.387, -0.180]","-0.128 [-0.191, -0.049]","-0.170 [-0.317, -0.106]",,,,,
RJ,LogReg,Ministral,"-0.200 [-0.256, -0.133]","-0.251 [-0.355, -0.141]","-0.144 [-0.202, -0.073]","-0.204 [-0.370, -0.110]",,,,,
RJ,LogReg,Claude-3.5,"-0.213 [-0.279, -0.076]","-0.267 [-0.371, -0.160]","-0.164 [-0.216, -0.088]","-0.180 [-0.323, -0.109]",,,,,
RJ,LogReg,Gemma-2,"-0.236 [-0.284, -0.120]","-0.373 [-0.462, -0.268]","-0.184 [-0.227, -0.118]","-0.144 [-0.257, -0.103]",,,,,
RJ,LogReg,GPT-4o,"-0.206 [-0.280, -0.060]","-0.242 [-0.359, -0.113]","-0.147 [-0.211, -0.066]","-0.182 [-0.343, -0.105]",,,,,
RJ,SVM,Llama-3.1,"-0.206 [-0.275, -0.087]","-0.306 [-0.405, -0.207]","-0.050 [-0.103, 0.016]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Ministral,"-0.213 [-0.279, -0.076]","-0.334 [-0.427, -0.238]","-0.051 [-0.108, 0.018]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Claude-3.5,"-0.200 [-0.256, -0.133]","-0.239 [-0.340, -0.132]","-0.040 [-0.100, 0.028]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Gemma-2,"-0.197 [-0.273, -0.063]","-0.307 [-0.395, -0.207]","-0.051 [-0.108, 0.016]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,GPT-4o,"-0.175 [-0.244, -0.091]","-0.104 [-0.248, 0.028]","-0.033 [-0.093, 0.042]","-2.395 [-2.508, -2.354]",,,,,
RJ,RoBERTa,Llama-3.1,"-0.131 [-0.188, -0.000]","-0.346 [-0.439, -0.243]","-0.143 [-0.189, -0.081]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Ministral,"-0.146 [-0.190, -0.028]","-0.295 [-0.396, -0.183]","-0.137 [-0.183, -0.072]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Claude-3.5,"-0.026 [-0.109, 0.058]","-0.285 [-0.379, -0.172]","-0.048 [-0.123, 0.033]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Gemma-2,"-0.095 [-0.157, -0.023]","-0.346 [-0.447, -0.248]","-0.103 [-0.164, -0.027]","-0.242 [-0.396, -0.167]",,,,,
RJ,RoBERTa,GPT-4o,"-0.017 [-0.099, 0.075]","-0.249 [-0.357, -0.141]","-0.031 [-0.106, 0.057]","-0.206 [-0.319, -0.164]",,,,,
