Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,Obfuscation,LogReg,Gemma-2,"0.049 [0.002, 0.166]","0.198 [0.110, 0.304]","0.051 [0.007, 0.117]","4.206 [3.709, 4.386]","0.150 [0.070, 0.233]","0.230 [0.143, 0.332]","0.895 [0.817, 0.957]","0.535 [0.421, 0.648]","0.515 [0.407, 0.631]"
RJ,Obfuscation,LogReg,Llama-3.1,"0.103 [0.039, 0.180]","0.285 [0.184, 0.392]","0.106 [0.044, 0.186]","4.091 [3.450, 4.375]","0.211 [0.127, 0.309]","0.229 [0.139, 0.325]","0.893 [0.816, 0.955]","0.539 [0.431, 0.657]","0.510 [0.396, 0.621]"
RJ,Obfuscation,LogReg,Claude-3.5,"0.073 [0.007, 0.210]","0.305 [0.200, 0.412]","0.071 [0.019, 0.147]","4.051 [3.423, 4.361]","0.060 [0.014, 0.132]","0.183 [0.097, 0.270]","0.880 [0.805, 0.953]","0.617 [0.502, 0.719]","0.716 [0.612, 0.816]"
RJ,Obfuscation,LogReg,Ministral,"0.085 [0.030, 0.153]","0.320 [0.217, 0.431]","0.091 [0.033, 0.162]","3.945 [3.214, 4.357]","0.083 [0.028, 0.157]","0.194 [0.109, 0.285]","0.888 [0.808, 0.952]","0.537 [0.426, 0.649]","0.528 [0.417, 0.648]"
RJ,Obfuscation,LogReg,GPT-4o,"0.080 [0.006, 0.226]","0.329 [0.213, 0.458]","0.088 [0.023, 0.169]","4.041 [3.333, 4.380]","0.219 [0.121, 0.315]","0.393 [0.281, 0.507]","0.720 [0.622, 0.821]","0.762 [0.663, 0.858]","0.841 [0.757, 0.919]"
RJ,Obfuscation,SVM,Gemma-2,"0.089 [0.013, 0.223]","0.217 [0.129, 0.317]","0.081 [0.023, 0.148]","4.206 [3.709, 4.386]","0.150 [0.070, 0.233]","0.230 [0.143, 0.332]","0.895 [0.817, 0.957]","0.535 [0.421, 0.648]","0.515 [0.407, 0.631]"
RJ,Obfuscation,SVM,Llama-3.1,"0.080 [0.010, 0.198]","0.218 [0.119, 0.317]","0.082 [0.029, 0.147]","4.206 [3.709, 4.386]","0.211 [0.127, 0.309]","0.229 [0.139, 0.325]","0.893 [0.816, 0.955]","0.539 [0.431, 0.657]","0.510 [0.396, 0.621]"
RJ,Obfuscation,SVM,Claude-3.5,"0.085 [0.030, 0.153]","0.285 [0.184, 0.392]","0.092 [0.032, 0.160]","4.206 [3.709, 4.386]","0.060 [0.014, 0.132]","0.183 [0.097, 0.270]","0.880 [0.805, 0.953]","0.617 [0.502, 0.719]","0.716 [0.612, 0.816]"
RJ,Obfuscation,SVM,Ministral,"0.073 [0.007, 0.210]","0.190 [0.097, 0.286]","0.081 [0.024, 0.150]","4.206 [3.709, 4.386]","0.083 [0.028, 0.157]","0.194 [0.109, 0.285]","0.888 [0.808, 0.952]","0.537 [0.426, 0.649]","0.528 [0.417, 0.648]"
RJ,Obfuscation,SVM,GPT-4o,"0.111 [0.041, 0.195]","0.420 [0.276, 0.552]","0.099 [0.039, 0.174]","4.206 [3.709, 4.386]","0.219 [0.121, 0.315]","0.393 [0.281, 0.507]","0.720 [0.622, 0.821]","0.762 [0.663, 0.858]","0.841 [0.757, 0.919]"
RJ,Obfuscation,RoBERTa,Gemma-2,"0.095 [0.034, 0.167]","0.226 [0.124, 0.324]","0.095 [0.034, 0.171]","4.044 [3.368, 4.376]","0.150 [0.070, 0.233]","0.230 [0.143, 0.332]","0.895 [0.817, 0.957]","0.535 [0.421, 0.648]","0.515 [0.407, 0.631]"
RJ,Obfuscation,RoBERTa,Llama-3.1,"0.059 [0.002, 0.190]","0.226 [0.133, 0.328]","0.056 [0.009, 0.117]","4.206 [3.709, 4.386]","0.211 [0.127, 0.309]","0.229 [0.139, 0.325]","0.893 [0.816, 0.955]","0.539 [0.431, 0.657]","0.510 [0.396, 0.621]"
RJ,Obfuscation,RoBERTa,Claude-3.5,"0.164 [0.081, 0.249]","0.286 [0.193, 0.399]","0.150 [0.075, 0.232]","4.206 [3.709, 4.386]","0.060 [0.014, 0.132]","0.183 [0.097, 0.270]","0.880 [0.805, 0.953]","0.617 [0.502, 0.719]","0.716 [0.612, 0.816]"
RJ,Obfuscation,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.277 [0.175, 0.389]","0.061 [0.015, 0.126]","4.206 [3.709, 4.386]","0.083 [0.028, 0.157]","0.194 [0.109, 0.285]","0.888 [0.808, 0.952]","0.537 [0.426, 0.649]","0.528 [0.417, 0.648]"
RJ,Obfuscation,RoBERTa,GPT-4o,"0.174 [0.091, 0.265]","0.323 [0.215, 0.431]","0.167 [0.093, 0.255]","4.206 [3.709, 4.386]","0.219 [0.121, 0.315]","0.393 [0.281, 0.507]","0.720 [0.622, 0.821]","0.762 [0.663, 0.858]","0.841 [0.757, 0.919]"
