Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Llama-3.1,"-64.0% [-86.4%, -36.9%]","-50.1% [-67.8%, -31.4%]","-54.7% [-81.4%, -20.8%]","-15.5% [-28.7%, -9.6%]",,,,,
RJ,LogReg,Ministral,"-70.2% [-89.6%, -46.4%]","-43.9% [-62.1%, -24.6%]","-61.3% [-86.1%, -31.1%]","-18.5% [-33.6%, -10.0%]",,,,,
RJ,LogReg,Claude-3.5,"-74.6% [-97.5%, -26.5%]","-46.7% [-65.0%, -28.0%]","-69.7% [-92.0%, -37.6%]","-16.3% [-29.3%, -9.9%]",,,,,
RJ,LogReg,Gemma-2,"-82.8% [-99.3%, -42.0%]","-65.3% [-80.8%, -46.8%]","-78.5% [-96.9%, -50.2%]","-13.1% [-23.4%, -9.4%]",,,,,
RJ,LogReg,GPT-4o,"-72.0% [-97.9%, -21.0%]","-42.4% [-62.8%, -19.8%]","-62.6% [-90.0%, -28.1%]","-16.5% [-31.1%, -9.5%]",,,,,
RJ,SVM,Llama-3.1,"-72.1% [-96.3%, -30.6%]","-58.4% [-77.2%, -39.4%]","-38.2% [-78.1%, 11.8%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,Ministral,"-74.6% [-97.5%, -26.5%]","-63.7% [-81.5%, -45.4%]","-38.4% [-81.6%, 13.7%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,Claude-3.5,"-70.2% [-89.6%, -46.4%]","-45.6% [-64.8%, -25.2%]","-30.4% [-76.1%, 21.0%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,Gemma-2,"-68.9% [-95.5%, -22.0%]","-58.5% [-75.3%, -39.6%]","-38.8% [-82.2%, 12.4%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,SVM,GPT-4o,"-61.2% [-85.5%, -31.8%]","-19.9% [-47.4%, 5.3%]","-24.8% [-70.4%, 32.0%]","-71.4% [-74.8%, -70.2%]",,,,,
RJ,RoBERTa,Llama-3.1,"-69.0% [-98.7%, -0.2%]","-60.5% [-76.8%, -42.6%]","-71.9% [-95.4%, -41.1%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,Ministral,"-76.7% [-99.5%, -14.5%]","-51.6% [-69.3%, -32.0%]","-69.3% [-92.3%, -36.3%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,Claude-3.5,"-13.8% [-57.3%, 30.6%]","-49.9% [-66.2%, -30.2%]","-24.2% [-62.1%, 16.9%]","-17.7% [-27.4%, -14.1%]",,,,,
RJ,RoBERTa,Gemma-2,"-50.1% [-82.4%, -12.1%]","-60.5% [-78.3%, -43.3%]","-52.1% [-82.7%, -13.8%]","-20.8% [-34.1%, -14.3%]",,,,,
RJ,RoBERTa,GPT-4o,"-8.8% [-52.1%, 39.3%]","-43.5% [-62.4%, -24.6%]","-15.6% [-53.3%, 28.8%]","-17.7% [-27.4%, -14.1%]",,,,,
