Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation,LogReg,Gemma-2,-0.658,-0.778,-0.416,-0.188,-0.891,-0.831,0.939,-0.516,-0.854
EBG,Imitation,LogReg,Llama-3.1,-0.658,-0.760,-0.409,0.898,-0.869,-0.805,0.949,-0.506,-0.856
EBG,Imitation,LogReg,GPT-4o,-0.511,-0.502,-0.322,0.549,-0.886,-0.670,0.823,-0.320,-0.161
EBG,Imitation,LogReg,Claude-3.5,-0.569,-0.578,-0.349,-0.425,-0.950,-0.778,0.883,-0.414,-0.264
EBG,Imitation,LogReg,Ministral,-0.658,-0.751,-0.411,0.258,-0.729,-0.828,0.939,-0.512,-0.875
EBG,Imitation,SVM,Gemma-2,-0.711,-0.773,-0.230,-0.296,-0.891,-0.831,0.939,-0.516,-0.854
EBG,Imitation,SVM,Llama-3.1,-0.729,-0.796,-0.233,0.351,-0.869,-0.805,0.949,-0.506,-0.856
EBG,Imitation,SVM,GPT-4o,-0.631,-0.529,-0.194,0.277,-0.886,-0.670,0.823,-0.320,-0.161
EBG,Imitation,SVM,Claude-3.5,-0.667,-0.636,-0.211,-0.005,-0.950,-0.778,0.883,-0.414,-0.264
EBG,Imitation,SVM,Ministral,-0.716,-0.787,-0.232,0.052,-0.729,-0.828,0.939,-0.512,-0.875
EBG,Imitation,RoBERTa,Gemma-2,-0.853,-0.858,-0.819,1.317,-0.891,-0.831,0.939,-0.516,-0.854
EBG,Imitation,RoBERTa,Llama-3.1,-0.867,-0.876,-0.826,0.999,-0.869,-0.805,0.949,-0.506,-0.856
EBG,Imitation,RoBERTa,GPT-4o,-0.458,-0.271,-0.473,1.199,-0.886,-0.670,0.823,-0.320,-0.161
EBG,Imitation,RoBERTa,Claude-3.5,-0.609,-0.422,-0.629,1.978,-0.950,-0.778,0.883,-0.414,-0.264
EBG,Imitation,RoBERTa,Ministral,-0.867,-0.867,-0.824,0.938,-0.729,-0.828,0.939,-0.512,-0.875
