Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation,LogReg,Gemma-2,"0.049 [0.003, 0.168]","0.124 [0.051, 0.202]","0.052 [0.009, 0.120]","5.259 [4.638, 5.484]","0.143 [0.063, 0.232]","0.197 [0.113, 0.295]","0.902 [0.830, 0.961]","0.485 [0.375, 0.603]","0.176 [0.096, 0.268]"
EBG,Imitation,LogReg,Llama-3.1,"0.049 [0.003, 0.168]","0.139 [0.063, 0.219]","0.059 [0.013, 0.124]","5.259 [4.638, 5.484]","0.164 [0.078, 0.253]","0.222 [0.128, 0.314]","0.910 [0.842, 0.968]","0.495 [0.387, 0.614]","0.175 [0.092, 0.262]"
EBG,Imitation,LogReg,GPT-4o,"0.184 [0.099, 0.281]","0.375 [0.262, 0.490]","0.138 [0.064, 0.218]","5.259 [4.638, 5.484]","0.148 [0.072, 0.231]","0.345 [0.239, 0.449]","0.794 [0.701, 0.884]","0.664 [0.559, 0.770]","0.810 [0.719, 0.895]"
EBG,Imitation,LogReg,Claude-3.5,"0.130 [0.050, 0.216]","0.308 [0.204, 0.427]","0.113 [0.046, 0.198]","5.259 [4.638, 5.484]","0.089 [0.030, 0.157]","0.246 [0.148, 0.345]","0.850 [0.770, 0.926]","0.579 [0.466, 0.683]","0.716 [0.610, 0.817]"
EBG,Imitation,LogReg,Ministral,"0.049 [0.003, 0.168]","0.144 [0.057, 0.244]","0.056 [0.013, 0.122]","5.259 [4.638, 5.484]","0.290 [0.187, 0.407]","0.201 [0.116, 0.297]","0.902 [0.830, 0.963]","0.489 [0.381, 0.598]","0.158 [0.079, 0.241]"
EBG,Imitation,SVM,Gemma-2,"0.058 [0.004, 0.169]","0.148 [0.073, 0.236]","0.063 [0.014, 0.130]","5.259 [4.638, 5.484]","0.143 [0.063, 0.232]","0.197 [0.113, 0.295]","0.902 [0.830, 0.961]","0.485 [0.375, 0.603]","0.176 [0.096, 0.268]"
EBG,Imitation,SVM,Llama-3.1,"0.047 [0.002, 0.163]","0.128 [0.050, 0.207]","0.060 [0.015, 0.126]","5.259 [4.638, 5.484]","0.164 [0.078, 0.253]","0.222 [0.128, 0.314]","0.910 [0.842, 0.968]","0.495 [0.387, 0.614]","0.175 [0.092, 0.262]"
EBG,Imitation,SVM,GPT-4o,"0.135 [0.060, 0.219]","0.372 [0.259, 0.489]","0.097 [0.038, 0.171]","5.259 [4.638, 5.484]","0.148 [0.072, 0.231]","0.345 [0.239, 0.449]","0.794 [0.701, 0.884]","0.664 [0.559, 0.770]","0.810 [0.719, 0.895]"
EBG,Imitation,SVM,Claude-3.5,"0.102 [0.036, 0.181]","0.274 [0.168, 0.378]","0.080 [0.027, 0.145]","5.259 [4.638, 5.484]","0.089 [0.030, 0.157]","0.246 [0.148, 0.345]","0.850 [0.770, 0.926]","0.579 [0.466, 0.683]","0.716 [0.610, 0.817]"
EBG,Imitation,SVM,Ministral,"0.056 [0.006, 0.146]","0.135 [0.061, 0.223]","0.060 [0.016, 0.122]","5.259 [4.638, 5.484]","0.290 [0.187, 0.407]","0.201 [0.116, 0.297]","0.902 [0.830, 0.963]","0.489 [0.381, 0.598]","0.158 [0.079, 0.241]"
EBG,Imitation,RoBERTa,Gemma-2,"0.049 [0.003, 0.144]","0.112 [0.038, 0.188]","0.054 [0.010, 0.128]","5.259 [4.638, 5.484]","0.143 [0.063, 0.232]","0.197 [0.113, 0.295]","0.902 [0.830, 0.961]","0.485 [0.375, 0.603]","0.176 [0.096, 0.268]"
EBG,Imitation,RoBERTa,Llama-3.1,"0.044 [0.001, 0.163]","0.094 [0.029, 0.165]","0.045 [0.006, 0.113]","5.259 [4.638, 5.484]","0.164 [0.078, 0.253]","0.222 [0.128, 0.314]","0.910 [0.842, 0.968]","0.495 [0.387, 0.614]","0.175 [0.092, 0.262]"
EBG,Imitation,RoBERTa,GPT-4o,"0.416 [0.302, 0.532]","0.649 [0.534, 0.754]","0.371 [0.254, 0.476]","5.259 [4.638, 5.484]","0.148 [0.072, 0.231]","0.345 [0.239, 0.449]","0.794 [0.701, 0.884]","0.664 [0.559, 0.770]","0.810 [0.719, 0.895]"
EBG,Imitation,RoBERTa,Claude-3.5,"0.279 [0.176, 0.388]","0.510 [0.395, 0.624]","0.227 [0.134, 0.321]","5.259 [4.638, 5.484]","0.089 [0.030, 0.157]","0.246 [0.148, 0.345]","0.850 [0.770, 0.926]","0.579 [0.466, 0.683]","0.716 [0.610, 0.817]"
EBG,Imitation,RoBERTa,Ministral,"0.044 [0.001, 0.163]","0.104 [0.043, 0.179]","0.046 [0.008, 0.112]","5.259 [4.638, 5.484]","0.290 [0.187, 0.407]","0.201 [0.116, 0.297]","0.902 [0.830, 0.963]","0.489 [0.381, 0.598]","0.158 [0.079, 0.241]"
