Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Gemma-2,"0.126 [0.001, 0.492]","0.197 [0.004, 0.507]","0.150 [0.003, 0.468]","4.758 [4.659, 4.847]",,"0.171 [0.165, 0.176]","0.945 [0.937, 0.952]","0.485 [0.478, 0.491]","0.141 [0.119, 0.165]"
EBG,LogReg,Llama-3.1,"0.126 [0.001, 0.492]","0.230 [0.013, 0.542]","0.155 [0.002, 0.475]","4.968 [4.887, 5.046]",,"0.197 [0.191, 0.203]","0.952 [0.946, 0.958]","0.494 [0.487, 0.501]","0.146 [0.124, 0.168]"
EBG,LogReg,GPT-4o,"0.275 [0.029, 0.580]","0.369 [0.064, 0.676]","0.237 [0.017, 0.531]","5.021 [4.943, 5.095]",,"0.331 [0.323, 0.341]","0.825 [0.815, 0.835]","0.679 [0.671, 0.687]","0.838 [0.828, 0.849]"
EBG,LogReg,Claude-3.5,"0.275 [0.029, 0.580]","0.386 [0.090, 0.712]","0.240 [0.014, 0.541]","5.013 [4.932, 5.088]",,"0.224 [0.217, 0.231]","0.890 [0.880, 0.900]","0.586 [0.579, 0.593]","0.735 [0.721, 0.748]"
EBG,LogReg,Ministral,"0.126 [0.001, 0.492]","0.302 [0.042, 0.615]","0.163 [0.001, 0.504]","4.869 [4.775, 4.954]",,"0.174 [0.168, 0.180]","0.944 [0.937, 0.951]","0.488 [0.481, 0.496]","0.132 [0.108, 0.155]"
EBG,SVM,Gemma-2,"0.184 [0.005, 0.505]","0.275 [0.029, 0.580]","0.173 [0.003, 0.489]","4.758 [4.659, 4.847]",,"0.171 [0.165, 0.176]","0.945 [0.937, 0.952]","0.485 [0.478, 0.491]","0.141 [0.119, 0.165]"
EBG,SVM,Llama-3.1,"0.126 [0.001, 0.492]","0.197 [0.004, 0.507]","0.163 [0.004, 0.485]","4.968 [4.887, 5.046]",,"0.197 [0.191, 0.203]","0.952 [0.946, 0.958]","0.494 [0.487, 0.501]","0.146 [0.124, 0.168]"
EBG,SVM,GPT-4o,"0.246 [0.017, 0.538]","0.449 [0.140, 0.758]","0.195 [0.008, 0.502]","5.021 [4.943, 5.095]",,"0.331 [0.323, 0.341]","0.825 [0.815, 0.835]","0.679 [0.671, 0.687]","0.838 [0.828, 0.849]"
EBG,SVM,Claude-3.5,"0.217 [0.006, 0.525]","0.386 [0.090, 0.712]","0.184 [0.006, 0.491]","5.013 [4.932, 5.088]",,"0.224 [0.217, 0.231]","0.890 [0.880, 0.900]","0.586 [0.579, 0.593]","0.735 [0.721, 0.748]"
EBG,SVM,Ministral,"0.162 [0.001, 0.476]","0.261 [0.021, 0.564]","0.165 [0.004, 0.484]","4.869 [4.775, 4.954]",,"0.174 [0.168, 0.180]","0.944 [0.937, 0.951]","0.488 [0.481, 0.496]","0.132 [0.108, 0.155]"
EBG,RoBERTa,Gemma-2,"0.126 [0.001, 0.492]","0.197 [0.004, 0.507]","0.151 [0.002, 0.504]","4.758 [4.659, 4.847]",,"0.171 [0.165, 0.176]","0.945 [0.937, 0.952]","0.485 [0.478, 0.491]","0.141 [0.119, 0.165]"
EBG,RoBERTa,Llama-3.1,"0.126 [0.001, 0.492]","0.230 [0.013, 0.542]","0.150 [0.001, 0.477]","4.968 [4.887, 5.046]",,"0.197 [0.191, 0.203]","0.952 [0.946, 0.958]","0.494 [0.487, 0.501]","0.146 [0.124, 0.168]"
EBG,RoBERTa,GPT-4o,"0.479 [0.175, 0.800]","0.634 [0.309, 0.912]","0.430 [0.097, 0.729]","5.021 [4.943, 5.095]",,"0.331 [0.323, 0.341]","0.825 [0.815, 0.835]","0.679 [0.671, 0.687]","0.838 [0.828, 0.849]"
EBG,RoBERTa,Claude-3.5,"0.386 [0.090, 0.712]","0.526 [0.211, 0.848]","0.302 [0.037, 0.598]","5.013 [4.932, 5.088]",,"0.224 [0.217, 0.231]","0.890 [0.880, 0.900]","0.586 [0.579, 0.593]","0.735 [0.721, 0.748]"
EBG,RoBERTa,Ministral,"0.126 [0.001, 0.492]","0.197 [0.004, 0.507]","0.153 [0.001, 0.475]","4.869 [4.775, 4.954]",,"0.174 [0.168, 0.180]","0.944 [0.937, 0.951]","0.488 [0.481, 0.496]","0.132 [0.108, 0.155]"
