Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation,LogReg,Gemma-2,0.009,0.089,0.011,2.439,0.109,0.169,0.939,0.484,0.146
EBG,Imitation,LogReg,Llama-3.1,0.009,0.107,0.017,3.525,0.131,0.195,0.949,0.494,0.144
EBG,Imitation,LogReg,GPT-4o,0.156,0.364,0.104,3.176,0.114,0.330,0.823,0.680,0.839
EBG,Imitation,LogReg,Claude-3.5,0.098,0.289,0.077,2.202,0.050,0.222,0.883,0.586,0.736
EBG,Imitation,LogReg,Ministral,0.009,0.116,0.015,2.885,0.271,0.172,0.939,0.488,0.125
EBG,Imitation,SVM,Gemma-2,0.022,0.116,0.023,3.971,0.109,0.169,0.939,0.484,0.146
EBG,Imitation,SVM,Llama-3.1,0.004,0.093,0.020,4.618,0.131,0.195,0.949,0.494,0.144
EBG,Imitation,SVM,GPT-4o,0.102,0.360,0.059,4.544,0.114,0.330,0.823,0.680,0.839
EBG,Imitation,SVM,Claude-3.5,0.067,0.253,0.042,4.262,0.050,0.222,0.883,0.586,0.736
EBG,Imitation,SVM,Ministral,0.018,0.102,0.020,4.320,0.271,0.172,0.939,0.488,0.125
EBG,Imitation,RoBERTa,Gemma-2,0.013,0.076,0.011,2.017,0.109,0.169,0.939,0.484,0.146
EBG,Imitation,RoBERTa,Llama-3.1,0.000,0.058,0.005,1.700,0.131,0.195,0.949,0.494,0.144
EBG,Imitation,RoBERTa,GPT-4o,0.409,0.662,0.357,1.899,0.114,0.330,0.823,0.680,0.839
EBG,Imitation,RoBERTa,Claude-3.5,0.258,0.511,0.201,2.678,0.050,0.222,0.883,0.586,0.736
EBG,Imitation,RoBERTa,Ministral,0.000,0.067,0.007,1.638,0.271,0.172,0.939,0.488,0.125
