Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Gemma 2,"-92.719 [-99.560, -74.759]%","-85.727 [-94.059, -76.689]%","-87.769 [-97.823, -71.959]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Llama 3.1,"-92.719 [-99.560, -74.759]%","-83.941 [-92.685, -74.758]%","-86.238 [-96.848, -70.936]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,GPT4o,"-72.380 [-85.116, -57.829]%","-56.681 [-69.803, -43.455]%","-67.744 [-84.889, -48.932]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Sonnet 3.5,"-80.454 [-92.488, -67.551]%","-64.499 [-76.470, -50.767]%","-73.437 [-89.133, -53.464]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,LogReg,Ministral,"-92.719 [-99.560, -74.759]%","-83.378 [-93.398, -71.885]%","-86.984 [-96.864, -71.329]%","-63.550 [-67.852, -61.985]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Gemma 2,"-92.079 [-99.491, -77.003]%","-83.371 [-91.838, -73.413]%","-75.110 [-94.481, -48.739]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Llama 3.1,"-93.617 [-99.750, -77.825]%","-85.599 [-94.363, -76.710]%","-76.163 [-94.137, -50.348]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,GPT4o,"-81.584 [-91.776, -70.097]%","-58.108 [-70.858, -45.034]%","-61.817 [-85.127, -32.370]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Sonnet 3.5,"-86.130 [-95.054, -75.301]%","-69.208 [-81.149, -57.466]%","-68.322 [-89.351, -42.811]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,SVM,Ministral,"-92.336 [-99.131, -80.031]%","-84.768 [-93.186, -74.936]%","-76.360 [-93.768, -51.929]%","-77.561 [-80.209, -76.598]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Gemma 2,"-94.379 [-99.677, -83.348]%","-88.051 [-95.919, -79.890]%","-93.545 [-98.750, -84.541]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Llama 3.1,"-94.881 [-99.896, -81.214]%","-89.968 [-96.906, -82.345]%","-94.627 [-99.287, -86.391]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,GPT4o,"-51.997 [-65.187, -38.569]%","-30.465 [-42.819, -19.234]%","-55.380 [-69.370, -42.734]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Sonnet 3.5,"-67.760 [-79.722, -55.203]%","-45.316 [-57.713, -33.105]%","-72.628 [-83.837, -61.308]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
EBG,RoBERTa,Ministral,"-94.881 [-99.896, -81.214]%","-88.880 [-95.340, -80.802]%","-94.415 [-99.034, -86.462]%","36.714 [20.579, 42.582]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%","nan [nan, nan]%"
