Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation,LogReg,Gemma-2,-98.667%,-89.744%,-97.472%,-7.161%,-89.118%,-83.139%,93.908%,-51.565%,-85.388%
EBG,Imitation,LogReg,Llama-3.1,-98.667%,-87.692%,-95.917%,34.200%,-86.881%,-80.541%,94.870%,-50.626%,-85.608%
EBG,Imitation,LogReg,GPT-4o,-76.667%,-57.949%,-75.539%,20.903%,-88.623%,-66.974%,82.295%,-31.994%,-16.056%
EBG,Imitation,LogReg,Claude-3.5,-85.333%,-66.667%,-81.932%,-16.186%,-94.997%,-77.789%,88.307%,-41.361%,-26.392%
EBG,Imitation,LogReg,Ministral,-98.667%,-86.667%,-96.462%,9.838%,-72.878%,-82.809%,93.902%,-51.213%,-87.451%
EBG,Imitation,SVM,Gemma-2,-96.970%,-87.000%,-91.028%,-6.935%,-89.118%,-83.139%,93.908%,-51.565%,-85.388%
EBG,Imitation,SVM,Llama-3.1,-99.394%,-89.500%,-92.067%,8.224%,-86.881%,-80.541%,94.870%,-50.626%,-85.608%
EBG,Imitation,SVM,GPT-4o,-86.061%,-59.500%,-76.551%,6.491%,-88.623%,-66.974%,82.295%,-31.994%,-16.056%
EBG,Imitation,SVM,Claude-3.5,-90.909%,-71.500%,-83.301%,-0.122%,-94.997%,-77.789%,88.307%,-41.361%,-26.392%
EBG,Imitation,SVM,Ministral,-97.576%,-88.500%,-91.950%,1.226%,-72.878%,-82.809%,93.902%,-51.213%,-87.451%
EBG,Imitation,RoBERTa,Gemma-2,-98.462%,-91.905%,-98.638%,188.033%,-89.118%,-83.139%,93.908%,-51.565%,-85.388%
EBG,Imitation,RoBERTa,Llama-3.1,-100.000%,-93.810%,-99.432%,142.697%,-86.881%,-80.541%,94.870%,-50.626%,-85.608%
EBG,Imitation,RoBERTa,GPT-4o,-52.821%,-29.048%,-56.965%,171.123%,-88.623%,-66.974%,82.295%,-31.994%,-16.056%
EBG,Imitation,RoBERTa,Claude-3.5,-70.256%,-45.238%,-75.783%,282.395%,-94.997%,-77.789%,88.307%,-41.361%,-26.392%
EBG,Imitation,RoBERTa,Ministral,-100.000%,-92.857%,-99.200%,133.927%,-72.878%,-82.809%,93.902%,-51.213%,-87.451%
