Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Gemma-2,"-0.187 [-0.275, -0.027]","-0.276 [-0.393, -0.158]","-0.137 [-0.204, -0.054]","-0.144 [-0.257, -0.103]",,,,,
RJ,LogReg,Llama-3.1,"-0.183 [-0.247, -0.105]","-0.319 [-0.415, -0.208]","-0.143 [-0.203, -0.074]","-0.144 [-0.257, -0.103]",,,,,
RJ,LogReg,GPT-4o,"-0.152 [-0.230, -0.059]","-0.244 [-0.361, -0.123]","-0.115 [-0.187, -0.027]","-0.144 [-0.257, -0.103]",,,,,
RJ,LogReg,Claude-3.5,"-0.183 [-0.270, -0.043]","-0.285 [-0.392, -0.165]","-0.125 [-0.190, -0.041]","-0.187 [-0.347, -0.107]",,,,,
RJ,LogReg,Ministral,"-0.213 [-0.279, -0.076]","-0.302 [-0.406, -0.195]","-0.163 [-0.216, -0.089]","-0.144 [-0.257, -0.103]",,,,,
RJ,SVM,Gemma-2,"-0.190 [-0.274, -0.053]","-0.203 [-0.310, -0.092]","-0.041 [-0.100, 0.033]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Llama-3.1,"-0.197 [-0.273, -0.063]","-0.246 [-0.346, -0.144]","-0.042 [-0.098, 0.027]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,GPT-4o,"-0.206 [-0.280, -0.060]","-0.228 [-0.332, -0.121]","-0.044 [-0.103, 0.028]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Claude-3.5,"-0.214 [-0.277, -0.105]","-0.288 [-0.388, -0.179]","-0.050 [-0.105, 0.021]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Ministral,"-0.213 [-0.279, -0.076]","-0.238 [-0.352, -0.127]","-0.047 [-0.105, 0.021]","-2.395 [-2.508, -2.354]",,,,,
RJ,RoBERTa,Gemma-2,"-0.126 [-0.185, -0.000]","-0.319 [-0.415, -0.208]","-0.131 [-0.181, -0.062]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Llama-3.1,"-0.111 [-0.180, 0.008]","-0.330 [-0.432, -0.223]","-0.121 [-0.174, -0.055]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,GPT-4o,"-0.071 [-0.139, 0.011]","-0.304 [-0.405, -0.200]","-0.085 [-0.150, -0.008]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Claude-3.5,"-0.095 [-0.157, -0.023]","-0.275 [-0.376, -0.168]","-0.108 [-0.169, -0.042]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Ministral,"-0.141 [-0.188, -0.025]","-0.328 [-0.426, -0.229]","-0.137 [-0.185, -0.067]","-0.206 [-0.319, -0.164]",,,,,
