Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,Imitation,LogReg,Gemma-2,"0.099 [0.010, 0.259]","0.295 [0.178, 0.414]","0.098 [0.031, 0.180]","0.958 [0.845, 0.999]","0.078 [0.025, 0.145]","0.220 [0.126, 0.316]","0.887 [0.812, 0.955]","0.519 [0.402, 0.626]","0.484 [0.372, 0.607]"
RJ,Imitation,LogReg,Llama-3.1,"0.103 [0.039, 0.180]","0.252 [0.157, 0.364]","0.092 [0.032, 0.161]","0.958 [0.845, 0.999]","0.163 [0.081, 0.250]","0.244 [0.155, 0.350]","0.898 [0.827, 0.959]","0.517 [0.400, 0.629]","0.488 [0.375, 0.610]"
RJ,Imitation,LogReg,GPT-4o,"0.134 [0.056, 0.227]","0.328 [0.210, 0.448]","0.120 [0.048, 0.208]","0.958 [0.845, 0.999]","0.169 [0.085, 0.258]","0.328 [0.221, 0.439]","0.807 [0.719, 0.894]","0.668 [0.563, 0.774]","0.698 [0.593, 0.801]"
RJ,Imitation,LogReg,Claude-3.5,"0.103 [0.015, 0.242]","0.287 [0.179, 0.406]","0.110 [0.045, 0.193]","0.915 [0.755, 0.995]","0.108 [0.046, 0.187]","0.258 [0.164, 0.359]","0.849 [0.764, 0.924]","0.598 [0.486, 0.711]","0.646 [0.534, 0.754]"
RJ,Imitation,LogReg,Ministral,"0.073 [0.007, 0.210]","0.269 [0.166, 0.377]","0.072 [0.019, 0.146]","0.958 [0.845, 0.999]","0.112 [0.038, 0.197]","0.219 [0.128, 0.311]","0.888 [0.813, 0.952]","0.524 [0.408, 0.639]","0.500 [0.389, 0.617]"
RJ,Imitation,SVM,Gemma-2,"0.096 [0.012, 0.233]","0.321 [0.214, 0.432]","0.091 [0.032, 0.165]","0.958 [0.845, 0.999]","0.078 [0.025, 0.145]","0.220 [0.126, 0.316]","0.887 [0.812, 0.955]","0.519 [0.402, 0.626]","0.484 [0.372, 0.607]"
RJ,Imitation,SVM,Llama-3.1,"0.089 [0.013, 0.223]","0.278 [0.177, 0.380]","0.090 [0.034, 0.159]","0.958 [0.845, 0.999]","0.163 [0.081, 0.250]","0.244 [0.155, 0.350]","0.898 [0.827, 0.959]","0.517 [0.400, 0.629]","0.488 [0.375, 0.610]"
RJ,Imitation,SVM,GPT-4o,"0.080 [0.006, 0.226]","0.295 [0.192, 0.403]","0.088 [0.029, 0.160]","0.958 [0.845, 0.999]","0.169 [0.085, 0.258]","0.328 [0.221, 0.439]","0.807 [0.719, 0.894]","0.668 [0.563, 0.774]","0.698 [0.593, 0.801]"
RJ,Imitation,SVM,Claude-3.5,"0.072 [0.009, 0.181]","0.235 [0.136, 0.345]","0.082 [0.027, 0.153]","0.958 [0.845, 0.999]","0.108 [0.046, 0.187]","0.258 [0.164, 0.359]","0.849 [0.764, 0.924]","0.598 [0.486, 0.711]","0.646 [0.534, 0.754]"
RJ,Imitation,SVM,Ministral,"0.073 [0.007, 0.210]","0.286 [0.172, 0.397]","0.085 [0.027, 0.153]","0.958 [0.845, 0.999]","0.112 [0.038, 0.197]","0.219 [0.128, 0.311]","0.888 [0.813, 0.952]","0.524 [0.408, 0.639]","0.500 [0.389, 0.617]"
RJ,Imitation,RoBERTa,Gemma-2,"0.065 [0.006, 0.190]","0.252 [0.157, 0.364]","0.068 [0.017, 0.136]","0.958 [0.845, 0.999]","0.078 [0.025, 0.145]","0.220 [0.126, 0.316]","0.887 [0.812, 0.955]","0.519 [0.402, 0.626]","0.484 [0.372, 0.607]"
RJ,Imitation,RoBERTa,Llama-3.1,"0.080 [0.010, 0.198]","0.242 [0.140, 0.348]","0.078 [0.024, 0.144]","0.958 [0.845, 0.999]","0.163 [0.081, 0.250]","0.244 [0.155, 0.350]","0.898 [0.827, 0.959]","0.517 [0.400, 0.629]","0.488 [0.375, 0.610]"
RJ,Imitation,RoBERTa,GPT-4o,"0.120 [0.052, 0.201]","0.268 [0.166, 0.372]","0.114 [0.048, 0.190]","0.958 [0.845, 0.999]","0.169 [0.085, 0.258]","0.328 [0.221, 0.439]","0.807 [0.719, 0.894]","0.668 [0.563, 0.774]","0.698 [0.593, 0.801]"
RJ,Imitation,RoBERTa,Claude-3.5,"0.095 [0.034, 0.167]","0.296 [0.196, 0.404]","0.090 [0.030, 0.156]","0.958 [0.845, 0.999]","0.108 [0.046, 0.187]","0.258 [0.164, 0.359]","0.849 [0.764, 0.924]","0.598 [0.486, 0.711]","0.646 [0.534, 0.754]"
RJ,Imitation,RoBERTa,Ministral,"0.049 [0.002, 0.166]","0.243 [0.145, 0.343]","0.061 [0.013, 0.131]","0.958 [0.845, 0.999]","0.112 [0.038, 0.197]","0.219 [0.128, 0.311]","0.888 [0.813, 0.952]","0.524 [0.408, 0.639]","0.500 [0.389, 0.617]"
