Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,GPT-4o,"-53.0% [-80.4%, -20.7%]","-42.6% [-63.2%, -21.6%]","-48.8% [-79.6%, -11.3%]","86.9% [39.8%, 133.9%]","-83.1% [-91.5%, -74.2%]","-67.2% [-77.9%, -56.1%]","80.7% [71.9%, 89.4%]","-33.2% [-43.7%, -22.6%]","-30.2% [-40.7%, -19.9%]"
RJ,LogReg,Gemma-2,"-65.4% [-96.4%, -9.5%]","-48.4% [-68.8%, -27.6%]","-58.4% [-86.9%, -23.1%]","27.9% [-12.7%, 74.4%]","-92.2% [-97.5%, -85.5%]","-78.0% [-87.4%, -68.4%]","88.7% [81.2%, 95.5%]","-48.1% [-59.8%, -37.4%]","-51.6% [-62.8%, -39.3%]"
RJ,LogReg,Llama-3.1,"-64.0% [-86.4%, -36.9%]","-55.9% [-72.5%, -36.4%]","-60.7% [-86.3%, -31.4%]","103.9% [57.2%, 152.8%]","-83.7% [-91.9%, -75.0%]","-75.6% [-84.5%, -65.0%]","89.8% [82.7%, 95.9%]","-48.3% [-60.0%, -37.1%]","-51.2% [-62.5%, -39.0%]"
RJ,LogReg,Ministral,"-74.6% [-97.5%, -26.5%]","-52.8% [-71.0%, -34.1%]","-69.3% [-91.8%, -37.9%]","74.6% [28.9%, 117.7%]","-88.8% [-96.2%, -80.3%]","-78.1% [-87.2%, -68.9%]","88.8% [81.3%, 95.2%]","-47.6% [-59.2%, -36.1%]","-50.0% [-61.1%, -38.3%]"
RJ,LogReg,Claude-3.5,"-64.0% [-94.7%, -15.2%]","-49.8% [-68.6%, -28.9%]","-53.0% [-81.0%, -17.6%]","10.9% [-33.2%, 53.5%]","-89.2% [-95.4%, -81.3%]","-74.2% [-83.6%, -64.1%]","84.9% [76.4%, 92.4%]","-40.2% [-51.4%, -28.9%]","-35.4% [-46.6%, -24.6%]"
RJ,SVM,GPT-4o,"-72.0% [-97.9%, -21.0%]","-43.6% [-63.4%, -23.0%]","-33.7% [-78.1%, 21.1%]","6.4% [-5.6%, 17.1%]","-83.1% [-91.5%, -74.2%]","-67.2% [-77.9%, -56.1%]","80.7% [71.9%, 89.4%]","-33.2% [-43.7%, -22.6%]","-30.2% [-40.7%, -19.9%]"
RJ,SVM,Gemma-2,"-66.4% [-95.8%, -18.5%]","-38.7% [-59.1%, -17.5%]","-31.4% [-75.6%, 25.1%]","-2.8% [-16.8%, 9.6%]","-92.2% [-97.5%, -85.5%]","-78.0% [-87.4%, -68.4%]","88.7% [81.2%, 95.5%]","-48.1% [-59.8%, -37.4%]","-51.6% [-62.8%, -39.3%]"
RJ,SVM,Llama-3.1,"-68.9% [-95.5%, -22.0%]","-46.9% [-66.1%, -27.4%]","-31.6% [-74.5%, 20.2%]","3.6% [-9.5%, 15.3%]","-83.7% [-91.9%, -75.0%]","-75.6% [-84.5%, -65.0%]","89.8% [82.7%, 95.9%]","-48.3% [-60.0%, -37.1%]","-51.2% [-62.5%, -39.0%]"
RJ,SVM,Ministral,"-74.6% [-97.5%, -26.5%]","-45.4% [-67.2%, -24.2%]","-35.5% [-79.7%, 16.1%]","4.9% [-8.5%, 16.0%]","-88.8% [-96.2%, -80.3%]","-78.1% [-87.2%, -68.9%]","88.8% [81.3%, 95.2%]","-47.6% [-59.2%, -36.1%]","-50.0% [-61.1%, -38.3%]"
RJ,SVM,Claude-3.5,"-74.9% [-97.0%, -36.6%]","-55.1% [-74.1%, -34.2%]","-37.8% [-79.3%, 16.0%]","-8.2% [-22.3%, 5.3%]","-89.2% [-95.4%, -81.3%]","-74.2% [-83.6%, -64.1%]","84.9% [76.4%, 92.4%]","-40.2% [-51.4%, -28.9%]","-35.4% [-46.6%, -24.6%]"
RJ,RoBERTa,GPT-4o,"-37.0% [-72.9%, 5.7%]","-53.1% [-70.9%, -34.9%]","-42.7% [-75.6%, -4.2%]","60.4% [17.3%, 102.2%]","-83.1% [-91.5%, -74.2%]","-67.2% [-77.9%, -56.1%]","80.7% [71.9%, 89.4%]","-33.2% [-43.7%, -22.6%]","-30.2% [-40.7%, -19.9%]"
RJ,RoBERTa,Gemma-2,"-66.0% [-97.1%, -0.2%]","-55.9% [-72.5%, -36.4%]","-65.9% [-91.3%, -31.2%]","42.7% [0.8%, 86.6%]","-92.2% [-97.5%, -85.5%]","-78.0% [-87.4%, -68.4%]","88.7% [81.2%, 95.5%]","-48.1% [-59.8%, -37.4%]","-51.6% [-62.8%, -39.3%]"
RJ,RoBERTa,Llama-3.1,"-58.1% [-94.5%, 4.1%]","-57.7% [-75.6%, -39.1%]","-60.8% [-87.9%, -27.5%]","58.6% [19.5%, 102.6%]","-83.7% [-91.9%, -75.0%]","-75.6% [-84.5%, -65.0%]","89.8% [82.7%, 95.9%]","-48.3% [-60.0%, -37.1%]","-51.2% [-62.5%, -39.0%]"
RJ,RoBERTa,Ministral,"-74.2% [-98.9%, -12.9%]","-57.4% [-74.6%, -40.0%]","-69.1% [-93.4%, -34.0%]","52.9% [10.3%, 97.1%]","-88.8% [-96.2%, -80.3%]","-78.1% [-87.2%, -68.9%]","88.8% [81.3%, 95.2%]","-47.6% [-59.2%, -36.1%]","-50.0% [-61.1%, -38.3%]"
RJ,RoBERTa,Claude-3.5,"-50.1% [-82.4%, -12.1%]","-48.1% [-65.8%, -29.3%]","-54.6% [-85.0%, -21.3%]","29.8% [-10.4%, 71.7%]","-89.2% [-95.4%, -81.3%]","-74.2% [-83.6%, -64.1%]","84.9% [76.4%, 92.4%]","-40.2% [-51.4%, -28.9%]","-35.4% [-46.6%, -24.6%]"
