Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation W Exemplar,LogReg,Gemma-2,-0.644,-0.773,-0.405,-0.084,-0.937,-0.831,0.940,-0.515,-0.839
EBG,Imitation W Exemplar,LogReg,GPT-4o,-0.533,-0.502,-0.322,0.482,-0.906,-0.678,0.826,-0.328,-0.171
EBG,Imitation W Exemplar,LogReg,Claude-3.5,-0.609,-0.662,-0.371,-0.922,-0.957,-0.785,0.888,-0.423,-0.302
EBG,Imitation W Exemplar,LogReg,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,LogReg,Llama-3.1,-0.653,-0.778,-0.409,0.791,-0.828,-0.805,0.946,-0.505,-0.861
EBG,Imitation W Exemplar,SVM,Gemma-2,-0.698,-0.751,-0.226,-0.182,-0.937,-0.831,0.940,-0.515,-0.839
EBG,Imitation W Exemplar,SVM,GPT-4o,-0.640,-0.516,-0.191,0.178,-0.906,-0.678,0.826,-0.328,-0.171
EBG,Imitation W Exemplar,SVM,Claude-3.5,-0.693,-0.676,-0.215,-0.361,-0.957,-0.785,0.888,-0.423,-0.302
EBG,Imitation W Exemplar,SVM,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,SVM,Llama-3.1,-0.724,-0.760,-0.232,0.339,-0.828,-0.805,0.946,-0.505,-0.861
EBG,Imitation W Exemplar,RoBERTa,Gemma-2,-0.862,-0.813,-0.823,1.082,-0.937,-0.831,0.940,-0.515,-0.839
EBG,Imitation W Exemplar,RoBERTa,GPT-4o,-0.476,-0.236,-0.481,1.292,-0.906,-0.678,0.826,-0.328,-0.171
EBG,Imitation W Exemplar,RoBERTa,Claude-3.5,-0.716,-0.529,-0.698,1.366,-0.957,-0.785,0.888,-0.423,-0.302
EBG,Imitation W Exemplar,RoBERTa,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,RoBERTa,Llama-3.1,-0.867,-0.884,-0.826,1.008,-0.828,-0.805,0.946,-0.505,-0.861
