Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,LogReg,Gemma-2,"-91.3% [-99.4%, -74.7%]","-85.0% [-92.8%, -75.1%]","-85.9% [-97.0%, -70.3%]","-2.6% [-25.6%, 21.2%]","-90.0% [-96.3%, -83.1%]","-80.2% [-89.0%, -70.7%]","90.3% [82.9%, 96.0%]","-51.3% [-63.0%, -39.7%]","-80.8% [-89.4%, -71.5%]"
EBG,LogReg,GPT-4o,"-75.5% [-87.6%, -60.6%]","-56.7% [-70.2%, -43.0%]","-67.6% [-84.2%, -48.6%]","17.2% [-6.0%, 42.0%]","-87.0% [-94.0%, -78.8%]","-66.3% [-77.1%, -55.7%]","79.7% [69.7%, 88.5%]","-34.3% [-45.5%, -24.1%]","-19.9% [-29.3%, -11.5%]"
EBG,LogReg,Claude-3.5,"-86.0% [-95.7%, -75.3%]","-73.4% [-84.3%, -62.0%]","-78.6% [-92.9%, -61.7%]","-31.7% [-54.1%, -9.7%]","-91.9% [-97.3%, -84.9%]","-76.1% [-85.2%, -66.3%]","85.5% [77.4%, 92.9%]","-43.1% [-54.3%, -32.0%]","-32.0% [-43.4%, -21.8%]"
EBG,LogReg,Llama-3.1,"-92.7% [-99.6%, -78.4%]","-85.8% [-93.3%, -76.3%]","-86.5% [-97.0%, -71.2%]","27.8% [4.8%, 51.7%]","-79.9% [-89.2%, -71.1%]","-77.9% [-86.9%, -68.7%]","90.6% [83.3%, 96.7%]","-50.6% [-62.1%, -39.4%]","-82.8% [-91.0%, -74.1%]"
EBG,SVM,Gemma-2,"-89.9% [-97.1%, -80.3%]","-81.0% [-90.1%, -70.4%]","-73.7% [-93.0%, -47.3%]","-6.9% [-20.4%, 5.0%]","-90.0% [-96.3%, -83.1%]","-80.2% [-89.0%, -70.7%]","90.3% [82.9%, 96.0%]","-51.3% [-63.0%, -39.7%]","-80.8% [-89.4%, -71.5%]"
EBG,SVM,GPT-4o,"-82.6% [-92.6%, -71.9%]","-56.8% [-69.2%, -44.1%]","-61.2% [-85.8%, -32.9%]","0.6% [-11.5%, 12.5%]","-87.0% [-94.0%, -78.8%]","-66.3% [-77.1%, -55.7%]","79.7% [69.7%, 88.5%]","-34.3% [-45.5%, -24.1%]","-19.9% [-29.3%, -11.5%]"
EBG,SVM,Claude-3.5,"-89.1% [-97.0%, -79.3%]","-73.4% [-84.2%, -62.4%]","-69.3% [-90.3%, -42.6%]","-10.8% [-25.5%, 1.7%]","-91.9% [-97.3%, -84.9%]","-76.1% [-85.2%, -66.3%]","85.5% [77.4%, 92.9%]","-43.1% [-54.3%, -32.0%]","-32.0% [-43.4%, -21.8%]"
EBG,SVM,Llama-3.1,"-93.4% [-99.6%, -77.1%]","-81.8% [-90.8%, -72.1%]","-76.6% [-94.3%, -53.4%]","4.0% [-8.4%, 14.5%]","-79.9% [-89.2%, -71.1%]","-77.9% [-86.9%, -68.7%]","90.6% [83.3%, 96.7%]","-50.6% [-62.1%, -39.4%]","-82.8% [-91.0%, -74.1%]"
EBG,RoBERTa,Gemma-2,"-94.6% [-99.8%, -81.2%]","-83.8% [-92.1%, -74.0%]","-94.1% [-99.1%, -85.0%]","167.3% [81.1%, 253.4%]","-90.0% [-96.3%, -83.1%]","-80.2% [-89.0%, -70.7%]","90.3% [82.9%, 96.0%]","-51.3% [-63.0%, -39.7%]","-80.8% [-89.4%, -71.5%]"
EBG,RoBERTa,GPT-4o,"-53.8% [-66.3%, -40.5%]","-27.0% [-39.4%, -16.2%]","-56.3% [-69.4%, -42.6%]","193.9% [102.0%, 278.5%]","-87.0% [-94.0%, -78.8%]","-66.3% [-77.1%, -55.7%]","79.7% [69.7%, 88.5%]","-34.3% [-45.5%, -24.1%]","-19.9% [-29.3%, -11.5%]"
EBG,RoBERTa,Claude-3.5,"-79.1% [-88.6%, -68.1%]","-55.9% [-67.8%, -43.0%]","-80.0% [-89.7%, -69.3%]","202.7% [113.8%, 284.8%]","-91.9% [-97.3%, -84.9%]","-76.1% [-85.2%, -66.3%]","85.5% [77.4%, 92.9%]","-43.1% [-54.3%, -32.0%]","-32.0% [-43.4%, -21.8%]"
EBG,RoBERTa,Llama-3.1,"-94.9% [-99.9%, -81.2%]","-90.6% [-97.0%, -82.1%]","-94.5% [-99.3%, -86.0%]","157.0% [76.0%, 243.4%]","-79.9% [-89.2%, -71.1%]","-77.9% [-86.9%, -68.7%]","90.6% [83.3%, 96.7%]","-50.6% [-62.1%, -39.4%]","-82.8% [-91.0%, -74.1%]"
