Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,Imitation W Exemplar,LogReg,Gemma-2,0.022,0.093,0.022,2.543,0.063,0.169,0.940,0.485,0.161
EBG,Imitation W Exemplar,LogReg,GPT-4o,0.133,0.364,0.104,3.109,0.094,0.322,0.826,0.672,0.829
EBG,Imitation W Exemplar,LogReg,Claude-3.5,0.058,0.204,0.056,1.705,0.043,0.215,0.888,0.577,0.698
EBG,Imitation W Exemplar,LogReg,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,LogReg,Llama-3.1,0.013,0.089,0.017,3.418,0.172,0.195,0.946,0.495,0.139
EBG,Imitation W Exemplar,SVM,Gemma-2,0.036,0.138,0.026,4.085,0.063,0.169,0.940,0.485,0.161
EBG,Imitation W Exemplar,SVM,GPT-4o,0.093,0.373,0.062,4.446,0.094,0.322,0.826,0.672,0.829
EBG,Imitation W Exemplar,SVM,Claude-3.5,0.040,0.213,0.038,3.907,0.043,0.215,0.888,0.577,0.698
EBG,Imitation W Exemplar,SVM,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,SVM,Llama-3.1,0.009,0.129,0.021,4.606,0.172,0.195,0.946,0.495,0.139
EBG,Imitation W Exemplar,RoBERTa,Gemma-2,0.004,0.120,0.007,1.783,0.063,0.169,0.940,0.485,0.161
EBG,Imitation W Exemplar,RoBERTa,GPT-4o,0.391,0.698,0.350,1.992,0.094,0.322,0.826,0.672,0.829
EBG,Imitation W Exemplar,RoBERTa,Claude-3.5,0.151,0.404,0.133,2.067,0.043,0.215,0.888,0.577,0.698
EBG,Imitation W Exemplar,RoBERTa,Ministral,-,-,-,-,-,-,-,-,-
EBG,Imitation W Exemplar,RoBERTa,Llama-3.1,0.000,0.049,0.005,1.709,0.172,0.195,0.946,0.495,0.139
