Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w exemplar,logreg,Gemma-2,"0.032 ± 0.031 [0.003, 0.080]","0.118 ± 0.038 [0.056, 0.184]","0.047 ± 0.025 [0.012, 0.091]","2.224 ± 0.100 [2.036, 2.406]","0.937 ± 0.002 [0.934, 0.940]","0.485 ± 0.003 [0.478, 0.492]","0.171 ± 0.003 [0.166, 0.176]"
EBG,imitation w exemplar,logreg,GPT-4o,"0.151 ± 0.044 [0.072, 0.229]","0.374 ± 0.060 [0.267, 0.489]","0.127 ± 0.038 [0.061, 0.200]","3.006 ± 0.074 [2.864, 3.144]","0.824 ± 0.004 [0.817, 0.832]","0.671 ± 0.004 [0.663, 0.679]","0.323 ± 0.005 [0.315, 0.333]"
EBG,imitation w exemplar,logreg,Ministral,"0.289 ± 0.054 [0.188, 0.393]","0.532 ± 0.060 [0.416, 0.643]","0.212 ± 0.048 [0.126, 0.302]","2.820 ± 0.083 [2.665, 2.981]","0.697 ± 0.008 [0.681, 0.712]","0.714 ± 0.006 [0.702, 0.725]","0.389 ± 0.008 [0.372, 0.404]"
EBG,imitation w exemplar,logreg,Claude-3.5,"0.081 ± 0.033 [0.026, 0.136]","0.222 ± 0.046 [0.134, 0.308]","0.079 ± 0.032 [0.027, 0.135]","1.535 ± 0.089 [1.373, 1.703]","0.886 ± 0.002 [0.881, 0.890]","0.576 ± 0.004 [0.569, 0.583]","0.217 ± 0.003 [0.211, 0.223]"
EBG,imitation w exemplar,logreg,Llama-3.1,"0.026 ± 0.023 [0.003, 0.061]","0.112 ± 0.036 [0.050, 0.181]","0.045 ± 0.024 [0.013, 0.087]","3.224 ± 0.079 [3.078, 3.374]","0.943 ± 0.002 [0.940, 0.946]","0.495 ± 0.004 [0.489, 0.502]","0.197 ± 0.003 [0.191, 0.203]"
EBG,imitation w exemplar,svm,Gemma-2,"0.060 ± 0.027 [0.017, 0.107]","0.158 ± 0.042 [0.083, 0.240]","0.054 ± 0.025 [0.017, 0.098]","4.030 ± 0.049 [3.942, 4.124]","0.937 ± 0.002 [0.934, 0.940]","0.485 ± 0.003 [0.478, 0.492]","0.171 ± 0.003 [0.166, 0.176]"
EBG,imitation w exemplar,svm,GPT-4o,"0.118 ± 0.038 [0.052, 0.187]","0.380 ± 0.057 [0.271, 0.486]","0.088 ± 0.032 [0.037, 0.149]","4.434 ± 0.028 [4.381, 4.485]","0.824 ± 0.004 [0.817, 0.832]","0.671 ± 0.004 [0.663, 0.679]","0.323 ± 0.005 [0.315, 0.333]"
EBG,imitation w exemplar,svm,Ministral,"0.280 ± 0.051 [0.182, 0.373]","0.555 ± 0.061 [0.441, 0.674]","0.128 ± 0.038 [0.060, 0.197]","4.446 ± 0.029 [4.391, 4.502]","0.697 ± 0.008 [0.681, 0.712]","0.714 ± 0.006 [0.702, 0.725]","0.389 ± 0.008 [0.372, 0.404]"
EBG,imitation w exemplar,svm,Claude-3.5,"0.067 ± 0.029 [0.021, 0.116]","0.229 ± 0.050 [0.139, 0.322]","0.064 ± 0.028 [0.020, 0.114]","3.850 ± 0.051 [3.757, 3.947]","0.886 ± 0.002 [0.881, 0.890]","0.576 ± 0.004 [0.569, 0.583]","0.217 ± 0.003 [0.211, 0.223]"
EBG,imitation w exemplar,svm,Llama-3.1,"0.021 ± 0.024 [0.001, 0.055]","0.152 ± 0.043 [0.076, 0.230]","0.049 ± 0.028 [0.012, 0.094]","4.595 ± 0.024 [4.550, 4.641]","0.943 ± 0.002 [0.940, 0.946]","0.495 ± 0.004 [0.489, 0.502]","0.197 ± 0.003 [0.191, 0.203]"
EBG,imitation w exemplar,roberta,Gemma-2,"0.018 ± 0.023 [0.001, 0.048]","0.141 ± 0.040 [0.070, 0.214]","0.033 ± 0.022 [0.006, 0.069]","1.761 ± 0.078 [1.615, 1.907]","0.937 ± 0.002 [0.934, 0.940]","0.485 ± 0.003 [0.478, 0.492]","0.171 ± 0.003 [0.166, 0.176]"
EBG,imitation w exemplar,roberta,GPT-4o,"0.400 ± 0.056 [0.297, 0.505]","0.686 ± 0.053 [0.588, 0.786]","0.358 ± 0.054 [0.249, 0.454]","1.926 ± 0.084 [1.764, 2.082]","0.824 ± 0.004 [0.817, 0.832]","0.671 ± 0.004 [0.663, 0.679]","0.323 ± 0.005 [0.315, 0.333]"
EBG,imitation w exemplar,roberta,Ministral,"0.523 ± 0.059 [0.419, 0.642]","0.708 ± 0.053 [0.608, 0.807]","0.474 ± 0.057 [0.368, 0.586]","1.623 ± 0.082 [1.471, 1.776]","0.697 ± 0.008 [0.681, 0.712]","0.714 ± 0.006 [0.702, 0.725]","0.389 ± 0.008 [0.372, 0.404]"
EBG,imitation w exemplar,roberta,Claude-3.5,"0.172 ± 0.044 [0.091, 0.254]","0.409 ± 0.057 [0.304, 0.516]","0.154 ± 0.041 [0.082, 0.230]","2.040 ± 0.076 [1.894, 2.183]","0.886 ± 0.002 [0.881, 0.890]","0.576 ± 0.004 [0.569, 0.583]","0.217 ± 0.003 [0.211, 0.223]"
EBG,imitation w exemplar,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.073 ± 0.032 [0.022, 0.128]","0.030 ± 0.022 [0.005, 0.064]","1.679 ± 0.083 [1.521, 1.831]","0.943 ± 0.002 [0.940, 0.946]","0.495 ± 0.004 [0.489, 0.502]","0.197 ± 0.003 [0.191, 0.203]"
RJ,imitation w exemplar,logreg,GPT-4o,"0.107 ± 0.037 [0.045, 0.175]","0.310 ± 0.067 [0.189, 0.439]","0.092 ± 0.034 [0.035, 0.154]","1.767 ± 0.102 [1.574, 1.959]","0.835 ± 0.005 [0.826, 0.845]","0.671 ± 0.006 [0.659, 0.683]","0.306 ± 0.006 [0.295, 0.318]"
RJ,imitation w exemplar,logreg,Gemma-2,"0.084 ± 0.032 [0.032, 0.141]","0.258 ± 0.055 [0.159, 0.361]","0.077 ± 0.030 [0.025, 0.129]","1.552 ± 0.109 [1.356, 1.767]","0.925 ± 0.003 [0.920, 0.931]","0.516 ± 0.006 [0.505, 0.527]","0.199 ± 0.005 [0.190, 0.208]"
RJ,imitation w exemplar,logreg,Claude-3.5,"0.126 ± 0.041 [0.053, 0.200]","0.295 ± 0.057 [0.186, 0.403]","0.132 ± 0.040 [0.061, 0.203]","1.008 ± 0.083 [0.853, 1.161]","0.869 ± 0.004 [0.861, 0.877]","0.614 ± 0.006 [0.602, 0.625]","0.246 ± 0.006 [0.235, 0.256]"
RJ,imitation w exemplar,logreg,Llama-3.1,"0.059 ± 0.041 [0.008, 0.128]","0.270 ± 0.053 [0.174, 0.373]","0.084 ± 0.033 [0.029, 0.143]","1.887 ± 0.106 [1.698, 2.097]","0.927 ± 0.003 [0.921, 0.932]","0.520 ± 0.006 [0.509, 0.531]","0.223 ± 0.005 [0.214, 0.232]"
RJ,imitation w exemplar,logreg,Ministral,"0.073 ± 0.048 [0.012, 0.156]","0.260 ± 0.054 [0.159, 0.359]","0.082 ± 0.033 [0.030, 0.138]","1.561 ± 0.113 [1.357, 1.779]","0.800 ± 0.008 [0.785, 0.815]","0.662 ± 0.008 [0.646, 0.677]","0.310 ± 0.009 [0.293, 0.327]"
RJ,imitation w exemplar,svm,GPT-4o,"0.053 ± 0.040 [0.009, 0.115]","0.290 ± 0.053 [0.194, 0.389]","0.083 ± 0.031 [0.030, 0.136]","3.676 ± 0.027 [3.626, 3.727]","0.835 ± 0.005 [0.826, 0.845]","0.671 ± 0.006 [0.659, 0.683]","0.306 ± 0.006 [0.295, 0.318]"
RJ,imitation w exemplar,svm,Gemma-2,"0.067 ± 0.045 [0.012, 0.146]","0.325 ± 0.054 [0.225, 0.428]","0.080 ± 0.029 [0.033, 0.137]","3.479 ± 0.041 [3.402, 3.558]","0.925 ± 0.003 [0.920, 0.931]","0.516 ± 0.006 [0.505, 0.527]","0.199 ± 0.005 [0.190, 0.208]"
RJ,imitation w exemplar,svm,Claude-3.5,"0.048 ± 0.035 [0.006, 0.103]","0.224 ± 0.050 [0.133, 0.319]","0.082 ± 0.031 [0.030, 0.137]","3.202 ± 0.047 [3.105, 3.285]","0.869 ± 0.004 [0.861, 0.877]","0.614 ± 0.006 [0.602, 0.625]","0.246 ± 0.006 [0.235, 0.256]"
RJ,imitation w exemplar,svm,Llama-3.1,"0.053 ± 0.038 [0.008, 0.116]","0.317 ± 0.055 [0.210, 0.418]","0.082 ± 0.030 [0.031, 0.135]","3.598 ± 0.039 [3.527, 3.671]","0.927 ± 0.003 [0.921, 0.932]","0.520 ± 0.006 [0.509, 0.531]","0.223 ± 0.005 [0.214, 0.232]"
RJ,imitation w exemplar,svm,Ministral,"0.126 ± 0.040 [0.056, 0.199]","0.215 ± 0.048 [0.128, 0.309]","0.089 ± 0.032 [0.035, 0.148]","3.700 ± 0.035 [3.633, 3.764]","0.800 ± 0.008 [0.785, 0.815]","0.662 ± 0.008 [0.646, 0.677]","0.310 ± 0.009 [0.293, 0.327]"
RJ,imitation w exemplar,roberta,GPT-4o,"0.119 ± 0.036 [0.057, 0.185]","0.250 ± 0.057 [0.145, 0.354]","0.105 ± 0.035 [0.044, 0.167]","1.741 ± 0.080 [1.591, 1.892]","0.835 ± 0.005 [0.826, 0.845]","0.671 ± 0.006 [0.659, 0.683]","0.306 ± 0.006 [0.295, 0.318]"
RJ,imitation w exemplar,roberta,Gemma-2,"0.048 ± 0.034 [0.007, 0.104]","0.306 ± 0.053 [0.205, 0.406]","0.077 ± 0.031 [0.027, 0.132]","1.640 ± 0.088 [1.478, 1.806]","0.925 ± 0.003 [0.920, 0.931]","0.516 ± 0.006 [0.505, 0.527]","0.199 ± 0.005 [0.190, 0.208]"
